"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y1_d094_WNA_RZQ","RZQ","WNA",80,327,"top","RZQ-0339","RZQ-0169","RZQ-0333","RZQ-0347","RZQ-0287","RZQ-0258","RZQ-0214","RZQ-0274","RZQ-0244","WNA-1574",NA,NA,NA
"y1_d094_WNA_RZQ","RZQ","WNA",80,328,"top","RZQ-0339","RZQ-0169","RZQ-0333","RZQ-0347","RZQ-0287","RZQ-0258","RZQ-0214","RZQ-0274","RZQ-0244","WNA-1574",NA,NA,NA
"y1_d094_WNA_RZQ","RZQ","WNA",80,329,"top","RZQ-0339","RZQ-0169","RZQ-0333","RZQ-0347","RZQ-0287","RZQ-0258","RZQ-0214","RZQ-0274","RZQ-0244","WNA-1574",NA,NA,NA
"y1_d094_WNA_RZQ","RZQ","WNA",80,330,"top","RZQ-0339","RZQ-0169","RZQ-0333","RZQ-0347","RZQ-0287","RZQ-0258","RZQ-0214","RZQ-0274","RZQ-0244","WNA-1574",NA,NA,NA
"y1_d094_WNA_RZQ","RZQ","WNA",80,331,"top","RZQ-0339","RZQ-0169","RZQ-0333","RZQ-0347","RZQ-0287","RZQ-0258","RZQ-0214","RZQ-0274","RZQ-0244","WNA-1574",NA,NA,NA
"y1_d094_WNA_RZQ","RZQ","WNA",80,332,"top","RZQ-0339","RZQ-0169","RZQ-0333","RZQ-0347","RZQ-0287","RZQ-0258","RZQ-0214","RZQ-0274","RZQ-0244","WNA-1574",NA,NA,NA
"y1_d094_WNA_RZQ","RZQ","WNA",81,333,"top","RZQ-0339","RZQ-0169","RZQ-0333","RZQ-0347","RZQ-0287","RZQ-0258","RZQ-0214","RZQ-0274","RZQ-0244","WNA-1574",NA,NA,NA
"y1_d094_WNA_RZQ","RZQ","WNA",81,334,"top","RZQ-0339","RZQ-0169","RZQ-0333","RZQ-0347","RZQ-0287","RZQ-0258","RZQ-0214","RZQ-0274","RZQ-0244","WNA-1574",NA,NA,NA
"y1_d094_WNA_RZQ","RZQ","WNA",81,335,"top","RZQ-0339","RZQ-0169","RZQ-0333","RZQ-0347","RZQ-0287","RZQ-0258","RZQ-0214","RZQ-0274","RZQ-0244","WNA-1047","WNA-1574",NA,NA
"y1_d094_WNA_RZQ","RZQ","WNA",81,336,"top","RZQ-0339","RZQ-0169","RZQ-0333","RZQ-0347","RZQ-0287","RZQ-0258","RZQ-0214","RZQ-0274","RZQ-0244","WNA-2353","WNA-1047","WNA-1574",NA
"y1_d094_WNA_RZQ","RZQ","WNA",81,337,"top","RZQ-0339","RZQ-0169","RZQ-0333","RZQ-0347","RZQ-0287","RZQ-0258","RZQ-0214","RZQ-0274","RZQ-0244","WNA-2353","WNA-1047","WNA-1574",NA
"y1_d094_WNA_RZQ","RZQ","WNA",81,338,"top","RZQ-0339","RZQ-0169","RZQ-0333","RZQ-0347","RZQ-0287","RZQ-0258","RZQ-0214","RZQ-0274","RZQ-0244","WNA-2353","WNA-1047","WNA-1574",NA
"y1_d094_WNA_RZQ","RZQ","WNA",81,339,"top","RZQ-0339","RZQ-0169","RZQ-0333","RZQ-0347","RZQ-0287","RZQ-0258","RZQ-0214","RZQ-0274","RZQ-0244","WNA-2353","WNA-1047","WNA-1574",NA
