"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y2_d072_XFE_RZQ","RZQ","XFE",1,1,"top","RZQ-0114","RZQ-0318","RZQ-0040","RZQ-0415","RZQ-0317","RZQ-0310","RZQ-0231","RZQ-0347","RZQ-0346","XFE-2484",NA,NA,NA
"y2_d072_XFE_RZQ","RZQ","XFE",1,2,"top","RZQ-0114","RZQ-0318","RZQ-0040","RZQ-0415","RZQ-0317","RZQ-0310","RZQ-0231","RZQ-0347","RZQ-0346","XFE-2484",NA,NA,NA
"y2_d072_XFE_RZQ","RZQ","XFE",1,3,"top","RZQ-0114","RZQ-0318","RZQ-0040","RZQ-0415","RZQ-0317","RZQ-0310","RZQ-0231","RZQ-0347","RZQ-0346","XFE-2484",NA,NA,NA
"y2_d072_XFE_RZQ","RZQ","XFE",1,4,"top","RZQ-0114","RZQ-0318","RZQ-0040","RZQ-0415","RZQ-0317","RZQ-0310","RZQ-0231","RZQ-0347","RZQ-0346","XFE-2484",NA,NA,NA
"y2_d072_XFE_RZQ","RZQ","XFE",1,5,"top","RZQ-0114","RZQ-0318","RZQ-0040","RZQ-0415","RZQ-0317","RZQ-0310","RZQ-0231","RZQ-0347","RZQ-0346","XFE-2484",NA,NA,NA
"y2_d072_XFE_RZQ","RZQ","XFE",1,6,"top","RZQ-0114","RZQ-0318","RZQ-0040","RZQ-0415","RZQ-0317","RZQ-0310","RZQ-0231","RZQ-0347","RZQ-0346","XFE-2484",NA,NA,NA
"y2_d072_XFE_RZQ","RZQ","XFE",1,7,"top","RZQ-0114","RZQ-0318","RZQ-0040","RZQ-0415","RZQ-0317","RZQ-0310","RZQ-0231","RZQ-0347","RZQ-0346","XFE-2484",NA,NA,NA
"y2_d072_XFE_RZQ","RZQ","XFE",2,8,"top","RZQ-0114","RZQ-0318","RZQ-0040","RZQ-0415","RZQ-0317","RZQ-0310","RZQ-0231","RZQ-0347","RZQ-0346","XFE-1064",NA,NA,NA
"y2_d072_XFE_RZQ","RZQ","XFE",2,9,"top","RZQ-0114","RZQ-0318","RZQ-0040","RZQ-0415","RZQ-0317","RZQ-0310","RZQ-0231","RZQ-0347","RZQ-0346","XFE-1064",NA,NA,NA
"y2_d072_XFE_RZQ","RZQ","XFE",2,10,"top","RZQ-0114","RZQ-0318","RZQ-0040","RZQ-0415","RZQ-0317","RZQ-0310","RZQ-0231","RZQ-0347","RZQ-0346","XFE-1064",NA,NA,NA
"y2_d072_XFE_RZQ","RZQ","XFE",2,11,"top","RZQ-0114","RZQ-0318","RZQ-0040","RZQ-0415","RZQ-0317","RZQ-0310","RZQ-0231","RZQ-0347","RZQ-0346","XFE-1064",NA,NA,NA
"y2_d072_XFE_RZQ","RZQ","XFE",3,12,"top","RZQ-0114","RZQ-0318","RZQ-0040","RZQ-0415","RZQ-0317","RZQ-0310","RZQ-0231","RZQ-0347","RZQ-0346","XFE-1076",NA,NA,NA
"y2_d072_XFE_RZQ","RZQ","XFE",3,13,"top","RZQ-0114","RZQ-0318","RZQ-0040","RZQ-0415","RZQ-0317","RZQ-0310","RZQ-0231","RZQ-0347","RZQ-0346","XFE-1076",NA,NA,NA
"y2_d072_XFE_RZQ","RZQ","XFE",4,14,"bottom","XFE-1521","XFE-1910","XFE-1156","XFE-1076","XFE-1082","XFE-1405","XFE-2568","XFE-2484","XFE-1064","RZQ-0310",NA,NA,NA
"y2_d072_XFE_RZQ","RZQ","XFE",4,15,"bottom","XFE-1521","XFE-1910","XFE-1156","XFE-1076","XFE-1082","XFE-1405","XFE-2568","XFE-2484","XFE-1064","RZQ-0310",NA,NA,NA
"y2_d072_XFE_RZQ","RZQ","XFE",4,16,"bottom","XFE-1521","XFE-1910","XFE-1156","XFE-1076","XFE-1082","XFE-1405","XFE-2568","XFE-2484","XFE-1064","RZQ-0310",NA,NA,NA
"y2_d072_XFE_RZQ","RZQ","XFE",4,17,"bottom","XFE-1521","XFE-1910","XFE-1156","XFE-1076","XFE-1082","XFE-1405","XFE-2568","XFE-2484","XFE-1064","RZQ-0310",NA,NA,NA
"y2_d072_XFE_RZQ","RZQ","XFE",4,18,"bottom","XFE-1521","XFE-1910","XFE-1156","XFE-1076","XFE-1082","XFE-1405","XFE-2568","XFE-2484","XFE-1064","RZQ-0310",NA,NA,NA
"y2_d072_XFE_RZQ","RZQ","XFE",4,19,"bottom","XFE-1521","XFE-1910","XFE-1156","XFE-1076","XFE-1082","XFE-1405","XFE-2568","XFE-2484","XFE-1064","RZQ-0310",NA,NA,NA
"y2_d072_XFE_RZQ","RZQ","XFE",5,20,"bottom","XFE-1521","XFE-1910","XFE-1156","XFE-1076","XFE-1082","XFE-1405","XFE-2568","XFE-2484","XFE-1064","RZQ-0347",NA,NA,NA
"y2_d072_XFE_RZQ","RZQ","XFE",5,21,"bottom","XFE-1521","XFE-1910","XFE-1156","XFE-1076","XFE-1082","XFE-1405","XFE-2568","XFE-2484","XFE-1064","RZQ-0347",NA,NA,NA
"y2_d072_XFE_RZQ","RZQ","XFE",6,22,"bottom","XFE-1521","XFE-1910","XFE-1156","XFE-1076","XFE-1082","XFE-1405","XFE-2568","XFE-2484","XFE-1064","RZQ-0415",NA,NA,NA
"y2_d072_XFE_RZQ","RZQ","XFE",6,23,"bottom","XFE-1521","XFE-1910","XFE-1156","XFE-1076","XFE-1082","XFE-1405","XFE-2568","XFE-2484","XFE-1064","RZQ-0415",NA,NA,NA
"y2_d072_XFE_RZQ","RZQ","XFE",6,24,"bottom","XFE-1521","XFE-1910","XFE-1156","XFE-1076","XFE-1082","XFE-1405","XFE-2568","XFE-2484","XFE-1064","RZQ-0415",NA,NA,NA
"y2_d072_XFE_RZQ","RZQ","XFE",6,25,"bottom","XFE-1521","XFE-1910","XFE-1156","XFE-1076","XFE-1082","XFE-1405","XFE-2568","XFE-2484","XFE-1064","RZQ-0415",NA,NA,NA
"y2_d072_XFE_RZQ","RZQ","XFE",6,26,"bottom","XFE-1521","XFE-1910","XFE-1156","XFE-1076","XFE-1082","XFE-1405","XFE-2568","XFE-2484","XFE-1064","RZQ-0415",NA,NA,NA
"y2_d072_XFE_RZQ","RZQ","XFE",7,27,"bottom","XFE-1521","XFE-1910","XFE-1156","XFE-1076","XFE-1082","XFE-1405","XFE-2568","XFE-2484","XFE-1064","RZQ-0040","RZQ-0415",NA,NA
"y2_d072_XFE_RZQ","RZQ","XFE",7,28,"bottom","XFE-1521","XFE-1910","XFE-1156","XFE-1076","XFE-1082","XFE-1405","XFE-2568","XFE-2484","XFE-1064","RZQ-0040","RZQ-0415",NA,NA
"y2_d072_XFE_RZQ","RZQ","XFE",7,29,"bottom","XFE-1521","XFE-1910","XFE-1156","XFE-1076","XFE-1082","XFE-1405","XFE-2568","XFE-2484","XFE-1064","RZQ-0040","RZQ-0415",NA,NA
"y2_d072_XFE_RZQ","RZQ","XFE",7,30,"bottom","XFE-1521","XFE-1910","XFE-1156","XFE-1076","XFE-1082","XFE-1405","XFE-2568","XFE-2484","XFE-1064","RZQ-0040","RZQ-0415",NA,NA
"y2_d072_XFE_RZQ","RZQ","XFE",7,31,"bottom","XFE-1521","XFE-1910","XFE-1156","XFE-1076","XFE-1082","XFE-1405","XFE-2568","XFE-2484","XFE-1064","RZQ-0040","RZQ-0415",NA,NA
"y2_d072_XFE_RZQ","RZQ","XFE",7,32,"bottom","XFE-1521","XFE-1910","XFE-1156","XFE-1076","XFE-1082","XFE-1405","XFE-2568","XFE-2484","XFE-1064","RZQ-0040","RZQ-0415",NA,NA
"y2_d072_XFE_RZQ","RZQ","XFE",7,33,"bottom","XFE-1521","XFE-1910","XFE-1156","XFE-1076","XFE-1082","XFE-1405","XFE-2568","XFE-2484","XFE-1064","RZQ-0040","RZQ-0415",NA,NA
