"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y2_d039_XLB_RZQ","RZQ","XLB",1,1,"top","RZQ-0179","RZQ-0186","RZQ-0385","RZQ-0347","RZQ-0275","RZQ-0355","RZQ-0333","RZQ-0310","RZQ-0346","XLB-2282",NA,NA,NA
"y2_d039_XLB_RZQ","RZQ","XLB",1,2,"top","RZQ-0179","RZQ-0186","RZQ-0385","RZQ-0347","RZQ-0275","RZQ-0355","RZQ-0333","RZQ-0310","RZQ-0346","XLB-2282",NA,NA,NA
"y2_d039_XLB_RZQ","RZQ","XLB",1,3,"top","RZQ-0179","RZQ-0186","RZQ-0385","RZQ-0347","RZQ-0275","RZQ-0355","RZQ-0333","RZQ-0310","RZQ-0346","XLB-2282",NA,NA,NA
"y2_d039_XLB_RZQ","RZQ","XLB",1,4,"top","RZQ-0179","RZQ-0186","RZQ-0385","RZQ-0347","RZQ-0275","RZQ-0355","RZQ-0333","RZQ-0310","RZQ-0346","XLB-2282",NA,NA,NA
"y2_d039_XLB_RZQ","RZQ","XLB",2,5,"top","RZQ-0179","RZQ-0186","RZQ-0385","RZQ-0347","RZQ-0275","RZQ-0355","RZQ-0333","RZQ-0310","RZQ-0346","XLB-2532",NA,NA,NA
"y2_d039_XLB_RZQ","RZQ","XLB",2,6,"top","RZQ-0179","RZQ-0186","RZQ-0385","RZQ-0347","RZQ-0275","RZQ-0355","RZQ-0333","RZQ-0310","RZQ-0346","XLB-2532",NA,NA,NA
"y2_d039_XLB_RZQ","RZQ","XLB",2,7,"top","RZQ-0179","RZQ-0186","RZQ-0385","RZQ-0347","RZQ-0275","RZQ-0355","RZQ-0333","RZQ-0310","RZQ-0346","XLB-2532",NA,NA,NA
"y2_d039_XLB_RZQ","RZQ","XLB",3,8,"top","RZQ-0179","RZQ-0186","RZQ-0385","RZQ-0347","RZQ-0275","RZQ-0355","RZQ-0333","RZQ-0310","RZQ-0346","XLB-2307",NA,NA,NA
"y2_d039_XLB_RZQ","RZQ","XLB",3,9,"top","RZQ-0179","RZQ-0186","RZQ-0385","RZQ-0347","RZQ-0275","RZQ-0355","RZQ-0333","RZQ-0310","RZQ-0346","XLB-2307",NA,NA,NA
"y2_d039_XLB_RZQ","RZQ","XLB",3,10,"top","RZQ-0179","RZQ-0186","RZQ-0385","RZQ-0347","RZQ-0275","RZQ-0355","RZQ-0333","RZQ-0310","RZQ-0346","XLB-2307",NA,NA,NA
"y2_d039_XLB_RZQ","RZQ","XLB",3,11,"top","RZQ-0179","RZQ-0186","RZQ-0385","RZQ-0347","RZQ-0275","RZQ-0355","RZQ-0333","RZQ-0310","RZQ-0346","XLB-2307",NA,NA,NA
"y2_d039_XLB_RZQ","RZQ","XLB",3,12,"top","RZQ-0179","RZQ-0186","RZQ-0385","RZQ-0347","RZQ-0275","RZQ-0355","RZQ-0333","RZQ-0310","RZQ-0346","XLB-2307",NA,NA,NA
"y2_d039_XLB_RZQ","RZQ","XLB",4,13,"bottom","XLB-1532","XLB-1649","XLB-1710","XLB-2265","XLB-2549","XLB-2282","XLB-2094","XLB-2307","XLB-2532","RZQ-0347",NA,NA,NA
"y2_d039_XLB_RZQ","RZQ","XLB",4,14,"bottom","XLB-1532","XLB-1649","XLB-1710","XLB-2265","XLB-2549","XLB-2282","XLB-2094","XLB-2307","XLB-2532","RZQ-0347",NA,NA,NA
"y2_d039_XLB_RZQ","RZQ","XLB",5,15,"bottom","XLB-1532","XLB-1649","XLB-1710","XLB-2265","XLB-2549","XLB-2282","XLB-2094","XLB-2307","XLB-2532","RZQ-0333",NA,NA,NA
"y2_d039_XLB_RZQ","RZQ","XLB",5,16,"bottom","XLB-1532","XLB-1649","XLB-1710","XLB-2265","XLB-2549","XLB-2282","XLB-2094","XLB-2307","XLB-2532","RZQ-0333",NA,NA,NA
"y2_d039_XLB_RZQ","RZQ","XLB",5,17,"bottom","XLB-1532","XLB-1649","XLB-1710","XLB-2265","XLB-2549","XLB-2282","XLB-2094","XLB-2307","XLB-2532","RZQ-0333",NA,NA,NA
"y2_d039_XLB_RZQ","RZQ","XLB",5,18,"bottom","XLB-1532","XLB-1649","XLB-1710","XLB-2265","XLB-2549","XLB-2282","XLB-2094","XLB-2307","XLB-2532","RZQ-0333",NA,NA,NA
"y2_d039_XLB_RZQ","RZQ","XLB",5,19,"bottom","XLB-1532","XLB-1649","XLB-1710","XLB-2265","XLB-2549","XLB-2282","XLB-2094","XLB-2307","XLB-2532","RZQ-0333",NA,NA,NA
"y2_d039_XLB_RZQ","RZQ","XLB",6,20,"bottom","XLB-1532","XLB-1649","XLB-1710","XLB-2265","XLB-2549","XLB-2282","XLB-2094","XLB-2307","XLB-2532","RZQ-0355",NA,NA,NA
"y2_d039_XLB_RZQ","RZQ","XLB",6,21,"bottom","XLB-1532","XLB-1649","XLB-1710","XLB-2265","XLB-2549","XLB-2282","XLB-2094","XLB-2307","XLB-2532","RZQ-0355",NA,NA,NA
"y2_d039_XLB_RZQ","RZQ","XLB",7,22,"top","RZQ-0114","RZQ-0186","RZQ-0385","RZQ-0347","RZQ-0275","RZQ-0355","RZQ-0333","RZQ-0310","RZQ-0346","XLB-2549",NA,NA,NA
"y2_d039_XLB_RZQ","RZQ","XLB",7,23,"top","RZQ-0114","RZQ-0186","RZQ-0385","RZQ-0347","RZQ-0275","RZQ-0355","RZQ-0333","RZQ-0310","RZQ-0346","XLB-2549",NA,NA,NA
"y2_d039_XLB_RZQ","RZQ","XLB",7,24,"top","RZQ-0114","RZQ-0186","RZQ-0385","RZQ-0347","RZQ-0275","RZQ-0355","RZQ-0333","RZQ-0310","RZQ-0346","XLB-2549",NA,NA,NA
"y2_d039_XLB_RZQ","RZQ","XLB",7,25,"top","RZQ-0114","RZQ-0186","RZQ-0385","RZQ-0347","RZQ-0275","RZQ-0355","RZQ-0333","RZQ-0310","RZQ-0346","XLB-2549",NA,NA,NA
"y2_d039_XLB_RZQ","RZQ","XLB",7,26,"top","RZQ-0114","RZQ-0186","RZQ-0385","RZQ-0347","RZQ-0275","RZQ-0355","RZQ-0333","RZQ-0310","RZQ-0346","XLB-2549",NA,NA,NA
"y2_d039_XLB_RZQ","RZQ","XLB",8,27,"top","RZQ-0114","RZQ-0186","RZQ-0385","RZQ-0347","RZQ-0275","RZQ-0355","RZQ-0333","RZQ-0310","RZQ-0346","XLB-1572",NA,NA,NA
