"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y2_d026_YUH_RZQ","RZQ","YUH",1,1,"top","RZQ-0375","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0231","RZQ-0275","RZQ-0143","YUH-1741",NA,NA,NA
"y2_d026_YUH_RZQ","RZQ","YUH",1,2,"top","RZQ-0375","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0231","RZQ-0275","RZQ-0143","YUH-1741",NA,NA,NA
"y2_d026_YUH_RZQ","RZQ","YUH",1,3,"top","RZQ-0375","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0231","RZQ-0275","RZQ-0143","YUH-1741",NA,NA,NA
"y2_d026_YUH_RZQ","RZQ","YUH",1,4,"top","RZQ-0375","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0231","RZQ-0275","RZQ-0143","YUH-1741",NA,NA,NA
"y2_d026_YUH_RZQ","RZQ","YUH",2,5,"top","RZQ-0375","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0231","RZQ-0275","RZQ-0143","YUH-1903",NA,NA,NA
"y2_d026_YUH_RZQ","RZQ","YUH",2,6,"top","RZQ-0375","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0231","RZQ-0275","RZQ-0143","YUH-1903",NA,NA,NA
"y2_d026_YUH_RZQ","RZQ","YUH",2,7,"top","RZQ-0375","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0231","RZQ-0275","RZQ-0143","YUH-1903",NA,NA,NA
"y2_d026_YUH_RZQ","RZQ","YUH",2,8,"top","RZQ-0375","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0231","RZQ-0275","RZQ-0143","YUH-1903",NA,NA,NA
"y2_d026_YUH_RZQ","RZQ","YUH",2,9,"top","RZQ-0375","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0231","RZQ-0275","RZQ-0143","YUH-1903",NA,NA,NA
"y2_d026_YUH_RZQ","RZQ","YUH",2,10,"top","RZQ-0375","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0231","RZQ-0275","RZQ-0143","YUH-1903",NA,NA,NA
"y2_d026_YUH_RZQ","RZQ","YUH",3,11,"top","RZQ-0375","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0231","RZQ-0275","RZQ-0143","YUH-2350","YUH-1903",NA,NA
"y2_d026_YUH_RZQ","RZQ","YUH",3,12,"top","RZQ-0375","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0231","RZQ-0275","RZQ-0143","YUH-2350","YUH-1903",NA,NA
"y2_d026_YUH_RZQ","RZQ","YUH",3,13,"top","RZQ-0375","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0231","RZQ-0275","RZQ-0143","YUH-2350","YUH-1903",NA,NA
"y2_d026_YUH_RZQ","RZQ","YUH",3,14,"top","RZQ-0375","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0231","RZQ-0275","RZQ-0143","YUH-2350","YUH-1903",NA,NA
"y2_d026_YUH_RZQ","RZQ","YUH",3,15,"top","RZQ-0375","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0231","RZQ-0275","RZQ-0143","YUH-2350","YUH-1903",NA,NA
"y2_d026_YUH_RZQ","RZQ","YUH",3,16,"top","RZQ-0375","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0231","RZQ-0275","RZQ-0143","YUH-2350","YUH-1903",NA,NA
"y2_d026_YUH_RZQ","RZQ","YUH",4,17,"top","RZQ-0375","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0231","RZQ-0275","RZQ-0143","YUH-1718","YUH-2350","YUH-1903",NA
"y2_d026_YUH_RZQ","RZQ","YUH",4,18,"top","RZQ-0375","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0231","RZQ-0275","RZQ-0143","YUH-1718","YUH-2350","YUH-1903",NA
"y2_d026_YUH_RZQ","RZQ","YUH",4,19,"top","RZQ-0375","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0231","RZQ-0275","RZQ-0143","YUH-1718","YUH-2350","YUH-1903",NA
"y2_d026_YUH_RZQ","RZQ","YUH",4,20,"top","RZQ-0375","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0231","RZQ-0275","RZQ-0143","YUH-1718","YUH-2350","YUH-1903",NA
"y2_d026_YUH_RZQ","RZQ","YUH",4,21,"top","RZQ-0375","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0231","RZQ-0275","RZQ-0143","YUH-1718","YUH-2350","YUH-1903",NA
"y2_d026_YUH_RZQ","RZQ","YUH",5,22,"top","RZQ-0375","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0231","RZQ-0275","RZQ-0143","YUH-1729","YUH-2350","YUH-1903",NA
"y2_d026_YUH_RZQ","RZQ","YUH",5,23,"top","RZQ-0375","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0231","RZQ-0275","RZQ-0143","YUH-1729","YUH-2350","YUH-1903",NA
"y2_d026_YUH_RZQ","RZQ","YUH",5,24,"top","RZQ-0375","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0231","RZQ-0275","RZQ-0143","YUH-1729","YUH-2350","YUH-1903",NA
"y2_d026_YUH_RZQ","RZQ","YUH",6,25,"bottom","YUH-1708","YUH-2480","YUH-2350","YUH-1903","YUH-1718","YUH-2570","YUH-2406","YUH-1741","YUH-1918","RZQ-0347",NA,NA,NA
"y2_d026_YUH_RZQ","RZQ","YUH",6,26,"bottom","YUH-1708","YUH-2480","YUH-2350","YUH-1903","YUH-1718","YUH-2570","YUH-2406","YUH-1741","YUH-1918","RZQ-0347",NA,NA,NA
"y2_d026_YUH_RZQ","RZQ","YUH",6,27,"bottom","YUH-1708","YUH-2480","YUH-2350","YUH-1903","YUH-1718","YUH-2570","YUH-2406","YUH-1741","YUH-1918","RZQ-0347",NA,NA,NA
"y2_d026_YUH_RZQ","RZQ","YUH",7,28,"bottom","YUH-1708","YUH-2480","YUH-2350","YUH-1903","YUH-1718","YUH-2570","YUH-2406","YUH-1741","YUH-1918","RZQ-0355",NA,NA,NA
"y2_d026_YUH_RZQ","RZQ","YUH",7,29,"bottom","YUH-1708","YUH-2480","YUH-2350","YUH-1903","YUH-1718","YUH-2570","YUH-2406","YUH-1741","YUH-1918","RZQ-0355",NA,NA,NA
"y2_d026_YUH_RZQ","RZQ","YUH",8,30,"bottom","YUH-1708","YUH-2480","YUH-2350","YUH-1903","YUH-1718","YUH-2570","YUH-2406","YUH-1741","YUH-1918","RZQ-0333",NA,NA,NA
"y2_d026_YUH_RZQ","RZQ","YUH",8,31,"bottom","YUH-1708","YUH-2480","YUH-2350","YUH-1903","YUH-1718","YUH-2570","YUH-2406","YUH-1741","YUH-1918","RZQ-0333",NA,NA,NA
"y2_d026_YUH_RZQ","RZQ","YUH",8,32,"bottom","YUH-1708","YUH-2480","YUH-2350","YUH-1903","YUH-1718","YUH-2570","YUH-2406","YUH-1741","YUH-1918","RZQ-0333",NA,NA,NA
"y2_d026_YUH_RZQ","RZQ","YUH",8,33,"bottom","YUH-1708","YUH-2480","YUH-2350","YUH-1903","YUH-1718","YUH-2570","YUH-2406","YUH-1741","YUH-1918","RZQ-0333",NA,NA,NA
"y2_d026_YUH_RZQ","RZQ","YUH",8,34,"bottom","YUH-1708","YUH-2480","YUH-2350","YUH-1903","YUH-1718","YUH-2570","YUH-2406","YUH-1741","YUH-1918","RZQ-0333",NA,NA,NA
"y2_d026_YUH_RZQ","RZQ","YUH",9,35,"top","RZQ-0375","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0231","RZQ-0275","RZQ-0143","YUH-1918",NA,NA,NA
"y2_d026_YUH_RZQ","RZQ","YUH",9,36,"top","RZQ-0375","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0231","RZQ-0275","RZQ-0143","YUH-1918",NA,NA,NA
"y2_d026_YUH_RZQ","RZQ","YUH",9,37,"top","RZQ-0375","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0231","RZQ-0275","RZQ-0143","YUH-1918",NA,NA,NA
"y2_d026_YUH_RZQ","RZQ","YUH",9,38,"top","RZQ-0375","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0231","RZQ-0275","RZQ-0143","YUH-1918",NA,NA,NA
"y2_d026_YUH_RZQ","RZQ","YUH",10,39,"top","RZQ-0375","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0231","RZQ-0275","RZQ-0143","YUH-2406",NA,NA,NA
"y2_d026_YUH_RZQ","RZQ","YUH",10,40,"top","RZQ-0375","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0231","RZQ-0275","RZQ-0143","YUH-2406",NA,NA,NA
"y2_d026_YUH_RZQ","RZQ","YUH",10,41,"top","RZQ-0375","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0231","RZQ-0275","RZQ-0143","YUH-2406",NA,NA,NA
"y2_d026_YUH_RZQ","RZQ","YUH",10,42,"top","RZQ-0375","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0231","RZQ-0275","RZQ-0143","YUH-2406",NA,NA,NA
"y2_d026_YUH_RZQ","RZQ","YUH",10,43,"top","RZQ-0375","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0231","RZQ-0275","RZQ-0143","YUH-2406",NA,NA,NA
"y2_d026_YUH_RZQ","RZQ","YUH",10,44,"top","RZQ-0375","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0231","RZQ-0275","RZQ-0143","YUH-2406",NA,NA,NA
"y2_d026_YUH_RZQ","RZQ","YUH",10,45,"top","RZQ-0375","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0231","RZQ-0275","RZQ-0143","YUH-2406",NA,NA,NA
"y2_d026_YUH_RZQ","RZQ","YUH",11,46,"top","RZQ-0375","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0231","RZQ-0275","RZQ-0143","YUH-2480","YUH-2406",NA,NA
"y2_d026_YUH_RZQ","RZQ","YUH",11,47,"top","RZQ-0375","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0231","RZQ-0275","RZQ-0143","YUH-2480","YUH-2406",NA,NA
"y2_d026_YUH_RZQ","RZQ","YUH",11,48,"top","RZQ-0375","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0231","RZQ-0275","RZQ-0143","YUH-2480","YUH-2406",NA,NA
"y2_d026_YUH_RZQ","RZQ","YUH",11,49,"top","RZQ-0375","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0231","RZQ-0275","RZQ-0143","YUH-2480","YUH-2406",NA,NA
"y2_d026_YUH_RZQ","RZQ","YUH",11,50,"top","RZQ-0375","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0231","RZQ-0275","RZQ-0143","YUH-2480","YUH-2406",NA,NA
"y2_d026_YUH_RZQ","RZQ","YUH",11,51,"top","RZQ-0375","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0231","RZQ-0275","RZQ-0143","YUH-2480","YUH-2406",NA,NA
"y2_d026_YUH_RZQ","RZQ","YUH",11,52,"top","RZQ-0375","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0231","RZQ-0275","RZQ-0143","YUH-2480","YUH-2406",NA,NA
"y2_d026_YUH_RZQ","RZQ","YUH",11,53,"top","RZQ-0375","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0231","RZQ-0275","RZQ-0143","YUH-2480","YUH-2406",NA,NA
"y2_d026_YUH_RZQ","RZQ","YUH",12,54,"top","RZQ-0375","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0231","RZQ-0275","RZQ-0143","YUH-2570","YUH-2406",NA,NA
"y2_d026_YUH_RZQ","RZQ","YUH",12,55,"top","RZQ-0375","RZQ-0006","RZQ-0333","RZQ-0347","RZQ-0317","RZQ-0355","RZQ-0231","RZQ-0275","RZQ-0143","YUH-2570","YUH-2406",NA,NA
"y2_d026_YUH_RZQ","RZQ","YUH",13,56,"bottom","YUH-1708","YUH-2480","YUH-2350","YUH-1903","YUH-1718","YUH-2570","YUH-2406","YUH-1741","YUH-1918","RZQ-0231",NA,NA,NA
