"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y1_d022_AKX_YJD","YJD","AKX",1,1,"top","YJD-0124","YJD-0020","YJD-0223","YJD-0405","YJD-0066","YJD-0172","YJD-0327","YJD-0193","YJD-0281","AKX-2076",NA,NA,NA
"y1_d022_AKX_YJD","YJD","AKX",1,2,"top","YJD-0124","YJD-0020","YJD-0223","YJD-0405","YJD-0066","YJD-0172","YJD-0327","YJD-0193","YJD-0281","AKX-2076",NA,NA,NA
"y1_d022_AKX_YJD","YJD","AKX",2,3,"top","YJD-0124","YJD-0020","YJD-0223","YJD-0405","YJD-0066","YJD-0172","YJD-0327","YJD-0193","YJD-0281","AKX-2226",NA,"AKX-2076",NA
"y1_d022_AKX_YJD","YJD","AKX",2,4,"top","YJD-0124","YJD-0020","YJD-0223","YJD-0405","YJD-0066","YJD-0172","YJD-0327","YJD-0193","YJD-0281","AKX-2226",NA,"AKX-2076",NA
"y1_d022_AKX_YJD","YJD","AKX",2,5,"top","YJD-0124","YJD-0020","YJD-0223","YJD-0405","YJD-0066","YJD-0172","YJD-0327","YJD-0193","YJD-0281","AKX-2226",NA,"AKX-2076",NA
"y1_d022_AKX_YJD","YJD","AKX",3,6,"top","YJD-0124","YJD-0020","YJD-0223","YJD-0405","YJD-0066","YJD-0172","YJD-0327","YJD-0193","YJD-0281","AKX-2319",NA,"AKX-2076",NA
"y1_d022_AKX_YJD","YJD","AKX",3,7,"top","YJD-0124","YJD-0020","YJD-0223","YJD-0405","YJD-0066","YJD-0172","YJD-0327","YJD-0193","YJD-0281","AKX-2319",NA,"AKX-2076",NA
"y1_d022_AKX_YJD","YJD","AKX",3,8,"top","YJD-0124","YJD-0020","YJD-0223","YJD-0405","YJD-0066","YJD-0172","YJD-0327","YJD-0193","YJD-0281","AKX-2319",NA,"AKX-2076",NA
"y1_d022_AKX_YJD","YJD","AKX",3,9,"top","YJD-0124","YJD-0020","YJD-0223","YJD-0405","YJD-0066","YJD-0172","YJD-0327","YJD-0193","YJD-0281","AKX-2319",NA,"AKX-2076",NA
"y1_d022_AKX_YJD","YJD","AKX",4,10,"top","YJD-0124","YJD-0020","YJD-0223","YJD-0405","YJD-0066","YJD-0172","YJD-0327","YJD-0193","YJD-0281","AKX-1496",NA,"AKX-2076",NA
"y1_d022_AKX_YJD","YJD","AKX",4,11,"top","YJD-0124","YJD-0020","YJD-0223","YJD-0405","YJD-0066","YJD-0172","YJD-0327","YJD-0193","YJD-0281","AKX-1496",NA,"AKX-2076",NA
"y1_d022_AKX_YJD","YJD","AKX",4,12,"top","YJD-0124","YJD-0020","YJD-0223","YJD-0405","YJD-0066","YJD-0172","YJD-0327","YJD-0193","YJD-0281","AKX-1496",NA,"AKX-2076",NA
"y1_d022_AKX_YJD","YJD","AKX",5,13,"top","YJD-0124","YJD-0020","YJD-0223","YJD-0405","YJD-0066","YJD-0172","YJD-0327","YJD-0193","YJD-0281","AKX-1826",NA,"AKX-1496",NA
"y1_d022_AKX_YJD","YJD","AKX",5,14,"top","YJD-0124","YJD-0020","YJD-0223","YJD-0405","YJD-0066","YJD-0172","YJD-0327","YJD-0193","YJD-0281","AKX-1826",NA,"AKX-1496",NA
"y1_d022_AKX_YJD","YJD","AKX",5,15,"top","YJD-0124","YJD-0020","YJD-0223","YJD-0405","YJD-0066","YJD-0172","YJD-0327","YJD-0193","YJD-0281","AKX-1826",NA,"AKX-1496",NA
"y1_d022_AKX_YJD","YJD","AKX",5,16,"top","YJD-0124","YJD-0020","YJD-0223","YJD-0405","YJD-0066","YJD-0172","YJD-0327","YJD-0193","YJD-0281","AKX-1826",NA,"AKX-1496",NA
"y1_d022_AKX_YJD","YJD","AKX",6,17,"bottom","AKX-2428","AKX-1496","AKX-1826","AKX-2124","AKX-2097","AKX-2226","AKX-2319","AKX-1254","AKX-1435","YJD-0193",NA,NA,NA
"y1_d022_AKX_YJD","YJD","AKX",6,18,"bottom","AKX-2428","AKX-1496","AKX-1826","AKX-2124","AKX-2097","AKX-2226","AKX-2319","AKX-1254","AKX-1435","YJD-0193",NA,NA,NA
"y1_d022_AKX_YJD","YJD","AKX",6,19,"bottom","AKX-2428","AKX-1496","AKX-1826","AKX-2124","AKX-2097","AKX-2226","AKX-2319","AKX-1254","AKX-1435","YJD-0193",NA,NA,NA
