"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y2_d024.5_ALA_YJD","YJD","ALA",1,1,"top","YJD-0342","YJD-0107","YJD-0366","YJD-0278","YJD-0174","YJD-0345","YJD-0327","YJD-0019","YJD-0397","ALA-1221",NA,NA,NA
"y2_d024.5_ALA_YJD","YJD","ALA",1,2,"top","YJD-0342","YJD-0107","YJD-0366","YJD-0278","YJD-0174","YJD-0345","YJD-0327","YJD-0019","YJD-0397","ALA-1221",NA,NA,NA
"y2_d024.5_ALA_YJD","YJD","ALA",1,3,"top","YJD-0342","YJD-0107","YJD-0366","YJD-0278","YJD-0174","YJD-0345","YJD-0327","YJD-0019","YJD-0397","ALA-1221",NA,NA,NA
"y2_d024.5_ALA_YJD","YJD","ALA",1,4,"top","YJD-0342","YJD-0107","YJD-0366","YJD-0278","YJD-0174","YJD-0345","YJD-0327","YJD-0019","YJD-0397","ALA-1221",NA,NA,NA
"y2_d024.5_ALA_YJD","YJD","ALA",2,5,"top","YJD-0342","YJD-0107","YJD-0366","YJD-0278","YJD-0174","YJD-0345","YJD-0327","YJD-0019","YJD-0397","ALA-1387",NA,NA,NA
"y2_d024.5_ALA_YJD","YJD","ALA",2,6,"top","YJD-0342","YJD-0107","YJD-0366","YJD-0278","YJD-0174","YJD-0345","YJD-0327","YJD-0019","YJD-0397","ALA-1387",NA,NA,NA
"y2_d024.5_ALA_YJD","YJD","ALA",2,7,"top","YJD-0342","YJD-0107","YJD-0366","YJD-0278","YJD-0174","YJD-0345","YJD-0327","YJD-0019","YJD-0397","ALA-1387",NA,NA,NA
"y2_d024.5_ALA_YJD","YJD","ALA",2,8,"top","YJD-0342","YJD-0107","YJD-0366","YJD-0278","YJD-0174","YJD-0345","YJD-0327","YJD-0019","YJD-0397","ALA-1387",NA,NA,NA
"y2_d024.5_ALA_YJD","YJD","ALA",3,9,"top","YJD-0342","YJD-0107","YJD-0366","YJD-0278","YJD-0174","YJD-0345","YJD-0327","YJD-0019","YJD-0397","ALA-1838",NA,NA,NA
"y2_d024.5_ALA_YJD","YJD","ALA",3,10,"top","YJD-0342","YJD-0107","YJD-0366","YJD-0278","YJD-0174","YJD-0345","YJD-0327","YJD-0019","YJD-0397","ALA-1838",NA,NA,NA
"y2_d024.5_ALA_YJD","YJD","ALA",4,11,"bottom","ALA-2284","ALA-1504","ALA-1829","ALA-2564","ALA-1939","ALA-1500","ALA-1387","ALA-1838","ALA-1221","YJD-0327",NA,NA,NA
"y2_d024.5_ALA_YJD","YJD","ALA",4,12,"bottom","ALA-2284","ALA-1504","ALA-1829","ALA-2564","ALA-1939","ALA-1500","ALA-1387","ALA-1838","ALA-1221","YJD-0327",NA,NA,NA
"y2_d024.5_ALA_YJD","YJD","ALA",4,13,"bottom","ALA-2284","ALA-1504","ALA-1829","ALA-2564","ALA-1939","ALA-1500","ALA-1387","ALA-1838","ALA-1221","YJD-0327",NA,NA,NA
"y2_d024.5_ALA_YJD","YJD","ALA",4,14,"bottom","ALA-2284","ALA-1504","ALA-1829","ALA-2564","ALA-1939","ALA-1500","ALA-1387","ALA-1838","ALA-1221","YJD-0327",NA,NA,NA
"y2_d024.5_ALA_YJD","YJD","ALA",4,15,"bottom","ALA-2284","ALA-1504","ALA-1829","ALA-2564","ALA-1939","ALA-1500","ALA-1387","ALA-1838","ALA-1221","YJD-0327",NA,NA,NA
"y2_d024.5_ALA_YJD","YJD","ALA",4,16,"bottom","ALA-2284","ALA-1504","ALA-1829","ALA-2564","ALA-1939","ALA-1500","ALA-1387","ALA-1838","ALA-1221","YJD-0327",NA,NA,NA
"y2_d024.5_ALA_YJD","YJD","ALA",4,17,"bottom","ALA-2284","ALA-1504","ALA-1829","ALA-2564","ALA-1939","ALA-1500","ALA-1387","ALA-1838","ALA-1221","YJD-0327",NA,NA,NA
"y2_d024.5_ALA_YJD","YJD","ALA",5,18,"bottom","ALA-2284","ALA-1504","ALA-1829","ALA-2564","ALA-1939","ALA-1500","ALA-1387","ALA-1838","ALA-1221","YJD-0345",NA,"YJD-0327",NA
"y2_d024.5_ALA_YJD","YJD","ALA",5,19,"bottom","ALA-2284","ALA-1504","ALA-1829","ALA-2564","ALA-1939","ALA-1500","ALA-1387","ALA-1838","ALA-1221","YJD-0345",NA,"YJD-0327",NA
"y2_d024.5_ALA_YJD","YJD","ALA",5,20,"bottom","ALA-2284","ALA-1504","ALA-1829","ALA-2564","ALA-1939","ALA-1500","ALA-1387","ALA-1838","ALA-1221","YJD-0345",NA,"YJD-0327",NA
"y2_d024.5_ALA_YJD","YJD","ALA",5,21,"bottom","ALA-2284","ALA-1504","ALA-1829","ALA-2564","ALA-1939","ALA-1500","ALA-1387","ALA-1838","ALA-1221","YJD-0345",NA,"YJD-0327",NA
"y2_d024.5_ALA_YJD","YJD","ALA",6,22,"bottom","ALA-2284","ALA-1504","ALA-1829","ALA-2564","ALA-1939","ALA-1500","ALA-1387","ALA-1838","ALA-1221","YJD-0174",NA,"YJD-0327",NA
"y2_d024.5_ALA_YJD","YJD","ALA",6,23,"bottom","ALA-2284","ALA-1504","ALA-1829","ALA-2564","ALA-1939","ALA-1500","ALA-1387","ALA-1838","ALA-1221","YJD-0174",NA,"YJD-0327",NA
"y2_d024.5_ALA_YJD","YJD","ALA",6,24,"bottom","ALA-2284","ALA-1504","ALA-1829","ALA-2564","ALA-1939","ALA-1500","ALA-1387","ALA-1838","ALA-1221","YJD-0174",NA,NA,NA
"y2_d024.5_ALA_YJD","YJD","ALA",6,25,"bottom","ALA-2284","ALA-1504","ALA-1829","ALA-2564","ALA-1939","ALA-1500","ALA-1387","ALA-1838","ALA-1221","YJD-0174",NA,NA,NA
"y2_d024.5_ALA_YJD","YJD","ALA",6,26,"bottom","ALA-2284","ALA-1504","ALA-1829","ALA-2564","ALA-1939","ALA-1500","ALA-1387","ALA-1838","ALA-1221","YJD-0174",NA,NA,NA
"y2_d024.5_ALA_YJD","YJD","ALA",7,27,"bottom","ALA-2284","ALA-1504","ALA-1829","ALA-2564","ALA-1939","ALA-1500","ALA-1387","ALA-1838","ALA-1221","YJD-0016","YJD-0174",NA,NA
"y2_d024.5_ALA_YJD","YJD","ALA",7,28,"bottom","ALA-2284","ALA-1504","ALA-1829","ALA-2564","ALA-1939","ALA-1500","ALA-1387","ALA-1838","ALA-1221","YJD-0016","YJD-0174",NA,NA
"y2_d024.5_ALA_YJD","YJD","ALA",7,29,"bottom","ALA-2284","ALA-1504","ALA-1829","ALA-2564","ALA-1939","ALA-1500","ALA-1387","ALA-1838","ALA-1221","YJD-0016","YJD-0174",NA,NA
"y2_d024.5_ALA_YJD","YJD","ALA",7,30,"bottom","ALA-2284","ALA-1504","ALA-1829","ALA-2564","ALA-1939","ALA-1500","ALA-1387","ALA-1838","ALA-1221","YJD-0016","YJD-0174",NA,NA
"y2_d024.5_ALA_YJD","YJD","ALA",8,31,"top","YJD-0342","YJD-0107","YJD-0366","YJD-0278","YJD-0174","YJD-0345","YJD-0327","YJD-0019","YJD-0397","ALA-1640",NA,NA,NA
"y2_d024.5_ALA_YJD","YJD","ALA",8,32,"top","YJD-0342","YJD-0107","YJD-0366","YJD-0278","YJD-0174","YJD-0345","YJD-0327","YJD-0019","YJD-0397","ALA-1640",NA,NA,NA
"y2_d024.5_ALA_YJD","YJD","ALA",8,33,"top","YJD-0342","YJD-0107","YJD-0366","YJD-0278","YJD-0174","YJD-0345","YJD-0327","YJD-0019","YJD-0397","ALA-1640",NA,NA,NA
"y2_d024.5_ALA_YJD","YJD","ALA",8,34,"top","YJD-0342","YJD-0107","YJD-0366","YJD-0278","YJD-0174","YJD-0345","YJD-0327","YJD-0019","YJD-0397","ALA-1640",NA,NA,NA
"y2_d024.5_ALA_YJD","YJD","ALA",8,35,"top","YJD-0342","YJD-0107","YJD-0366","YJD-0278","YJD-0174","YJD-0345","YJD-0327","YJD-0019","YJD-0397","ALA-1640",NA,NA,NA
"y2_d024.5_ALA_YJD","YJD","ALA",9,36,"top","YJD-0342","YJD-0107","YJD-0366","YJD-0278","YJD-0174","YJD-0345","YJD-0327","YJD-0019","YJD-0397","ALA-1829",NA,NA,NA
