"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y2_d024_ALA_YJD","YJD","ALA",1,1,"top","YJD-0386","YJD-0024","YJD-0373","YJD-0213","YJD-0174","YJD-0345","YJD-0327","YJD-0019","YJD-0397","ALA-2442",NA,NA,NA
"y2_d024_ALA_YJD","YJD","ALA",1,2,"top","YJD-0386","YJD-0024","YJD-0373","YJD-0213","YJD-0174","YJD-0345","YJD-0327","YJD-0019","YJD-0397","ALA-2442",NA,NA,NA
"y2_d024_ALA_YJD","YJD","ALA",1,3,"top","YJD-0386","YJD-0024","YJD-0373","YJD-0213","YJD-0174","YJD-0345","YJD-0327","YJD-0019","YJD-0397","ALA-2442",NA,NA,NA
"y2_d024_ALA_YJD","YJD","ALA",1,4,"top","YJD-0386","YJD-0024","YJD-0373","YJD-0213","YJD-0174","YJD-0345","YJD-0327","YJD-0019","YJD-0397","ALA-2442",NA,NA,NA
"y2_d024_ALA_YJD","YJD","ALA",2,5,"top","YJD-0386","YJD-0024","YJD-0373","YJD-0213","YJD-0174","YJD-0345","YJD-0327","YJD-0019","YJD-0397","ALA-1387","ALA-2442",NA,NA
"y2_d024_ALA_YJD","YJD","ALA",2,6,"top","YJD-0386","YJD-0024","YJD-0373","YJD-0213","YJD-0174","YJD-0345","YJD-0327","YJD-0019","YJD-0397","ALA-1387","ALA-2442",NA,NA
"y2_d024_ALA_YJD","YJD","ALA",2,7,"top","YJD-0386","YJD-0024","YJD-0373","YJD-0213","YJD-0174","YJD-0345","YJD-0327","YJD-0019","YJD-0397","ALA-1387","ALA-2442",NA,NA
"y2_d024_ALA_YJD","YJD","ALA",2,8,"top","YJD-0386","YJD-0024","YJD-0373","YJD-0213","YJD-0174","YJD-0345","YJD-0327","YJD-0019","YJD-0397","ALA-1387","ALA-2442",NA,NA
"y2_d024_ALA_YJD","YJD","ALA",2,9,"top","YJD-0386","YJD-0024","YJD-0373","YJD-0213","YJD-0174","YJD-0345","YJD-0327","YJD-0019","YJD-0397","ALA-1387","ALA-2442",NA,NA
"y2_d024_ALA_YJD","YJD","ALA",2,10,"top","YJD-0386","YJD-0024","YJD-0373","YJD-0213","YJD-0174","YJD-0345","YJD-0327","YJD-0019","YJD-0397","ALA-1387","ALA-2442",NA,NA
"y2_d024_ALA_YJD","YJD","ALA",2,11,"top","YJD-0386","YJD-0024","YJD-0373","YJD-0213","YJD-0174","YJD-0345","YJD-0327","YJD-0019","YJD-0397","ALA-1387","ALA-2442",NA,NA
"y2_d024_ALA_YJD","YJD","ALA",2,12,"top","YJD-0386","YJD-0024","YJD-0373","YJD-0213","YJD-0174","YJD-0345","YJD-0327","YJD-0019","YJD-0397","ALA-1387","ALA-2442",NA,NA
"y2_d024_ALA_YJD","YJD","ALA",3,13,"top","YJD-0386","YJD-0024","YJD-0373","YJD-0213","YJD-0174","YJD-0345","YJD-0327","YJD-0019","YJD-0397","ALA-1838",NA,"ALA-2442",NA
"y2_d024_ALA_YJD","YJD","ALA",3,14,"top","YJD-0386","YJD-0024","YJD-0373","YJD-0213","YJD-0174","YJD-0345","YJD-0327","YJD-0019","YJD-0397","ALA-1838",NA,"ALA-2442",NA
"y2_d024_ALA_YJD","YJD","ALA",3,15,"top","YJD-0386","YJD-0024","YJD-0373","YJD-0213","YJD-0174","YJD-0345","YJD-0327","YJD-0019","YJD-0397","ALA-1838",NA,"ALA-2442",NA
