"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y1_d034_AVV_YJD","YJD","AVV",1,1,"top","YJD-0420","YJD-0007","YJD-0172","YJD-0374","YJD-0025","YJD-0345","YJD-0327","YJD-0193","YJD-0338","AVV-1174",NA,NA,NA
"y1_d034_AVV_YJD","YJD","AVV",1,2,"top","YJD-0420","YJD-0007","YJD-0172","YJD-0374","YJD-0025","YJD-0345","YJD-0327","YJD-0193","YJD-0338","AVV-1174",NA,NA,NA
"y1_d034_AVV_YJD","YJD","AVV",1,3,"top","YJD-0420","YJD-0007","YJD-0172","YJD-0374","YJD-0025","YJD-0345","YJD-0327","YJD-0193","YJD-0338","AVV-1174",NA,NA,NA
"y1_d034_AVV_YJD","YJD","AVV",1,4,"top","YJD-0420","YJD-0007","YJD-0172","YJD-0374","YJD-0025","YJD-0345","YJD-0327","YJD-0193","YJD-0338","AVV-1174",NA,NA,NA
"y1_d034_AVV_YJD","YJD","AVV",2,5,"top","YJD-0420","YJD-0007","YJD-0172","YJD-0374","YJD-0025","YJD-0345","YJD-0327","YJD-0193","YJD-0338","AVV-2492",NA,NA,NA
"y1_d034_AVV_YJD","YJD","AVV",2,6,"top","YJD-0420","YJD-0007","YJD-0172","YJD-0374","YJD-0025","YJD-0345","YJD-0327","YJD-0193","YJD-0338","AVV-2492",NA,NA,NA
"y1_d034_AVV_YJD","YJD","AVV",2,7,"top","YJD-0420","YJD-0007","YJD-0172","YJD-0374","YJD-0025","YJD-0345","YJD-0327","YJD-0193","YJD-0338","AVV-2492",NA,NA,NA
"y1_d034_AVV_YJD","YJD","AVV",2,8,"top","YJD-0420","YJD-0007","YJD-0172","YJD-0374","YJD-0025","YJD-0345","YJD-0327","YJD-0193","YJD-0338","AVV-2492",NA,NA,NA
"y1_d034_AVV_YJD","YJD","AVV",3,9,"top","YJD-0420","YJD-0007","YJD-0172","YJD-0374","YJD-0025","YJD-0345","YJD-0327","YJD-0193","YJD-0338","AVV-1517",NA,NA,NA
"y1_d034_AVV_YJD","YJD","AVV",6,13,"bottom","AVV-2200","AVV-1053","AVV-2121","AVV-2070","AVV-1582","AVV-1517","AVV-1172","AVV-1174","AVV-1862","YJD-0345",NA,NA,NA
"y1_d034_AVV_YJD","YJD","AVV",NA,14,"bottom","AVV-2200","AVV-1053","AVV-2121","AVV-2070","AVV-1582","AVV-1517","AVV-1172","AVV-1174","AVV-1862","YJD-0345",NA,NA,NA
"y1_d034_AVV_YJD","YJD","AVV",6,15,"bottom","AVV-2200","AVV-1053","AVV-2121","AVV-2070","AVV-1582","AVV-1517","AVV-1172","AVV-1174","AVV-1862","YJD-0338",NA,NA,NA
"y1_d034_AVV_YJD","YJD","AVV",6,16,"bottom","AVV-2200","AVV-1053","AVV-2121","AVV-2070","AVV-1582","AVV-1517","AVV-1172","AVV-1174","AVV-1862","YJD-0374","YJD-0338",NA,NA
"y1_d034_AVV_YJD","YJD","AVV",7,19,"bottom","AVV-2200","AVV-1053","AVV-2121","AVV-2070","AVV-1582","AVV-1517","AVV-1172","AVV-1174","AVV-1862","YJD-0374",NA,NA,NA
"y1_d034_AVV_YJD","YJD","AVV",7,20,"bottom","AVV-2200","AVV-1053","AVV-2121","AVV-2070","AVV-1582","AVV-1517","AVV-1172","AVV-1174","AVV-1862","YJD-0374",NA,NA,NA
"y1_d034_AVV_YJD","YJD","AVV",7,21,"bottom","AVV-2200","AVV-1053","AVV-2121","AVV-2070","AVV-1582","AVV-1517","AVV-1172","AVV-1174","AVV-1862","YJD-0223",NA,NA,NA
"y1_d034_AVV_YJD","YJD","AVV",8,22,"bottom","AVV-2200","AVV-1053","AVV-2121","AVV-2070","AVV-1582","AVV-1517","AVV-1172","AVV-1174","AVV-1862","YJD-0223",NA,NA,NA
"y1_d034_AVV_YJD","YJD","AVV",8,23,"bottom","AVV-2200","AVV-1053","AVV-2121","AVV-2070","AVV-1582","AVV-1517","AVV-1172","AVV-1174","AVV-1862","YJD-0223",NA,NA,NA
"y1_d034_AVV_YJD","YJD","AVV",8,24,"bottom","AVV-2200","AVV-1053","AVV-2121","AVV-2070","AVV-1582","AVV-1517","AVV-1172","AVV-1174","AVV-1862","YJD-0223",NA,NA,NA
"y1_d034_AVV_YJD","YJD","AVV",8,25,"bottom","AVV-2200","AVV-1053","AVV-2121","AVV-2070","AVV-1582","AVV-1517","AVV-1172","AVV-1174","AVV-1862","YJD-0223",NA,NA,NA
"y1_d034_AVV_YJD","YJD","AVV",9,26,"bottom","AVV-2200","AVV-1053","AVV-2121","AVV-2070","AVV-1582","AVV-1517","AVV-1172","AVV-1174","AVV-1862","YJD-0327","YJD-0223",NA,NA
"y1_d034_AVV_YJD","YJD","AVV",9,27,"bottom","AVV-2200","AVV-1053","AVV-2121","AVV-2070","AVV-1582","AVV-1517","AVV-1172","AVV-1174","AVV-1862","YJD-0327","YJD-0223",NA,NA
"y1_d034_AVV_YJD","YJD","AVV",9,28,"bottom","AVV-2200","AVV-1053","AVV-2121","AVV-2070","AVV-1582","AVV-1517","AVV-1172","AVV-1174","AVV-1862","YJD-0327","YJD-0223",NA,NA
"y1_d034_AVV_YJD","YJD","AVV",9,29,"bottom","AVV-2200","AVV-1053","AVV-2121","AVV-2070","AVV-1582","AVV-1517","AVV-1172","AVV-1174","AVV-1862","YJD-0327","YJD-0223",NA,NA
"y1_d034_AVV_YJD","YJD","AVV",9,30,"top","YJD-0420","YJD-0007","YJD-0172","YJD-0374","YJD-0025","YJD-0345","YJD-0327","YJD-0193","YJD-0338","AVV-1582",NA,NA,NA
"y1_d034_AVV_YJD","YJD","AVV",9,31,"top","YJD-0420","YJD-0007","YJD-0172","YJD-0374","YJD-0025","YJD-0345","YJD-0327","YJD-0193","YJD-0338","AVV-1582",NA,NA,NA
"y1_d034_AVV_YJD","YJD","AVV",10,32,"top","YJD-0420","YJD-0007","YJD-0172","YJD-0374","YJD-0025","YJD-0345","YJD-0327","YJD-0193","YJD-0338","AVV-1582",NA,NA,NA
"y1_d034_AVV_YJD","YJD","AVV",10,33,"top","YJD-0420","YJD-0007","YJD-0172","YJD-0374","YJD-0025","YJD-0345","YJD-0327","YJD-0193","YJD-0338","AVV-1582",NA,NA,NA
"y1_d034_AVV_YJD","YJD","AVV",10,34,"top","YJD-0420","YJD-0007","YJD-0172","YJD-0374","YJD-0025","YJD-0345","YJD-0327","YJD-0193","YJD-0338","AVV-1582",NA,NA,NA
"y1_d034_AVV_YJD","YJD","AVV",11,35,"top","YJD-0420","YJD-0007","YJD-0172","YJD-0374","YJD-0025","YJD-0345","YJD-0327","YJD-0193","YJD-0338","AVV-1582",NA,NA,NA
"y1_d034_AVV_YJD","YJD","AVV",11,36,"top","YJD-0420","YJD-0007","YJD-0172","YJD-0374","YJD-0025","YJD-0345","YJD-0327","YJD-0193","YJD-0338","AVV-1172",NA,NA,NA
"y1_d034_AVV_YJD","YJD","AVV",11,37,"top","YJD-0420","YJD-0007","YJD-0172","YJD-0374","YJD-0025","YJD-0345","YJD-0327","YJD-0193","YJD-0338","AVV-1172",NA,NA,NA
"y1_d034_AVV_YJD","YJD","AVV",12,38,"top","YJD-0420","YJD-0007","YJD-0172","YJD-0374","YJD-0025","YJD-0345","YJD-0327","YJD-0193","YJD-0338","AVV-1172",NA,NA,NA
"y1_d034_AVV_YJD","YJD","AVV",12,39,"top","YJD-0420","YJD-0007","YJD-0172","YJD-0374","YJD-0025","YJD-0345","YJD-0327","YJD-0193","YJD-0338","AVV-1862",NA,NA,NA
"y1_d034_AVV_YJD","YJD","AVV",12,40,"top","YJD-0420","YJD-0007","YJD-0172","YJD-0374","YJD-0025","YJD-0345","YJD-0327","YJD-0193","YJD-0338","AVV-1862",NA,NA,NA
"y1_d034_AVV_YJD","YJD","AVV",12,41,"top","YJD-0420","YJD-0007","YJD-0172","YJD-0374","YJD-0025","YJD-0345","YJD-0327","YJD-0193","YJD-0338","AVV-1862",NA,NA,NA
"y1_d034_AVV_YJD","YJD","AVV",12,42,"bottom","AVV-2200","AVV-1053","AVV-2121","AVV-2070","AVV-1582","AVV-1517","AVV-1172","AVV-1174","AVV-1862","YJD-0193",NA,NA,NA
"y1_d034_AVV_YJD","YJD","AVV",12,43,"bottom","AVV-2200","AVV-1053","AVV-2121","AVV-2070","AVV-1582","AVV-1517","AVV-1172","AVV-1174","AVV-1862","YJD-0193",NA,NA,NA
"y1_d034_AVV_YJD","YJD","AVV",13,44,"bottom","AVV-2200","AVV-1053","AVV-2121","AVV-2070","AVV-1582","AVV-1517","AVV-1172","AVV-1174","AVV-1862","YJD-0193",NA,NA,NA
"y1_d034_AVV_YJD","YJD","AVV",13,45,"bottom","AVV-2200","AVV-1053","AVV-2121","AVV-2070","AVV-1582","AVV-1517","AVV-1172","AVV-1174","AVV-1862","YJD-0193",NA,NA,NA
"y1_d034_AVV_YJD","YJD","AVV",13,46,"bottom","AVV-2200","AVV-1053","AVV-2121","AVV-2070","AVV-1582","AVV-1517","AVV-1172","AVV-1174","AVV-1862","YJD-0193",NA,NA,NA
"y1_d034_AVV_YJD","YJD","AVV",13,47,"bottom","AVV-2200","AVV-1053","AVV-2121","AVV-2070","AVV-1582","AVV-1517","AVV-1172","AVV-1174","AVV-1862","YJD-0193",NA,NA,NA
"y1_d034_AVV_YJD","YJD","AVV",NA,48,"bottom","AVV-2200","AVV-1053","AVV-2121","AVV-2070","AVV-1582","AVV-1517","AVV-1172","AVV-1174","AVV-1862","YJD-0025","YJD-0193",NA,NA
"y1_d034_AVV_YJD","YJD","AVV",NA,49,"bottom","AVV-2200","AVV-1053","AVV-2121","AVV-2070","AVV-1582","AVV-1517","AVV-1172","AVV-1174","AVV-1862","YJD-0025","YJD-0193",NA,NA
"y1_d034_AVV_YJD","YJD","AVV",14,50,"bottom","AVV-2200","AVV-1053","AVV-2121","AVV-2070","AVV-1582","AVV-1517","AVV-1172","AVV-1174","AVV-1862","YJD-0025","YJD-0193",NA,NA
"y1_d034_AVV_YJD","YJD","AVV",NA,51,"bottom","AVV-2200","AVV-1053","AVV-2121","AVV-2070","AVV-1582","AVV-1517","AVV-1172","AVV-1174","AVV-1862","YJD-0025","YJD-0193",NA,NA
"y1_d034_AVV_YJD","YJD","AVV",15,54,"bottom","AVV-2200","AVV-1053","AVV-2121","AVV-2070","AVV-1582","AVV-1517","AVV-1172","AVV-1174","AVV-1862","YJD-0172","YJD-0193",NA,NA
"y1_d034_AVV_YJD","YJD","AVV",16,56,"bottom","AVV-2200","AVV-1053","AVV-2121","AVV-2070","AVV-1582","AVV-1517","AVV-1172","AVV-1174","AVV-1862","YJD-0172","YJD-0193",NA,NA
"y1_d034_AVV_YJD","YJD","AVV",16,57,"bottom","AVV-2200","AVV-1053","AVV-2121","AVV-2070","AVV-1582","AVV-1517","AVV-1172","AVV-1174","AVV-1862","YJD-0007",NA,NA,"YJD-0193"
"y1_d034_AVV_YJD","YJD","AVV",17,58,"bottom","AVV-2200","AVV-1053","AVV-2121","AVV-2070","AVV-1582","AVV-1517","AVV-1172","AVV-1174","AVV-1862","YJD-0007",NA,NA,"YJD-0193"
"y1_d034_AVV_YJD","YJD","AVV",17,59,"bottom","AVV-2200","AVV-1053","AVV-2121","AVV-2070","AVV-1582","AVV-1517","AVV-1172","AVV-1174","AVV-1862","YJD-0345","YJD-0007",NA,NA
"y1_d034_AVV_YJD","YJD","AVV",17,60,"bottom","AVV-2200","AVV-1053","AVV-2121","AVV-2070","AVV-1582","AVV-1517","AVV-1172","AVV-1174","AVV-1862","YJD-0345","YJD-0007",NA,NA
"y1_d034_AVV_YJD","YJD","AVV",17,61,"bottom","AVV-2200","AVV-1053","AVV-2121","AVV-2070","AVV-1582","AVV-1517","AVV-1172","AVV-1174","AVV-1862","YJD-0345","YJD-0007",NA,NA
"y1_d034_AVV_YJD","YJD","AVV",17,62,"top","YJD-0420","YJD-0007","YJD-0172","YJD-0374","YJD-0025","YJD-0345","YJD-0327","YJD-0193","YJD-0338","AVV-1053",NA,NA,NA
"y1_d034_AVV_YJD","YJD","AVV",18,63,"top","YJD-0420","YJD-0007","YJD-0172","YJD-0374","YJD-0025","YJD-0345","YJD-0327","YJD-0193","YJD-0338","AVV-1053",NA,NA,NA
"y1_d034_AVV_YJD","YJD","AVV",18,64,"top","YJD-0420","YJD-0007","YJD-0172","YJD-0374","YJD-0025","YJD-0345","YJD-0327","YJD-0193","YJD-0338","AVV-1053",NA,NA,NA
"y1_d034_AVV_YJD","YJD","AVV",18,65,"top","YJD-0420","YJD-0007","YJD-0172","YJD-0374","YJD-0025","YJD-0345","YJD-0327","YJD-0193","YJD-0338","AVV-1053",NA,NA,NA
"y1_d034_AVV_YJD","YJD","AVV",18,66,"top","YJD-0420","YJD-0007","YJD-0172","YJD-0374","YJD-0025","YJD-0345","YJD-0327","YJD-0193","YJD-0338","AVV-1053",NA,NA,NA
"y1_d034_AVV_YJD","YJD","AVV",19,67,"top","YJD-0420","YJD-0007","YJD-0172","YJD-0374","YJD-0025","YJD-0345","YJD-0327","YJD-0193","YJD-0338","AVV-2121",NA,"AVV-1053",NA
"y1_d034_AVV_YJD","YJD","AVV",19,68,"top","YJD-0420","YJD-0007","YJD-0172","YJD-0374","YJD-0025","YJD-0345","YJD-0327","YJD-0193","YJD-0338","AVV-2121",NA,"AVV-1053",NA
"y1_d034_AVV_YJD","YJD","AVV",19,69,"top","YJD-0420","YJD-0007","YJD-0172","YJD-0374","YJD-0025","YJD-0345","YJD-0327","YJD-0193","YJD-0338","AVV-2121",NA,"AVV-1053",NA
"y1_d034_AVV_YJD","YJD","AVV",19,70,"top","YJD-0420","YJD-0007","YJD-0172","YJD-0374","YJD-0025","YJD-0345","YJD-0327","YJD-0193","YJD-0338","AVV-2121",NA,"AVV-1053",NA
"y1_d034_AVV_YJD","YJD","AVV",20,71,"top","YJD-0420","YJD-0007","YJD-0172","YJD-0374","YJD-0025","YJD-0345","YJD-0327","YJD-0193","YJD-0338","AVV-2070",NA,"AVV-1053",NA
"y1_d034_AVV_YJD","YJD","AVV",20,72,"top","YJD-0420","YJD-0007","YJD-0172","YJD-0374","YJD-0025","YJD-0345","YJD-0327","YJD-0193","YJD-0338","AVV-2070",NA,"AVV-1053",NA
"y1_d034_AVV_YJD","YJD","AVV",20,73,"top","YJD-0420","YJD-0007","YJD-0172","YJD-0374","YJD-0025","YJD-0345","YJD-0327","YJD-0193","YJD-0338","AVV-2070",NA,"AVV-1053",NA
"y1_d034_AVV_YJD","YJD","AVV",20,74,"top","YJD-0420","YJD-0007","YJD-0172","YJD-0374","YJD-0025","YJD-0345","YJD-0327","YJD-0193","YJD-0338","AVV-2070",NA,"AVV-1053",NA
