"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y1_d030_CMS_YJD","YJD","CMS",85,318,"top","YJD-0194","YJD-0067","YJD-0172","YJD-0281","YJD-0066","YJD-0345","YJD-0327","YJD-0193","YJD-0185","CMS-2305",NA,NA,NA
"y1_d030_CMS_YJD","YJD","CMS",85,319,"top","YJD-0194","YJD-0067","YJD-0172","YJD-0281","YJD-0066","YJD-0345","YJD-0327","YJD-0193","YJD-0185","CMS-2305",NA,NA,NA
"y1_d030_CMS_YJD","YJD","CMS",86,320,"top","YJD-0194","YJD-0067","YJD-0172","YJD-0281","YJD-0066","YJD-0345","YJD-0327","YJD-0193","YJD-0185","CMS-2016",NA,NA,NA
"y1_d030_CMS_YJD","YJD","CMS",86,321,"top","YJD-0194","YJD-0067","YJD-0172","YJD-0281","YJD-0066","YJD-0345","YJD-0327","YJD-0193","YJD-0185","CMS-2016",NA,NA,NA
"y1_d030_CMS_YJD","YJD","CMS",86,322,"top","YJD-0194","YJD-0067","YJD-0172","YJD-0281","YJD-0066","YJD-0345","YJD-0327","YJD-0193","YJD-0185","CMS-2092","CMS-2016",NA,NA
"y1_d030_CMS_YJD","YJD","CMS",86,323,"top","YJD-0194","YJD-0067","YJD-0172","YJD-0281","YJD-0066","YJD-0345","YJD-0327","YJD-0193","YJD-0185","CMS-2092","CMS-2016",NA,NA
"y1_d030_CMS_YJD","YJD","CMS",86,324,"top","YJD-0194","YJD-0067","YJD-0172","YJD-0281","YJD-0066","YJD-0345","YJD-0327","YJD-0193","YJD-0185","CMS-2092","CMS-2016",NA,NA
"y1_d030_CMS_YJD","YJD","CMS",87,325,"top","YJD-0194","YJD-0067","YJD-0172","YJD-0281","YJD-0066","YJD-0345","YJD-0327","YJD-0193","YJD-0185","CMS-2092","CMS-2016",NA,NA
"y1_d030_CMS_YJD","YJD","CMS",87,326,"top","YJD-0194","YJD-0067","YJD-0172","YJD-0281","YJD-0066","YJD-0345","YJD-0327","YJD-0193","YJD-0185","CMS-2092","CMS-2016",NA,NA
"y1_d030_CMS_YJD","YJD","CMS",87,327,"top","YJD-0194","YJD-0067","YJD-0172","YJD-0281","YJD-0066","YJD-0345","YJD-0327","YJD-0193","YJD-0185","CMS-2092",NA,NA,NA
"y1_d030_CMS_YJD","YJD","CMS",87,328,"top","YJD-0194","YJD-0067","YJD-0172","YJD-0281","YJD-0066","YJD-0345","YJD-0327","YJD-0193","YJD-0185","CMS-1730",NA,"CMS-2092",NA
"y1_d030_CMS_YJD","YJD","CMS",87,329,"top","YJD-0194","YJD-0067","YJD-0172","YJD-0281","YJD-0066","YJD-0345","YJD-0327","YJD-0193","YJD-0185","CMS-1730",NA,"CMS-2092",NA
