"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y2_d073_DYE_YJD","YJD","DYE",1,1,"top","YJD-0335","YJD-0007","YJD-0166","YJD-0278","YJD-0304","YJD-0312","YJD-0185","YJD-0398","YJD-0397","DYE-0255",NA,NA,NA
"y2_d073_DYE_YJD","YJD","DYE",1,2,"top","YJD-0335","YJD-0007","YJD-0166","YJD-0278","YJD-0304","YJD-0312","YJD-0185","YJD-0398","YJD-0397","DYE-0255",NA,NA,NA
"y2_d073_DYE_YJD","YJD","DYE",1,3,"top","YJD-0335","YJD-0007","YJD-0166","YJD-0278","YJD-0304","YJD-0312","YJD-0185","YJD-0398","YJD-0397","DYE-0255",NA,NA,NA
"y2_d073_DYE_YJD","YJD","DYE",2,4,"top","YJD-0335","YJD-0007","YJD-0166","YJD-0278","YJD-0304","YJD-0312","YJD-0185","YJD-0398","YJD-0397","DYE-0089",NA,NA,NA
"y2_d073_DYE_YJD","YJD","DYE",3,5,"top","YJD-0335","YJD-0007","YJD-0166","YJD-0278","YJD-0304","YJD-0312","YJD-0185","YJD-0398","YJD-0397","DYE-0413",NA,NA,NA
"y2_d073_DYE_YJD","YJD","DYE",3,6,"top","YJD-0335","YJD-0007","YJD-0166","YJD-0278","YJD-0304","YJD-0312","YJD-0185","YJD-0398","YJD-0397","DYE-0413",NA,NA,NA
"y2_d073_DYE_YJD","YJD","DYE",3,7,"top","YJD-0335","YJD-0007","YJD-0166","YJD-0278","YJD-0304","YJD-0312","YJD-0185","YJD-0398","YJD-0397","DYE-0413",NA,NA,NA
"y2_d073_DYE_YJD","YJD","DYE",3,8,"top","YJD-0335","YJD-0007","YJD-0166","YJD-0278","YJD-0304","YJD-0312","YJD-0185","YJD-0398","YJD-0397","DYE-0413",NA,NA,NA
"y2_d073_DYE_YJD","YJD","DYE",4,9,"bottom","DYE-0322","DYE-0384","DYE-0130","DYE-0198","DYE-0413","DYE-0255","DYE-0122","DYE-0089","DYE-0155","YJD-0304",NA,NA,NA
"y2_d073_DYE_YJD","YJD","DYE",4,10,"bottom","DYE-0322","DYE-0384","DYE-0130","DYE-0198","DYE-0413","DYE-0255","DYE-0122","DYE-0089","DYE-0155","YJD-0304",NA,NA,NA
"y2_d073_DYE_YJD","YJD","DYE",4,11,"bottom","DYE-0322","DYE-0384","DYE-0130","DYE-0198","DYE-0413","DYE-0255","DYE-0122","DYE-0089","DYE-0155","YJD-0304",NA,NA,NA
"y2_d073_DYE_YJD","YJD","DYE",4,12,"bottom","DYE-0322","DYE-0384","DYE-0130","DYE-0198","DYE-0413","DYE-0255","DYE-0122","DYE-0089","DYE-0155","YJD-0304",NA,NA,NA
"y2_d073_DYE_YJD","YJD","DYE",4,13,"bottom","DYE-0322","DYE-0384","DYE-0130","DYE-0198","DYE-0413","DYE-0255","DYE-0122","DYE-0089","DYE-0155","YJD-0304",NA,NA,NA
"y2_d073_DYE_YJD","YJD","DYE",5,14,"bottom","DYE-0322","DYE-0384","DYE-0130","DYE-0198","DYE-0413","DYE-0255","DYE-0122","DYE-0089","DYE-0155","YJD-0185",NA,NA,NA
"y2_d073_DYE_YJD","YJD","DYE",6,15,"bottom","DYE-0322","DYE-0384","DYE-0130","DYE-0198","DYE-0413","DYE-0255","DYE-0122","DYE-0089","DYE-0155","YJD-0166",NA,NA,NA
"y2_d073_DYE_YJD","YJD","DYE",6,16,"bottom","DYE-0322","DYE-0384","DYE-0130","DYE-0198","DYE-0413","DYE-0255","DYE-0122","DYE-0089","DYE-0155","YJD-0166",NA,NA,NA
"y2_d073_DYE_YJD","YJD","DYE",6,17,"bottom","DYE-0322","DYE-0384","DYE-0130","DYE-0198","DYE-0413","DYE-0255","DYE-0122","DYE-0089","DYE-0155","YJD-0166",NA,NA,NA
"y2_d073_DYE_YJD","YJD","DYE",6,18,"bottom","DYE-0322","DYE-0384","DYE-0130","DYE-0198","DYE-0413","DYE-0255","DYE-0122","DYE-0089","DYE-0155","YJD-0166",NA,NA,NA
"y2_d073_DYE_YJD","YJD","DYE",7,19,"top","YJD-0335","YJD-0007","YJD-0166","YJD-0278","YJD-0304","YJD-0312","YJD-0185","YJD-0398","YJD-0397","DYE-0130",NA,NA,NA
"y2_d073_DYE_YJD","YJD","DYE",8,20,"top","YJD-0335","YJD-0007","YJD-0166","YJD-0278","YJD-0304","YJD-0312","YJD-0185","YJD-0398","YJD-0397","DYE-0384",NA,NA,NA
"y2_d073_DYE_YJD","YJD","DYE",8,21,"top","YJD-0335","YJD-0007","YJD-0166","YJD-0278","YJD-0304","YJD-0312","YJD-0185","YJD-0398","YJD-0397","DYE-0384",NA,NA,NA
