"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y2_d064_ESW_YJD","YJD","ESW",1,1,"top","YJD-0420","YJD-0067","YJD-0166","YJD-0278","YJD-0080","YJD-0312","YJD-0366","YJD-0019","YJD-0340","ESW-2213",NA,NA,NA
"y2_d064_ESW_YJD","YJD","ESW",1,2,"top","YJD-0420","YJD-0067","YJD-0166","YJD-0278","YJD-0080","YJD-0312","YJD-0366","YJD-0019","YJD-0340","ESW-2213",NA,NA,NA
"y2_d064_ESW_YJD","YJD","ESW",1,3,"top","YJD-0420","YJD-0067","YJD-0166","YJD-0278","YJD-0080","YJD-0312","YJD-0366","YJD-0019","YJD-0340","ESW-2213",NA,NA,NA
"y2_d064_ESW_YJD","YJD","ESW",1,4,"top","YJD-0420","YJD-0067","YJD-0166","YJD-0278","YJD-0080","YJD-0312","YJD-0366","YJD-0019","YJD-0340","ESW-2213",NA,NA,NA
"y2_d064_ESW_YJD","YJD","ESW",1,5,"top","YJD-0420","YJD-0067","YJD-0166","YJD-0278","YJD-0080","YJD-0312","YJD-0366","YJD-0019","YJD-0340","ESW-2213",NA,NA,NA
"y2_d064_ESW_YJD","YJD","ESW",1,6,"top","YJD-0420","YJD-0067","YJD-0166","YJD-0278","YJD-0080","YJD-0312","YJD-0366","YJD-0019","YJD-0340","ESW-2213",NA,NA,NA
"y2_d064_ESW_YJD","YJD","ESW",2,7,"top","YJD-0420","YJD-0067","YJD-0166","YJD-0278","YJD-0080","YJD-0312","YJD-0366","YJD-0019","YJD-0340","ESW-2290",NA,NA,NA
"y2_d064_ESW_YJD","YJD","ESW",2,8,"top","YJD-0420","YJD-0067","YJD-0166","YJD-0278","YJD-0080","YJD-0312","YJD-0366","YJD-0019","YJD-0340","ESW-2290",NA,NA,NA
"y2_d064_ESW_YJD","YJD","ESW",2,9,"top","YJD-0420","YJD-0067","YJD-0166","YJD-0278","YJD-0080","YJD-0312","YJD-0366","YJD-0019","YJD-0340","ESW-2290",NA,NA,NA
"y2_d064_ESW_YJD","YJD","ESW",3,10,"top","YJD-0420","YJD-0067","YJD-0166","YJD-0278","YJD-0080","YJD-0312","YJD-0366","YJD-0019","YJD-0340","ESW-1105",NA,NA,NA
"y2_d064_ESW_YJD","YJD","ESW",3,11,"top","YJD-0420","YJD-0067","YJD-0166","YJD-0278","YJD-0080","YJD-0312","YJD-0366","YJD-0019","YJD-0340","ESW-1105",NA,NA,NA
"y2_d064_ESW_YJD","YJD","ESW",3,12,"top","YJD-0420","YJD-0067","YJD-0166","YJD-0278","YJD-0080","YJD-0312","YJD-0366","YJD-0019","YJD-0340","ESW-1105",NA,NA,NA
"y2_d064_ESW_YJD","YJD","ESW",3,13,"top","YJD-0420","YJD-0067","YJD-0166","YJD-0278","YJD-0080","YJD-0312","YJD-0366","YJD-0019","YJD-0340","ESW-1105",NA,NA,NA
"y2_d064_ESW_YJD","YJD","ESW",3,14,"top","YJD-0420","YJD-0067","YJD-0166","YJD-0278","YJD-0080","YJD-0312","YJD-0366","YJD-0019","YJD-0340","ESW-1105",NA,NA,NA
"y2_d064_ESW_YJD","YJD","ESW",4,15,"bottom","ESW-2002","ESW-1065","ESW-1643","ESW-1105","ESW-1908","ESW-2290","ESW-2445","ESW-2213","ESW-2577","YJD-0019",NA,NA,NA
"y2_d064_ESW_YJD","YJD","ESW",4,16,"bottom","ESW-2002","ESW-1065","ESW-1643","ESW-1105","ESW-1908","ESW-2290","ESW-2445","ESW-2213","ESW-2577","YJD-0019",NA,NA,NA
"y2_d064_ESW_YJD","YJD","ESW",5,17,"bottom","ESW-2002","ESW-1065","ESW-1643","ESW-1105","ESW-1908","ESW-2290","ESW-2445","ESW-2213","ESW-2577","YJD-0166",NA,NA,NA
"y2_d064_ESW_YJD","YJD","ESW",5,18,"bottom","ESW-2002","ESW-1065","ESW-1643","ESW-1105","ESW-1908","ESW-2290","ESW-2445","ESW-2213","ESW-2577","YJD-0166",NA,NA,NA
"y2_d064_ESW_YJD","YJD","ESW",5,19,"bottom","ESW-2002","ESW-1065","ESW-1643","ESW-1105","ESW-1908","ESW-2290","ESW-2445","ESW-2213","ESW-2577","YJD-0166",NA,NA,NA
"y2_d064_ESW_YJD","YJD","ESW",5,20,"bottom","ESW-2002","ESW-1065","ESW-1643","ESW-1105","ESW-1908","ESW-2290","ESW-2445","ESW-2213","ESW-2577","YJD-0166",NA,NA,NA
"y2_d064_ESW_YJD","YJD","ESW",5,21,"bottom","ESW-2002","ESW-1065","ESW-1643","ESW-1105","ESW-1908","ESW-2290","ESW-2445","ESW-2213","ESW-2577","YJD-0166",NA,NA,NA
"y2_d064_ESW_YJD","YJD","ESW",5,22,"bottom","ESW-2002","ESW-1065","ESW-1643","ESW-1105","ESW-1908","ESW-2290","ESW-2445","ESW-2213","ESW-2577","YJD-0166",NA,NA,NA
"y2_d064_ESW_YJD","YJD","ESW",5,23,"bottom","ESW-2002","ESW-1065","ESW-1643","ESW-1105","ESW-1908","ESW-2290","ESW-2445","ESW-2213","ESW-2577","YJD-0166",NA,NA,NA
"y2_d064_ESW_YJD","YJD","ESW",6,24,"bottom","ESW-2002","ESW-1065","ESW-1643","ESW-1105","ESW-1908","ESW-2290","ESW-2445","ESW-2213","ESW-2577","YJD-0340",NA,NA,NA
