"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y1_d078_GAX_YJD","YJD","GAX",1,1,"top","YJD-0420","YJD-0020","YJD-0223","YJD-0060","YJD-0284","YJD-0172","YJD-0340","YJD-0106","YJD-0193","GAX-2281",NA,NA,NA
"y1_d078_GAX_YJD","YJD","GAX",1,2,"top","YJD-0420","YJD-0020","YJD-0223","YJD-0060","YJD-0284","YJD-0172","YJD-0340","YJD-0106","YJD-0193","GAX-2281",NA,NA,NA
"y1_d078_GAX_YJD","YJD","GAX",1,3,"top","YJD-0420","YJD-0020","YJD-0223","YJD-0060","YJD-0284","YJD-0172","YJD-0340","YJD-0106","YJD-0193","GAX-2281",NA,NA,NA
"y1_d078_GAX_YJD","YJD","GAX",1,4,"top","YJD-0420","YJD-0020","YJD-0223","YJD-0060","YJD-0284","YJD-0172","YJD-0340","YJD-0106","YJD-0193","GAX-2281",NA,NA,NA
"y1_d078_GAX_YJD","YJD","GAX",1,5,"top","YJD-0420","YJD-0020","YJD-0223","YJD-0060","YJD-0284","YJD-0172","YJD-0340","YJD-0106","YJD-0193","GAX-2281",NA,NA,NA
"y1_d078_GAX_YJD","YJD","GAX",1,6,"top","YJD-0420","YJD-0020","YJD-0223","YJD-0060","YJD-0284","YJD-0172","YJD-0340","YJD-0106","YJD-0193","GAX-2281",NA,NA,NA
"y1_d078_GAX_YJD","YJD","GAX",2,7,"top","YJD-0420","YJD-0020","YJD-0223","YJD-0060","YJD-0284","YJD-0172","YJD-0340","YJD-0106","YJD-0193","GAX-2093",NA,NA,NA
"y1_d078_GAX_YJD","YJD","GAX",2,8,"top","YJD-0420","YJD-0020","YJD-0223","YJD-0060","YJD-0284","YJD-0172","YJD-0340","YJD-0106","YJD-0193","GAX-2093",NA,NA,NA
"y1_d078_GAX_YJD","YJD","GAX",2,9,"top","YJD-0420","YJD-0020","YJD-0223","YJD-0060","YJD-0284","YJD-0172","YJD-0340","YJD-0106","YJD-0193","GAX-2093",NA,NA,NA
"y1_d078_GAX_YJD","YJD","GAX",2,10,"top","YJD-0420","YJD-0020","YJD-0223","YJD-0060","YJD-0284","YJD-0172","YJD-0340","YJD-0106","YJD-0193","GAX-2093",NA,NA,NA
"y1_d078_GAX_YJD","YJD","GAX",2,11,"top","YJD-0420","YJD-0020","YJD-0223","YJD-0060","YJD-0284","YJD-0172","YJD-0340","YJD-0106","YJD-0193","GAX-2093",NA,NA,NA
"y1_d078_GAX_YJD","YJD","GAX",3,12,"top","YJD-0420","YJD-0020","YJD-0223","YJD-0060","YJD-0284","YJD-0172","YJD-0340","YJD-0106","YJD-0193","GAX-2306",NA,NA,NA
"y1_d078_GAX_YJD","YJD","GAX",3,13,"top","YJD-0420","YJD-0020","YJD-0223","YJD-0060","YJD-0284","YJD-0172","YJD-0340","YJD-0106","YJD-0193","GAX-2306",NA,NA,NA
"y1_d078_GAX_YJD","YJD","GAX",3,14,"top","YJD-0420","YJD-0020","YJD-0223","YJD-0060","YJD-0284","YJD-0172","YJD-0340","YJD-0106","YJD-0193","GAX-2306",NA,NA,NA
"y1_d078_GAX_YJD","YJD","GAX",3,15,"top","YJD-0420","YJD-0020","YJD-0223","YJD-0060","YJD-0284","YJD-0172","YJD-0340","YJD-0106","YJD-0193","GAX-2306",NA,NA,NA
"y1_d078_GAX_YJD","YJD","GAX",3,16,"top","YJD-0420","YJD-0020","YJD-0223","YJD-0060","YJD-0284","YJD-0172","YJD-0340","YJD-0106","YJD-0193","GAX-2306",NA,NA,NA
"y1_d078_GAX_YJD","YJD","GAX",4,17,"bottom","GAX-2004","GAX-2386","GAX-1732","GAX-2264","GAX-1283","GAX-2018","GAX-1096","GAX-2281","GAX-2306","YJD-0193",NA,NA,NA
"y1_d078_GAX_YJD","YJD","GAX",4,18,"bottom","GAX-2004","GAX-2386","GAX-1732","GAX-2264","GAX-1283","GAX-2018","GAX-1096","GAX-2281","GAX-2306","YJD-0193",NA,NA,NA
"y1_d078_GAX_YJD","YJD","GAX",4,19,"bottom","GAX-2004","GAX-2386","GAX-1732","GAX-2264","GAX-1283","GAX-2018","GAX-1096","GAX-2281","GAX-2306","YJD-0193",NA,NA,NA
"y1_d078_GAX_YJD","YJD","GAX",4,20,"bottom","GAX-2004","GAX-2386","GAX-1732","GAX-2264","GAX-1283","GAX-2018","GAX-1096","GAX-2281","GAX-2306","YJD-0193",NA,NA,NA
"y1_d078_GAX_YJD","YJD","GAX",4,21,"bottom","GAX-2004","GAX-2386","GAX-1732","GAX-2264","GAX-1283","GAX-2018","GAX-1096","GAX-2281","GAX-2306","YJD-0193",NA,NA,NA
"y1_d078_GAX_YJD","YJD","GAX",5,22,"bottom","GAX-2004","GAX-2386","GAX-1732","GAX-2264","GAX-1283","GAX-2018","GAX-1096","GAX-2281","GAX-2306","YJD-0106",NA,NA,NA
"y1_d078_GAX_YJD","YJD","GAX",5,23,"bottom","GAX-2004","GAX-2386","GAX-1732","GAX-2264","GAX-1283","GAX-2018","GAX-1096","GAX-2281","GAX-2306","YJD-0106",NA,NA,NA
"y1_d078_GAX_YJD","YJD","GAX",6,24,"bottom","GAX-2004","GAX-2386","GAX-1732","GAX-2264","GAX-1283","GAX-2018","GAX-1096","GAX-2281","GAX-2306","YJD-0284","YJD-0106",NA,NA
"y1_d078_GAX_YJD","YJD","GAX",6,25,"bottom","GAX-2004","GAX-2386","GAX-1732","GAX-2264","GAX-1283","GAX-2018","GAX-1096","GAX-2281","GAX-2306","YJD-0284","YJD-0106",NA,NA
"y1_d078_GAX_YJD","YJD","GAX",6,26,"bottom","GAX-2004","GAX-2386","GAX-1732","GAX-2264","GAX-1283","GAX-2018","GAX-1096","GAX-2281","GAX-2306","YJD-0284","YJD-0106",NA,NA
"y1_d078_GAX_YJD","YJD","GAX",6,27,"bottom","GAX-2004","GAX-2386","GAX-1732","GAX-2264","GAX-1283","GAX-2018","GAX-1096","GAX-2281","GAX-2306","YJD-0284","YJD-0106",NA,NA
"y1_d078_GAX_YJD","YJD","GAX",6,28,"bottom","GAX-2004","GAX-2386","GAX-1732","GAX-2264","GAX-1283","GAX-2018","GAX-1096","GAX-2281","GAX-2306","YJD-0284","YJD-0106",NA,NA
"y1_d078_GAX_YJD","YJD","GAX",6,29,"bottom","GAX-2004","GAX-2386","GAX-1732","GAX-2264","GAX-1283","GAX-2018","GAX-1096","GAX-2281","GAX-2306","YJD-0284","YJD-0106",NA,NA
"y1_d078_GAX_YJD","YJD","GAX",6,30,"bottom","GAX-2004","GAX-2386","GAX-1732","GAX-2264","GAX-1283","GAX-2018","GAX-1096","GAX-2281","GAX-2306","YJD-0284","YJD-0106",NA,NA
"y1_d078_GAX_YJD","YJD","GAX",NA,31,"bottom","GAX-2004","GAX-2386","GAX-1732","GAX-2264","GAX-1283","GAX-2018","GAX-1096","GAX-2281","GAX-2306","YJD-0284","YJD-0106",NA,NA
"y1_d078_GAX_YJD","YJD","GAX",6,32,"bottom","GAX-2004","GAX-2386","GAX-1732","GAX-2264","GAX-1283","GAX-2018","GAX-1096","GAX-2281","GAX-2306","YJD-0284",NA,"YJD-0106",NA
"y1_d078_GAX_YJD","YJD","GAX",7,33,"bottom","GAX-2004","GAX-2386","GAX-1732","GAX-2264","GAX-1283","GAX-2018","GAX-1096","GAX-2281","GAX-2306","YJD-0166",NA,NA,NA
"y1_d078_GAX_YJD","YJD","GAX",7,34,"bottom","GAX-2004","GAX-2386","GAX-1732","GAX-2264","GAX-1283","GAX-2018","GAX-1096","GAX-2281","GAX-2306","YJD-0166",NA,NA,NA
"y1_d078_GAX_YJD","YJD","GAX",7,35,"bottom","GAX-2004","GAX-2386","GAX-1732","GAX-2264","GAX-1283","GAX-2018","GAX-1096","GAX-2281","GAX-2306","YJD-0166",NA,NA,NA
"y1_d078_GAX_YJD","YJD","GAX",7,36,"bottom","GAX-2004","GAX-2386","GAX-1732","GAX-2264","GAX-1283","GAX-2018","GAX-1096","GAX-2281","GAX-2306","YJD-0166",NA,NA,NA
"y1_d078_GAX_YJD","YJD","GAX",8,37,"bottom","GAX-2004","GAX-2386","GAX-1732","GAX-2264","GAX-1283","GAX-2018","GAX-1096","GAX-2281","GAX-2306","YJD-0340",NA,NA,NA
"y1_d078_GAX_YJD","YJD","GAX",9,38,"top","YJD-0420","YJD-0020","YJD-0223","YJD-0060","YJD-0284","YJD-0172","YJD-0340","YJD-0106","YJD-0193","GAX-1283",NA,NA,NA
"y1_d078_GAX_YJD","YJD","GAX",9,39,"top","YJD-0420","YJD-0020","YJD-0223","YJD-0060","YJD-0284","YJD-0172","YJD-0340","YJD-0106","YJD-0193","GAX-1283",NA,NA,NA
"y1_d078_GAX_YJD","YJD","GAX",9,40,"top","YJD-0420","YJD-0020","YJD-0223","YJD-0060","YJD-0284","YJD-0172","YJD-0340","YJD-0106","YJD-0193","GAX-1283",NA,NA,NA
"y1_d078_GAX_YJD","YJD","GAX",10,41,"top","YJD-0420","YJD-0020","YJD-0223","YJD-0060","YJD-0284","YJD-0172","YJD-0340","YJD-0106","YJD-0193","GAX-1096",NA,"GAX-1283",NA
