"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y1_d010_GEA_YJD","YJD","GEA",1,1,"top","YJD-0133","YJD-0020","YJD-0223","YJD-0281","YJD-0025","YJD-0345","YJD-0327","YJD-0338","YJD-0193","GEA-1485",NA,NA,NA
"y1_d010_GEA_YJD","YJD","GEA",1,2,"top","YJD-0133","YJD-0020","YJD-0223","YJD-0281","YJD-0025","YJD-0345","YJD-0327","YJD-0338","YJD-0193","GEA-1485",NA,NA,NA
"y1_d010_GEA_YJD","YJD","GEA",1,3,"top","YJD-0133","YJD-0020","YJD-0223","YJD-0281","YJD-0025","YJD-0345","YJD-0327","YJD-0338","YJD-0193","GEA-1485",NA,NA,NA
"y1_d010_GEA_YJD","YJD","GEA",1,4,"top","YJD-0133","YJD-0020","YJD-0223","YJD-0281","YJD-0025","YJD-0345","YJD-0327","YJD-0338","YJD-0193","GEA-1485",NA,NA,NA
"y1_d010_GEA_YJD","YJD","GEA",2,5,"top","YJD-0133","YJD-0020","YJD-0223","YJD-0281","YJD-0025","YJD-0345","YJD-0327","YJD-0338","YJD-0193","GEA-1284",NA,NA,NA
"y1_d010_GEA_YJD","YJD","GEA",2,6,"top","YJD-0133","YJD-0020","YJD-0223","YJD-0281","YJD-0025","YJD-0345","YJD-0327","YJD-0338","YJD-0193","GEA-1284",NA,NA,NA
"y1_d010_GEA_YJD","YJD","GEA",2,7,"top","YJD-0133","YJD-0020","YJD-0223","YJD-0281","YJD-0025","YJD-0345","YJD-0327","YJD-0338","YJD-0193","GEA-1284",NA,NA,NA
"y1_d010_GEA_YJD","YJD","GEA",3,8,"top","YJD-0133","YJD-0020","YJD-0223","YJD-0281","YJD-0025","YJD-0345","YJD-0327","YJD-0338","YJD-0193","GEA-2400",NA,NA,NA
"y1_d010_GEA_YJD","YJD","GEA",3,9,"top","YJD-0133","YJD-0020","YJD-0223","YJD-0281","YJD-0025","YJD-0345","YJD-0327","YJD-0338","YJD-0193","GEA-2400",NA,NA,NA
"y1_d010_GEA_YJD","YJD","GEA",3,10,"top","YJD-0133","YJD-0020","YJD-0223","YJD-0281","YJD-0025","YJD-0345","YJD-0327","YJD-0338","YJD-0193","GEA-2400",NA,NA,NA
