"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y2_d004_GHD_YJD","YJD","GHD",1,1,"top","YJD-0141","YJD-0024","YJD-0366","YJD-0405","YJD-0229","YJD-0374","YJD-0397","YJD-0019","YJD-0312","GHD-2483",NA,NA,NA
"y2_d004_GHD_YJD","YJD","GHD",1,2,"top","YJD-0141","YJD-0024","YJD-0366","YJD-0405","YJD-0229","YJD-0374","YJD-0397","YJD-0019","YJD-0312","GHD-2483",NA,NA,NA
"y2_d004_GHD_YJD","YJD","GHD",1,3,"top","YJD-0141","YJD-0024","YJD-0366","YJD-0405","YJD-0229","YJD-0374","YJD-0397","YJD-0019","YJD-0312","GHD-2483",NA,NA,NA
"y2_d004_GHD_YJD","YJD","GHD",1,4,"top","YJD-0141","YJD-0024","YJD-0366","YJD-0405","YJD-0229","YJD-0374","YJD-0397","YJD-0019","YJD-0312","GHD-2483",NA,NA,NA
"y2_d004_GHD_YJD","YJD","GHD",1,5,"top","YJD-0141","YJD-0024","YJD-0366","YJD-0405","YJD-0229","YJD-0374","YJD-0397","YJD-0019","YJD-0312","GHD-2483",NA,NA,NA
"y2_d004_GHD_YJD","YJD","GHD",2,6,"top","YJD-0141","YJD-0024","YJD-0366","YJD-0405","YJD-0229","YJD-0374","YJD-0397","YJD-0019","YJD-0312","GHD-2567",NA,NA,NA
"y2_d004_GHD_YJD","YJD","GHD",2,7,"top","YJD-0141","YJD-0024","YJD-0366","YJD-0405","YJD-0229","YJD-0374","YJD-0397","YJD-0019","YJD-0312","GHD-2567",NA,NA,NA
"y2_d004_GHD_YJD","YJD","GHD",3,8,"top","YJD-0141","YJD-0024","YJD-0366","YJD-0405","YJD-0229","YJD-0374","YJD-0397","YJD-0019","YJD-0312","GHD-1702",NA,NA,NA
"y2_d004_GHD_YJD","YJD","GHD",3,9,"top","YJD-0141","YJD-0024","YJD-0366","YJD-0405","YJD-0229","YJD-0374","YJD-0397","YJD-0019","YJD-0312","GHD-1702",NA,NA,NA
"y2_d004_GHD_YJD","YJD","GHD",4,10,"bottom","GHD-2037","GHD-1558","GHD-1702","GHD-1074","GHD-1081","GHD-1403","GHD-1063","GHD-2567","GHD-1181","YJD-0019",NA,NA,NA
"y2_d004_GHD_YJD","YJD","GHD",4,11,"bottom","GHD-2037","GHD-1558","GHD-1702","GHD-1074","GHD-1081","GHD-1403","GHD-1063","GHD-2567","GHD-1181","YJD-0019",NA,NA,NA
"y2_d004_GHD_YJD","YJD","GHD",4,12,"bottom","GHD-2037","GHD-1558","GHD-1702","GHD-1074","GHD-1081","GHD-1403","GHD-1063","GHD-2567","GHD-1181","YJD-0019",NA,NA,NA
"y2_d004_GHD_YJD","YJD","GHD",4,13,"bottom","GHD-2037","GHD-1558","GHD-1702","GHD-1074","GHD-1081","GHD-1403","GHD-1063","GHD-2567","GHD-1181","YJD-0019",NA,NA,NA
"y2_d004_GHD_YJD","YJD","GHD",4,14,"bottom","GHD-2037","GHD-1558","GHD-1702","GHD-1074","GHD-1081","GHD-1403","GHD-1063","GHD-2567","GHD-1181","YJD-0019",NA,NA,NA
"y2_d004_GHD_YJD","YJD","GHD",5,15,"bottom","GHD-2037","GHD-1558","GHD-1702","GHD-1074","GHD-1081","GHD-1403","GHD-1063","GHD-2567","GHD-1181","YJD-0374",NA,NA,NA
"y2_d004_GHD_YJD","YJD","GHD",5,16,"bottom","GHD-2037","GHD-1558","GHD-1702","GHD-1074","GHD-1081","GHD-1403","GHD-1063","GHD-2567","GHD-1181","YJD-0374",NA,NA,NA
"y2_d004_GHD_YJD","YJD","GHD",5,17,"bottom","GHD-2037","GHD-1558","GHD-1702","GHD-1074","GHD-1081","GHD-1403","GHD-1063","GHD-2567","GHD-1181","YJD-0374",NA,NA,NA
"y2_d004_GHD_YJD","YJD","GHD",5,18,"bottom","GHD-2037","GHD-1558","GHD-1702","GHD-1074","GHD-1081","GHD-1403","GHD-1063","GHD-2567","GHD-1181","YJD-0374",NA,NA,NA
"y2_d004_GHD_YJD","YJD","GHD",5,19,"bottom","GHD-2037","GHD-1558","GHD-1702","GHD-1074","GHD-1081","GHD-1403","GHD-1063","GHD-2567","GHD-1181","YJD-0374",NA,NA,NA
"y2_d004_GHD_YJD","YJD","GHD",5,20,"bottom","GHD-2037","GHD-1558","GHD-1702","GHD-1074","GHD-1081","GHD-1403","GHD-1063","GHD-2567","GHD-1181","YJD-0374",NA,NA,NA
"y2_d004_GHD_YJD","YJD","GHD",6,21,"bottom","GHD-2037","GHD-1558","GHD-1702","GHD-1074","GHD-1081","GHD-1403","GHD-1063","GHD-2567","GHD-1181","YJD-0229","YJD-0374",NA,NA
"y2_d004_GHD_YJD","YJD","GHD",6,22,"bottom","GHD-2037","GHD-1558","GHD-1702","GHD-1074","GHD-1081","GHD-1403","GHD-1063","GHD-2567","GHD-1181","YJD-0229","YJD-0374",NA,NA
"y2_d004_GHD_YJD","YJD","GHD",6,23,"bottom","GHD-2037","GHD-1558","GHD-1702","GHD-1074","GHD-1081","GHD-1403","GHD-1063","GHD-2567","GHD-1181","YJD-0229","YJD-0374",NA,NA
"y2_d004_GHD_YJD","YJD","GHD",6,24,"bottom","GHD-2037","GHD-1558","GHD-1702","GHD-1074","GHD-1081","GHD-1403","GHD-1063","GHD-2567","GHD-1181","YJD-0229","YJD-0374",NA,NA
"y2_d004_GHD_YJD","YJD","GHD",7,25,"bottom","GHD-2037","GHD-1558","GHD-1702","GHD-1074","GHD-1081","GHD-1403","GHD-1063","GHD-2567","GHD-1181","YJD-0373",NA,"YJD-0374",NA
"y2_d004_GHD_YJD","YJD","GHD",7,26,"bottom","GHD-2037","GHD-1558","GHD-1702","GHD-1074","GHD-1081","GHD-1403","GHD-1063","GHD-2567","GHD-1181","YJD-0373",NA,"YJD-0374",NA
"y2_d004_GHD_YJD","YJD","GHD",7,27,"bottom","GHD-2037","GHD-1558","GHD-1702","GHD-1074","GHD-1081","GHD-1403","GHD-1063","GHD-2567","GHD-1181","YJD-0373",NA,"YJD-0374",NA
"y2_d004_GHD_YJD","YJD","GHD",7,28,"bottom","GHD-2037","GHD-1558","GHD-1702","GHD-1074","GHD-1081","GHD-1403","GHD-1063","GHD-2567","GHD-1181","YJD-0373",NA,"YJD-0374",NA
"y2_d004_GHD_YJD","YJD","GHD",7,29,"bottom","GHD-2037","GHD-1558","GHD-1702","GHD-1074","GHD-1081","GHD-1403","GHD-1063","GHD-2567","GHD-1181","YJD-0373",NA,"YJD-0374",NA
"y2_d004_GHD_YJD","YJD","GHD",8,30,"bottom","GHD-2037","GHD-1558","GHD-1702","GHD-1074","GHD-1081","GHD-1403","GHD-1063","GHD-2567","GHD-1181","YJD-0366","YJD-0373","YJD-0374",NA
"y2_d004_GHD_YJD","YJD","GHD",8,31,"bottom","GHD-2037","GHD-1558","GHD-1702","GHD-1074","GHD-1081","GHD-1403","GHD-1063","GHD-2567","GHD-1181","YJD-0366","YJD-0373","YJD-0374",NA
"y2_d004_GHD_YJD","YJD","GHD",8,32,"bottom","GHD-2037","GHD-1558","GHD-1702","GHD-1074","GHD-1081","GHD-1403","GHD-1063","GHD-2567","GHD-1181","YJD-0366","YJD-0373","YJD-0374",NA
"y2_d004_GHD_YJD","YJD","GHD",8,33,"bottom","GHD-2037","GHD-1558","GHD-1702","GHD-1074","GHD-1081","GHD-1403","GHD-1063","GHD-2567","GHD-1181","YJD-0366","YJD-0373","YJD-0374",NA
"y2_d004_GHD_YJD","YJD","GHD",9,35,"top","YJD-0141","YJD-0024","YJD-0366","YJD-0405","YJD-0229","YJD-0374","YJD-0397","YJD-0019","YJD-0312","GHD-1181",NA,NA,NA
"y2_d004_GHD_YJD","YJD","GHD",9,36,"top","YJD-0141","YJD-0024","YJD-0366","YJD-0405","YJD-0229","YJD-0374","YJD-0397","YJD-0019","YJD-0312","GHD-1181",NA,NA,NA
"y2_d004_GHD_YJD","YJD","GHD",9,37,"top","YJD-0141","YJD-0024","YJD-0366","YJD-0405","YJD-0229","YJD-0374","YJD-0397","YJD-0019","YJD-0312","GHD-1181",NA,NA,NA
"y2_d004_GHD_YJD","YJD","GHD",9,38,"top","YJD-0141","YJD-0024","YJD-0366","YJD-0405","YJD-0229","YJD-0374","YJD-0397","YJD-0019","YJD-0312","GHD-1181",NA,NA,NA
"y2_d004_GHD_YJD","YJD","GHD",9,39,"top","YJD-0141","YJD-0024","YJD-0366","YJD-0405","YJD-0229","YJD-0374","YJD-0397","YJD-0019","YJD-0312","GHD-1181",NA,NA,NA
"y2_d004_GHD_YJD","YJD","GHD",9,40,"top","YJD-0141","YJD-0024","YJD-0366","YJD-0405","YJD-0229","YJD-0374","YJD-0397","YJD-0019","YJD-0312","GHD-1181",NA,NA,NA
"y2_d004_GHD_YJD","YJD","GHD",10,41,"top","YJD-0141","YJD-0024","YJD-0366","YJD-0405","YJD-0229","YJD-0374","YJD-0397","YJD-0019","YJD-0312","GHD-1063",NA,NA,NA
"y2_d004_GHD_YJD","YJD","GHD",10,42,"top","YJD-0141","YJD-0024","YJD-0366","YJD-0405","YJD-0229","YJD-0374","YJD-0397","YJD-0019","YJD-0312","GHD-1063",NA,NA,NA
"y2_d004_GHD_YJD","YJD","GHD",10,43,"top","YJD-0141","YJD-0024","YJD-0366","YJD-0405","YJD-0229","YJD-0374","YJD-0397","YJD-0019","YJD-0312","GHD-1063",NA,NA,NA
"y2_d004_GHD_YJD","YJD","GHD",10,44,"top","YJD-0141","YJD-0024","YJD-0366","YJD-0405","YJD-0229","YJD-0374","YJD-0397","YJD-0019","YJD-0312","GHD-1063",NA,NA,NA
"y2_d004_GHD_YJD","YJD","GHD",10,45,"top","YJD-0141","YJD-0024","YJD-0366","YJD-0405","YJD-0229","YJD-0374","YJD-0397","YJD-0019","YJD-0312","GHD-1063",NA,NA,NA
"y2_d004_GHD_YJD","YJD","GHD",11,46,"top","YJD-0141","YJD-0024","YJD-0366","YJD-0405","YJD-0229","YJD-0374","YJD-0397","YJD-0019","YJD-0312","GHD-1081","GHD-1063",NA,NA
"y2_d004_GHD_YJD","YJD","GHD",11,47,"top","YJD-0141","YJD-0024","YJD-0366","YJD-0405","YJD-0229","YJD-0374","YJD-0397","YJD-0019","YJD-0312","GHD-1081","GHD-1063",NA,NA
"y2_d004_GHD_YJD","YJD","GHD",11,48,"top","YJD-0141","YJD-0024","YJD-0366","YJD-0405","YJD-0229","YJD-0374","YJD-0397","YJD-0019","YJD-0312","GHD-1081","GHD-1063",NA,NA
"y2_d004_GHD_YJD","YJD","GHD",12,49,"top","YJD-0141","YJD-0024","YJD-0366","YJD-0405","YJD-0229","YJD-0374","YJD-0397","YJD-0019","YJD-0312","GHD-1558","GHD-1081","GHD-1063",NA
"y2_d004_GHD_YJD","YJD","GHD",12,50,"top","YJD-0141","YJD-0024","YJD-0366","YJD-0405","YJD-0229","YJD-0374","YJD-0397","YJD-0019","YJD-0312","GHD-1558","GHD-1081","GHD-1063",NA
