"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y1_d066_IAQ_YJD","YJD","IAQ",1,1,"top","YJD-0147","YJD-0020","YJD-0373","YJD-0060","YJD-0025","YJD-0172","YJD-0185","YJD-0210","YJD-0340","IAQ-2529",NA,NA,NA
"y1_d066_IAQ_YJD","YJD","IAQ",1,2,"top","YJD-0147","YJD-0020","YJD-0373","YJD-0060","YJD-0025","YJD-0172","YJD-0185","YJD-0210","YJD-0340","IAQ-2529",NA,NA,NA
"y1_d066_IAQ_YJD","YJD","IAQ",1,3,"top","YJD-0147","YJD-0020","YJD-0373","YJD-0060","YJD-0025","YJD-0172","YJD-0185","YJD-0210","YJD-0340","IAQ-2529",NA,NA,NA
"y1_d066_IAQ_YJD","YJD","IAQ",2,4,"top","YJD-0147","YJD-0020","YJD-0373","YJD-0060","YJD-0025","YJD-0172","YJD-0185","YJD-0210","YJD-0340","IAQ-1483",NA,"IAQ-2529",NA
"y1_d066_IAQ_YJD","YJD","IAQ",3,5,"top","YJD-0147","YJD-0020","YJD-0373","YJD-0060","YJD-0025","YJD-0172","YJD-0185","YJD-0210","YJD-0340","IAQ-1927",NA,NA,"IAQ-2529"
"y1_d066_IAQ_YJD","YJD","IAQ",3,6,"top","YJD-0147","YJD-0020","YJD-0373","YJD-0060","YJD-0025","YJD-0172","YJD-0185","YJD-0210","YJD-0340","IAQ-1927",NA,NA,"IAQ-2529"
"y1_d066_IAQ_YJD","YJD","IAQ",3,7,"top","YJD-0147","YJD-0020","YJD-0373","YJD-0060","YJD-0025","YJD-0172","YJD-0185","YJD-0210","YJD-0340","IAQ-1927",NA,NA,"IAQ-2529"
"y1_d066_IAQ_YJD","YJD","IAQ",3,8,"top","YJD-0147","YJD-0020","YJD-0373","YJD-0060","YJD-0025","YJD-0172","YJD-0185","YJD-0210","YJD-0340","IAQ-1927",NA,NA,"IAQ-2529"
"y1_d066_IAQ_YJD","YJD","IAQ",3,9,"top","YJD-0147","YJD-0020","YJD-0373","YJD-0060","YJD-0025","YJD-0172","YJD-0185","YJD-0210","YJD-0340","IAQ-1927",NA,NA,"IAQ-2529"
"y1_d066_IAQ_YJD","YJD","IAQ",3,10,"top","YJD-0147","YJD-0020","YJD-0373","YJD-0060","YJD-0025","YJD-0172","YJD-0185","YJD-0210","YJD-0340","IAQ-1927",NA,NA,"IAQ-2529"
"y1_d066_IAQ_YJD","YJD","IAQ",4,11,"top","YJD-0147","YJD-0020","YJD-0373","YJD-0060","YJD-0025","YJD-0172","YJD-0185","YJD-0210","YJD-0340","IAQ-1376",NA,NA,"IAQ-2529"
"y1_d066_IAQ_YJD","YJD","IAQ",4,12,"top","YJD-0147","YJD-0020","YJD-0373","YJD-0060","YJD-0025","YJD-0172","YJD-0185","YJD-0210","YJD-0340","IAQ-1376",NA,NA,"IAQ-2529"
"y1_d066_IAQ_YJD","YJD","IAQ",5,13,"bottom","IAQ-1085","IAQ-1376","IAQ-2453","IAQ-2529","IAQ-1483","IAQ-1216","IAQ-1358","IAQ-1783","IAQ-1669","YJD-0193",NA,NA,NA
"y1_d066_IAQ_YJD","YJD","IAQ",5,14,"bottom","IAQ-1085","IAQ-1376","IAQ-2453","IAQ-2529","IAQ-1483","IAQ-1216","IAQ-1358","IAQ-1783","IAQ-1669","YJD-0193",NA,NA,NA
"y1_d066_IAQ_YJD","YJD","IAQ",5,15,"bottom","IAQ-1085","IAQ-1376","IAQ-2453","IAQ-2529","IAQ-1483","IAQ-1216","IAQ-1358","IAQ-1783","IAQ-1669","YJD-0193",NA,NA,NA
"y1_d066_IAQ_YJD","YJD","IAQ",5,16,"bottom","IAQ-1085","IAQ-1376","IAQ-2453","IAQ-2529","IAQ-1483","IAQ-1216","IAQ-1358","IAQ-1783","IAQ-1669","YJD-0193",NA,NA,NA
"y1_d066_IAQ_YJD","YJD","IAQ",6,17,"bottom","IAQ-1085","IAQ-1376","IAQ-2453","IAQ-2529","IAQ-1483","IAQ-1216","IAQ-1358","IAQ-1783","IAQ-1669","YJD-0025",NA,NA,NA
"y1_d066_IAQ_YJD","YJD","IAQ",7,18,"bottom","IAQ-1085","IAQ-1376","IAQ-2453","IAQ-2529","IAQ-1483","IAQ-1216","IAQ-1358","IAQ-1783","IAQ-1669","YJD-0210","YJD-0025",NA,NA
"y1_d066_IAQ_YJD","YJD","IAQ",7,19,"bottom","IAQ-1085","IAQ-1376","IAQ-2453","IAQ-2529","IAQ-1483","IAQ-1216","IAQ-1358","IAQ-1783","IAQ-1669","YJD-0210","YJD-0025",NA,NA
"y1_d066_IAQ_YJD","YJD","IAQ",8,20,"bottom","IAQ-1085","IAQ-1376","IAQ-2453","IAQ-2529","IAQ-1483","IAQ-1216","IAQ-1358","IAQ-1783","IAQ-1669","YJD-0373",NA,"YJD-0210","YJD-0025"
"y1_d066_IAQ_YJD","YJD","IAQ",8,21,"bottom","IAQ-1085","IAQ-1376","IAQ-2453","IAQ-2529","IAQ-1483","IAQ-1216","IAQ-1358","IAQ-1783","IAQ-1669","YJD-0373",NA,"YJD-0210","YJD-0025"
"y1_d066_IAQ_YJD","YJD","IAQ",8,22,"bottom","IAQ-1085","IAQ-1376","IAQ-2453","IAQ-2529","IAQ-1483","IAQ-1216","IAQ-1358","IAQ-1783","IAQ-1669","YJD-0373",NA,"YJD-0210","YJD-0025"
"y1_d066_IAQ_YJD","YJD","IAQ",8,23,"bottom","IAQ-1085","IAQ-1376","IAQ-2453","IAQ-2529","IAQ-1483","IAQ-1216","IAQ-1358","IAQ-1783","IAQ-1669","YJD-0373",NA,"YJD-0210","YJD-0025"
"y1_d066_IAQ_YJD","YJD","IAQ",9,24,"bottom","IAQ-1085","IAQ-1376","IAQ-2453","IAQ-2529","IAQ-1483","IAQ-1216","IAQ-1358","IAQ-1783","IAQ-1669","YJD-0340",NA,NA,NA
"y1_d066_IAQ_YJD","YJD","IAQ",9,25,"bottom","IAQ-1085","IAQ-1376","IAQ-2453","IAQ-2529","IAQ-1483","IAQ-1216","IAQ-1358","IAQ-1783","IAQ-1669","YJD-0340",NA,NA,NA
"y1_d066_IAQ_YJD","YJD","IAQ",9,26,"bottom","IAQ-1085","IAQ-1376","IAQ-2453","IAQ-2529","IAQ-1483","IAQ-1216","IAQ-1358","IAQ-1783","IAQ-1669","YJD-0340",NA,NA,NA
"y1_d066_IAQ_YJD","YJD","IAQ",9,27,"bottom","IAQ-1085","IAQ-1376","IAQ-2453","IAQ-2529","IAQ-1483","IAQ-1216","IAQ-1358","IAQ-1783","IAQ-1669","YJD-0340",NA,NA,NA
"y1_d066_IAQ_YJD","YJD","IAQ",9,28,"bottom","IAQ-1085","IAQ-1376","IAQ-2453","IAQ-2529","IAQ-1483","IAQ-1216","IAQ-1358","IAQ-1783","IAQ-1669","YJD-0340",NA,NA,NA
"y1_d066_IAQ_YJD","YJD","IAQ",10,29,"top","YJD-0147","YJD-0020","YJD-0373","YJD-0060","YJD-0025","YJD-0172","YJD-0185","YJD-0210","YJD-0340","IAQ-1669",NA,NA,NA
"y1_d066_IAQ_YJD","YJD","IAQ",10,30,"top","YJD-0147","YJD-0020","YJD-0373","YJD-0060","YJD-0025","YJD-0172","YJD-0185","YJD-0210","YJD-0340","IAQ-1669",NA,NA,NA
"y1_d066_IAQ_YJD","YJD","IAQ",10,31,"top","YJD-0147","YJD-0020","YJD-0373","YJD-0060","YJD-0025","YJD-0172","YJD-0185","YJD-0210","YJD-0340","IAQ-1669",NA,NA,NA
"y1_d066_IAQ_YJD","YJD","IAQ",11,32,"top","YJD-0147","YJD-0020","YJD-0373","YJD-0060","YJD-0025","YJD-0172","YJD-0185","YJD-0210","YJD-0340","IAQ-2453","IAQ-1669",NA,NA
"y1_d066_IAQ_YJD","YJD","IAQ",11,33,"top","YJD-0147","YJD-0020","YJD-0373","YJD-0060","YJD-0025","YJD-0172","YJD-0185","YJD-0210","YJD-0340","IAQ-2453","IAQ-1669",NA,NA
"y1_d066_IAQ_YJD","YJD","IAQ",12,34,"top","YJD-0147","YJD-0020","YJD-0373","YJD-0060","YJD-0025","YJD-0172","YJD-0185","YJD-0210","YJD-0340","IAQ-1358","IAQ-2453","IAQ-1669",NA
"y1_d066_IAQ_YJD","YJD","IAQ",12,35,"top","YJD-0147","YJD-0020","YJD-0373","YJD-0060","YJD-0025","YJD-0172","YJD-0185","YJD-0210","YJD-0340","IAQ-1358","IAQ-2453","IAQ-1669",NA
"y1_d066_IAQ_YJD","YJD","IAQ",13,36,"top","YJD-0147","YJD-0020","YJD-0373","YJD-0060","YJD-0025","YJD-0172","YJD-0185","YJD-0210","YJD-0340","IAQ-1783","IAQ-2453","IAQ-1669",NA
