"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y2_d046.5_IHI_YJD","YJD","IHI",1,1,"top","YJD-0335","YJD-0007","YJD-0174","YJD-0304","YJD-0312","YJD-0345","YJD-0327","YJD-0340","YJD-0278","IHI-1001",NA,NA,NA
"y2_d046.5_IHI_YJD","YJD","IHI",1,2,"top","YJD-0335","YJD-0007","YJD-0174","YJD-0304","YJD-0312","YJD-0345","YJD-0327","YJD-0340","YJD-0278","IHI-1001",NA,NA,NA
"y2_d046.5_IHI_YJD","YJD","IHI",1,3,"top","YJD-0335","YJD-0007","YJD-0174","YJD-0304","YJD-0312","YJD-0345","YJD-0327","YJD-0340","YJD-0278","IHI-1001",NA,NA,NA
"y2_d046.5_IHI_YJD","YJD","IHI",1,4,"top","YJD-0335","YJD-0007","YJD-0174","YJD-0304","YJD-0312","YJD-0345","YJD-0327","YJD-0340","YJD-0278","IHI-1001",NA,NA,NA
"y2_d046.5_IHI_YJD","YJD","IHI",1,5,"top","YJD-0335","YJD-0007","YJD-0174","YJD-0304","YJD-0312","YJD-0345","YJD-0327","YJD-0340","YJD-0278","IHI-1001",NA,NA,NA
"y2_d046.5_IHI_YJD","YJD","IHI",2,6,"top","YJD-0335","YJD-0007","YJD-0174","YJD-0304","YJD-0312","YJD-0345","YJD-0327","YJD-0340","YJD-0278","IHI-2576",NA,NA,NA
"y2_d046.5_IHI_YJD","YJD","IHI",2,7,"top","YJD-0335","YJD-0007","YJD-0174","YJD-0304","YJD-0312","YJD-0345","YJD-0327","YJD-0340","YJD-0278","IHI-2576",NA,NA,NA
"y2_d046.5_IHI_YJD","YJD","IHI",2,8,"top","YJD-0335","YJD-0007","YJD-0174","YJD-0304","YJD-0312","YJD-0345","YJD-0327","YJD-0340","YJD-0278","IHI-2576",NA,NA,NA
"y2_d046.5_IHI_YJD","YJD","IHI",2,9,"top","YJD-0335","YJD-0007","YJD-0174","YJD-0304","YJD-0312","YJD-0345","YJD-0327","YJD-0340","YJD-0278","IHI-2576",NA,NA,NA
"y2_d046.5_IHI_YJD","YJD","IHI",3,10,"top","YJD-0335","YJD-0007","YJD-0174","YJD-0304","YJD-0312","YJD-0345","YJD-0327","YJD-0340","YJD-0278","IHI-2289",NA,NA,NA
"y2_d046.5_IHI_YJD","YJD","IHI",3,11,"top","YJD-0335","YJD-0007","YJD-0174","YJD-0304","YJD-0312","YJD-0345","YJD-0327","YJD-0340","YJD-0278","IHI-2289",NA,NA,NA
"y2_d046.5_IHI_YJD","YJD","IHI",3,12,"top","YJD-0335","YJD-0007","YJD-0174","YJD-0304","YJD-0312","YJD-0345","YJD-0327","YJD-0340","YJD-0278","IHI-2289",NA,NA,NA
"y2_d046.5_IHI_YJD","YJD","IHI",3,13,"top","YJD-0335","YJD-0007","YJD-0174","YJD-0304","YJD-0312","YJD-0345","YJD-0327","YJD-0340","YJD-0278","IHI-2289",NA,NA,NA
"y2_d046.5_IHI_YJD","YJD","IHI",4,14,"bottom","IHI-2245","IHI-1728","IHI-1642","IHI-2289","IHI-1941","IHI-1907","IHI-1506","IHI-2444","IHI-2576","YJD-0327",NA,NA,NA
"y2_d046.5_IHI_YJD","YJD","IHI",4,15,"bottom","IHI-2245","IHI-1728","IHI-1642","IHI-2289","IHI-1941","IHI-1907","IHI-1506","IHI-2444","IHI-2576","YJD-0327",NA,NA,NA
"y2_d046.5_IHI_YJD","YJD","IHI",4,16,"bottom","IHI-2245","IHI-1728","IHI-1642","IHI-2289","IHI-1941","IHI-1907","IHI-1506","IHI-2444","IHI-2576","YJD-0327",NA,NA,NA
"y2_d046.5_IHI_YJD","YJD","IHI",4,17,"bottom","IHI-2245","IHI-1728","IHI-1642","IHI-2289","IHI-1941","IHI-1907","IHI-1506","IHI-2444","IHI-2576","YJD-0327",NA,NA,NA
"y2_d046.5_IHI_YJD","YJD","IHI",4,18,"bottom","IHI-2245","IHI-1728","IHI-1642","IHI-2289","IHI-1941","IHI-1907","IHI-1506","IHI-2444","IHI-2576","YJD-0327",NA,NA,NA
"y2_d046.5_IHI_YJD","YJD","IHI",5,19,"bottom","IHI-2245","IHI-1728","IHI-1642","IHI-2289","IHI-1941","IHI-1907","IHI-1506","IHI-2444","IHI-2576","YJD-0345",NA,NA,NA
"y2_d046.5_IHI_YJD","YJD","IHI",6,20,"bottom","IHI-2245","IHI-1728","IHI-1642","IHI-2289","IHI-1941","IHI-1907","IHI-1506","IHI-2444","IHI-2576","YJD-0174","YJD-0345",NA,NA
"y2_d046.5_IHI_YJD","YJD","IHI",6,21,"bottom","IHI-2245","IHI-1728","IHI-1642","IHI-2289","IHI-1941","IHI-1907","IHI-1506","IHI-2444","IHI-2576","YJD-0174","YJD-0345",NA,NA
"y2_d046.5_IHI_YJD","YJD","IHI",6,22,"bottom","IHI-2245","IHI-1728","IHI-1642","IHI-2289","IHI-1941","IHI-1907","IHI-1506","IHI-2444","IHI-2576","YJD-0174","YJD-0345",NA,NA
"y2_d046.5_IHI_YJD","YJD","IHI",6,23,"bottom","IHI-2245","IHI-1728","IHI-1642","IHI-2289","IHI-1941","IHI-1907","IHI-1506","IHI-2444","IHI-2576","YJD-0174","YJD-0345",NA,NA
"y2_d046.5_IHI_YJD","YJD","IHI",6,24,"bottom","IHI-2245","IHI-1728","IHI-1642","IHI-2289","IHI-1941","IHI-1907","IHI-1506","IHI-2444","IHI-2576","YJD-0174","YJD-0345",NA,NA
"y2_d046.5_IHI_YJD","YJD","IHI",6,25,"bottom","IHI-2245","IHI-1728","IHI-1642","IHI-2289","IHI-1941","IHI-1907","IHI-1506","IHI-2444","IHI-2576","YJD-0174",NA,NA,NA
"y2_d046.5_IHI_YJD","YJD","IHI",7,26,"top","YJD-0335","YJD-0007","YJD-0174","YJD-0304","YJD-0312","YJD-0345","YJD-0327","YJD-0340","YJD-0278","IHI-1642",NA,NA,NA
"y2_d046.5_IHI_YJD","YJD","IHI",7,27,"top","YJD-0335","YJD-0007","YJD-0174","YJD-0304","YJD-0312","YJD-0345","YJD-0327","YJD-0340","YJD-0278","IHI-1642",NA,NA,NA
"y2_d046.5_IHI_YJD","YJD","IHI",7,28,"top","YJD-0335","YJD-0007","YJD-0174","YJD-0304","YJD-0312","YJD-0345","YJD-0327","YJD-0340","YJD-0278","IHI-1642",NA,NA,NA
"y2_d046.5_IHI_YJD","YJD","IHI",7,29,"top","YJD-0335","YJD-0007","YJD-0174","YJD-0304","YJD-0312","YJD-0345","YJD-0327","YJD-0340","YJD-0278","IHI-1642",NA,NA,NA
"y2_d046.5_IHI_YJD","YJD","IHI",7,30,"top","YJD-0335","YJD-0007","YJD-0174","YJD-0304","YJD-0312","YJD-0345","YJD-0327","YJD-0340","YJD-0278","IHI-1642",NA,NA,NA
"y2_d046.5_IHI_YJD","YJD","IHI",7,31,"top","YJD-0335","YJD-0007","YJD-0174","YJD-0304","YJD-0312","YJD-0345","YJD-0327","YJD-0340","YJD-0278","IHI-1642",NA,NA,NA
"y2_d046.5_IHI_YJD","YJD","IHI",7,32,"top","YJD-0335","YJD-0007","YJD-0174","YJD-0304","YJD-0312","YJD-0345","YJD-0327","YJD-0340","YJD-0278","IHI-1642",NA,NA,NA
"y2_d046.5_IHI_YJD","YJD","IHI",8,33,"top","YJD-0335","YJD-0007","YJD-0174","YJD-0304","YJD-0312","YJD-0345","YJD-0327","YJD-0340","YJD-0278","IHI-1506",NA,NA,NA
"y2_d046.5_IHI_YJD","YJD","IHI",9,34,"top","YJD-0335","YJD-0007","YJD-0174","YJD-0304","YJD-0312","YJD-0345","YJD-0327","YJD-0340","YJD-0278","IHI-1728",NA,NA,NA
"y2_d046.5_IHI_YJD","YJD","IHI",9,35,"top","YJD-0335","YJD-0007","YJD-0174","YJD-0304","YJD-0312","YJD-0345","YJD-0327","YJD-0340","YJD-0278","IHI-1728",NA,NA,NA
"y2_d046.5_IHI_YJD","YJD","IHI",9,36,"top","YJD-0335","YJD-0007","YJD-0174","YJD-0304","YJD-0312","YJD-0345","YJD-0327","YJD-0340","YJD-0278","IHI-1728",NA,NA,NA
"y2_d046.5_IHI_YJD","YJD","IHI",9,37,"top","YJD-0335","YJD-0007","YJD-0174","YJD-0304","YJD-0312","YJD-0345","YJD-0327","YJD-0340","YJD-0278","IHI-1728",NA,NA,NA
"y2_d046.5_IHI_YJD","YJD","IHI",10,38,"bottom","IHI-2245","IHI-1728","IHI-1642","IHI-2289","IHI-1941","IHI-1907","IHI-1506","IHI-2444","IHI-2576","YJD-0366",NA,NA,NA
"y2_d046.5_IHI_YJD","YJD","IHI",10,39,"bottom","IHI-2245","IHI-1728","IHI-1642","IHI-2289","IHI-1941","IHI-1907","IHI-1506","IHI-2444","IHI-2576","YJD-0366",NA,NA,NA
"y2_d046.5_IHI_YJD","YJD","IHI",10,40,"bottom","IHI-2245","IHI-1728","IHI-1642","IHI-2289","IHI-1941","IHI-1907","IHI-1506","IHI-2444","IHI-2576","YJD-0366",NA,NA,NA
"y2_d046.5_IHI_YJD","YJD","IHI",10,41,"bottom","IHI-2245","IHI-1728","IHI-1642","IHI-2289","IHI-1941","IHI-1907","IHI-1506","IHI-2444","IHI-2576","YJD-0366",NA,NA,NA
"y2_d046.5_IHI_YJD","YJD","IHI",10,42,"bottom","IHI-2245","IHI-1728","IHI-1642","IHI-2289","IHI-1941","IHI-1907","IHI-1506","IHI-2444","IHI-2576","YJD-0366",NA,NA,NA
"y2_d046.5_IHI_YJD","YJD","IHI",10,43,"bottom","IHI-2245","IHI-1728","IHI-1642","IHI-2289","IHI-1941","IHI-1907","IHI-1506","IHI-2444","IHI-2576","YJD-0366",NA,NA,NA
"y2_d046.5_IHI_YJD","YJD","IHI",10,44,"bottom","IHI-2245","IHI-1728","IHI-1642","IHI-2289","IHI-1941","IHI-1907","IHI-1506","IHI-2444","IHI-2576","YJD-0366",NA,NA,NA
"y2_d046.5_IHI_YJD","YJD","IHI",11,45,"bottom","IHI-2245","IHI-1728","IHI-1642","IHI-2289","IHI-1941","IHI-1907","IHI-1506","IHI-2444","IHI-2576","YJD-0340",NA,NA,NA
"y2_d046.5_IHI_YJD","YJD","IHI",11,46,"bottom","IHI-2245","IHI-1728","IHI-1642","IHI-2289","IHI-1941","IHI-1907","IHI-1506","IHI-2444","IHI-2576","YJD-0340",NA,NA,NA
"y2_d046.5_IHI_YJD","YJD","IHI",11,47,"bottom","IHI-2245","IHI-1728","IHI-1642","IHI-2289","IHI-1941","IHI-1907","IHI-1506","IHI-2444","IHI-2576","YJD-0340",NA,NA,NA
"y2_d046.5_IHI_YJD","YJD","IHI",11,48,"bottom","IHI-2245","IHI-1728","IHI-1642","IHI-2289","IHI-1941","IHI-1907","IHI-1506","IHI-2444","IHI-2576","YJD-0340",NA,NA,NA
"y2_d046.5_IHI_YJD","YJD","IHI",11,49,"bottom","IHI-2245","IHI-1728","IHI-1642","IHI-2289","IHI-1941","IHI-1907","IHI-1506","IHI-2444","IHI-2576","YJD-0340",NA,NA,NA
"y2_d046.5_IHI_YJD","YJD","IHI",11,50,"bottom","IHI-2245","IHI-1728","IHI-1642","IHI-2289","IHI-1941","IHI-1907","IHI-1506","IHI-2444","IHI-2576","YJD-0340",NA,NA,NA
