"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y2_d046_IHI_YJD","YJD","IHI",1,1,"top","YJD-0389","YJD-0107","YJD-0366","YJD-0304","YJD-0174","YJD-0312","YJD-0185","YJD-0345","YJD-0340","IHI-1001",NA,NA,NA
"y2_d046_IHI_YJD","YJD","IHI",1,2,"top","YJD-0389","YJD-0107","YJD-0366","YJD-0304","YJD-0174","YJD-0312","YJD-0185","YJD-0345","YJD-0340","IHI-1001",NA,NA,NA
"y2_d046_IHI_YJD","YJD","IHI",1,3,"top","YJD-0389","YJD-0107","YJD-0366","YJD-0304","YJD-0174","YJD-0312","YJD-0185","YJD-0345","YJD-0340","IHI-1001",NA,NA,NA
"y2_d046_IHI_YJD","YJD","IHI",1,4,"top","YJD-0389","YJD-0107","YJD-0366","YJD-0304","YJD-0174","YJD-0312","YJD-0185","YJD-0345","YJD-0340","IHI-1001",NA,NA,NA
"y2_d046_IHI_YJD","YJD","IHI",1,5,"top","YJD-0389","YJD-0107","YJD-0366","YJD-0304","YJD-0174","YJD-0312","YJD-0185","YJD-0345","YJD-0340","IHI-1001",NA,NA,NA
"y2_d046_IHI_YJD","YJD","IHI",2,6,"top","YJD-0389","YJD-0107","YJD-0366","YJD-0304","YJD-0174","YJD-0312","YJD-0185","YJD-0345","YJD-0340","IHI-2576",NA,NA,NA
"y2_d046_IHI_YJD","YJD","IHI",2,7,"top","YJD-0389","YJD-0107","YJD-0366","YJD-0304","YJD-0174","YJD-0312","YJD-0185","YJD-0345","YJD-0340",NA,"IHI-2576",NA,NA
"y2_d046_IHI_YJD","YJD","IHI",4,9,"top","YJD-0389","YJD-0107","YJD-0366","YJD-0304","YJD-0174","YJD-0312","YJD-0185","YJD-0345","YJD-0340","IHI-2289","IHI-2576",NA,NA
"y2_d046_IHI_YJD","YJD","IHI",4,9,"top","YJD-0389","YJD-0107","YJD-0366","YJD-0304","YJD-0174","YJD-0312","YJD-0185","YJD-0345","YJD-0340","IHI-1642","IHI-2289","IHI-2576",NA
"y2_d046_IHI_YJD","YJD","IHI",4,10,"top","YJD-0389","YJD-0107","YJD-0366","YJD-0304","YJD-0174","YJD-0312","YJD-0185","YJD-0345","YJD-0340","IHI-1642","IHI-2289","IHI-2576",NA
"y2_d046_IHI_YJD","YJD","IHI",4,11,"top","YJD-0389","YJD-0107","YJD-0366","YJD-0304","YJD-0174","YJD-0312","YJD-0185","YJD-0345","YJD-0340","IHI-1642","IHI-2289","IHI-2576",NA
"y2_d046_IHI_YJD","YJD","IHI",4,12,"top","YJD-0389","YJD-0107","YJD-0366","YJD-0304","YJD-0174","YJD-0312","YJD-0185","YJD-0345","YJD-0340","IHI-1642","IHI-2289","IHI-2576",NA
"y2_d046_IHI_YJD","YJD","IHI",5,13,"bottom","IHI-2395","IHI-1314","IHI-1642","IHI-1941","IHI-1907","IHI-2289","IHI-2576","IHI-2444","IHI-1223","YJD-0327",NA,NA,NA
"y2_d046_IHI_YJD","YJD","IHI",6,14,"bottom","IHI-2395","IHI-1314","IHI-1642","IHI-1941","IHI-1907","IHI-2289","IHI-2576","IHI-2444","IHI-1223","YJD-0345",NA,NA,NA
"y2_d046_IHI_YJD","YJD","IHI",6,15,"bottom","IHI-2395","IHI-1314","IHI-1642","IHI-1941","IHI-1907","IHI-2289","IHI-2576","IHI-2444","IHI-1223","YJD-0345",NA,NA,NA
"y2_d046_IHI_YJD","YJD","IHI",6,16,"bottom","IHI-2395","IHI-1314","IHI-1642","IHI-1941","IHI-1907","IHI-2289","IHI-2576","IHI-2444","IHI-1223","YJD-0345",NA,NA,NA
"y2_d046_IHI_YJD","YJD","IHI",7,17,"bottom","IHI-2395","IHI-1314","IHI-1642","IHI-1941","IHI-1907","IHI-2289","IHI-2576","IHI-2444","IHI-1223","YJD-0174",NA,NA,NA
"y2_d046_IHI_YJD","YJD","IHI",8,18,"bottom","IHI-2395","IHI-1314","IHI-1642","IHI-1941","IHI-1907","IHI-2289","IHI-2576","IHI-2444","IHI-1223","YJD-0366","YJD-0174",NA,NA
"y2_d046_IHI_YJD","YJD","IHI",8,19,"bottom","IHI-2395","IHI-1314","IHI-1642","IHI-1941","IHI-1907","IHI-2289","IHI-2576","IHI-2444","IHI-1223","YJD-0366","YJD-0174",NA,NA
"y2_d046_IHI_YJD","YJD","IHI",9,20,"bottom","IHI-2395","IHI-1314","IHI-1642","IHI-1941","IHI-1907","IHI-2289","IHI-2576","IHI-2444","IHI-1223","YJD-0340","YJD-0366","YJD-0174",NA
"y2_d046_IHI_YJD","YJD","IHI",9,21,"bottom","IHI-2395","IHI-1314","IHI-1642","IHI-1941","IHI-1907","IHI-2289","IHI-2576","IHI-2444","IHI-1223","YJD-0340","YJD-0366","YJD-0174",NA
"y2_d046_IHI_YJD","YJD","IHI",10,22,"bottom","IHI-2395","IHI-1314","IHI-1642","IHI-1941","IHI-1907","IHI-2289","IHI-2576","IHI-2444","IHI-1223","YJD-0312",NA,NA,NA
"y2_d046_IHI_YJD","YJD","IHI",10,23,"bottom","IHI-2395","IHI-1314","IHI-1642","IHI-1941","IHI-1907","IHI-2289","IHI-2576","IHI-2444","IHI-1223","YJD-0312",NA,NA,NA
"y2_d046_IHI_YJD","YJD","IHI",10,24,"bottom","IHI-2395","IHI-1314","IHI-1642","IHI-1941","IHI-1907","IHI-2289","IHI-2576","IHI-2444","IHI-1223","YJD-0312",NA,NA,NA
"y2_d046_IHI_YJD","YJD","IHI",10,25,"bottom","IHI-2395","IHI-1314","IHI-1642","IHI-1941","IHI-1907","IHI-2289","IHI-2576","IHI-2444","IHI-1223","YJD-0312",NA,NA,NA
"y2_d046_IHI_YJD","YJD","IHI",10,26,"bottom","IHI-2395","IHI-1314","IHI-1642","IHI-1941","IHI-1907","IHI-2289","IHI-2576","IHI-2444","IHI-1223","YJD-0312",NA,NA,NA
"y2_d046_IHI_YJD","YJD","IHI",11,27,"top","YJD-0389","YJD-0107","YJD-0366","YJD-0304","YJD-0174","YJD-0312","YJD-0185","YJD-0345","YJD-0340","IHI-1314",NA,NA,NA
"y2_d046_IHI_YJD","YJD","IHI",11,28,"top","YJD-0389","YJD-0107","YJD-0366","YJD-0304","YJD-0174","YJD-0312","YJD-0185","YJD-0345","YJD-0340","IHI-1314",NA,NA,NA
"y2_d046_IHI_YJD","YJD","IHI",11,29,"top","YJD-0389","YJD-0107","YJD-0366","YJD-0304","YJD-0174","YJD-0312","YJD-0185","YJD-0345","YJD-0340","IHI-1314",NA,NA,NA
"y2_d046_IHI_YJD","YJD","IHI",11,30,"top","YJD-0389","YJD-0107","YJD-0366","YJD-0304","YJD-0174","YJD-0312","YJD-0185","YJD-0345","YJD-0340","IHI-1314",NA,NA,NA
"y2_d046_IHI_YJD","YJD","IHI",11,31,"top","YJD-0389","YJD-0107","YJD-0366","YJD-0304","YJD-0174","YJD-0312","YJD-0185","YJD-0345","YJD-0340","IHI-1314",NA,NA,NA
"y2_d046_IHI_YJD","YJD","IHI",12,32,"top","YJD-0389","YJD-0107","YJD-0366","YJD-0304","YJD-0174","YJD-0312","YJD-0185","YJD-0345","YJD-0340","IHI-1907",NA,NA,NA
"y2_d046_IHI_YJD","YJD","IHI",13,33,"top","YJD-0389","YJD-0107","YJD-0366","YJD-0304","YJD-0174","YJD-0312","YJD-0185","YJD-0345","YJD-0340","IHI-2444",NA,NA,NA
"y2_d046_IHI_YJD","YJD","IHI",13,34,"top","YJD-0389","YJD-0107","YJD-0366","YJD-0304","YJD-0174","YJD-0312","YJD-0185","YJD-0345","YJD-0340","IHI-2444",NA,NA,NA
"y2_d046_IHI_YJD","YJD","IHI",13,35,"top","YJD-0389","YJD-0107","YJD-0366","YJD-0304","YJD-0174","YJD-0312","YJD-0185","YJD-0345","YJD-0340","IHI-2444",NA,NA,NA
"y2_d046_IHI_YJD","YJD","IHI",13,36,"top","YJD-0389","YJD-0107","YJD-0366","YJD-0304","YJD-0174","YJD-0312","YJD-0185","YJD-0345","YJD-0340","IHI-2444",NA,NA,NA
"y2_d046_IHI_YJD","YJD","IHI",13,37,"top","YJD-0389","YJD-0107","YJD-0366","YJD-0304","YJD-0174","YJD-0312","YJD-0185","YJD-0345","YJD-0340","IHI-2444",NA,NA,NA
"y2_d046_IHI_YJD","YJD","IHI",14,38,"bottom","IHI-2395","IHI-1314","IHI-1642","IHI-1941","IHI-1907","IHI-2289","IHI-2576","IHI-2444","IHI-1223","YJD-0304",NA,NA,NA
"y2_d046_IHI_YJD","YJD","IHI",14,39,"bottom","IHI-2395","IHI-1314","IHI-1642","IHI-1941","IHI-1907","IHI-2289","IHI-2576","IHI-2444","IHI-1223","YJD-0304",NA,NA,NA
"y2_d046_IHI_YJD","YJD","IHI",14,40,"bottom","IHI-2395","IHI-1314","IHI-1642","IHI-1941","IHI-1907","IHI-2289","IHI-2576","IHI-2444","IHI-1223","YJD-0304",NA,NA,NA
"y2_d046_IHI_YJD","YJD","IHI",14,41,"bottom","IHI-2395","IHI-1314","IHI-1642","IHI-1941","IHI-1907","IHI-2289","IHI-2576","IHI-2444","IHI-1223","YJD-0304",NA,NA,NA
"y2_d046_IHI_YJD","YJD","IHI",14,42,"bottom","IHI-2395","IHI-1314","IHI-1642","IHI-1941","IHI-1907","IHI-2289","IHI-2576","IHI-2444","IHI-1223","YJD-0304",NA,NA,NA
"y2_d046_IHI_YJD","YJD","IHI",14,43,"bottom","IHI-2395","IHI-1314","IHI-1642","IHI-1941","IHI-1907","IHI-2289","IHI-2576","IHI-2444","IHI-1223","YJD-0304",NA,NA,NA
"y2_d046_IHI_YJD","YJD","IHI",15,44,"bottom","IHI-2395","IHI-1314","IHI-1642","IHI-1941","IHI-1907","IHI-2289","IHI-2576","IHI-2444","IHI-1223","YJD-0107","YJD-0304",NA,NA
"y2_d046_IHI_YJD","YJD","IHI",15,45,"bottom","IHI-2395","IHI-1314","IHI-1642","IHI-1941","IHI-1907","IHI-2289","IHI-2576","IHI-2444","IHI-1223","YJD-0107","YJD-0304",NA,NA
"y2_d046_IHI_YJD","YJD","IHI",15,46,"bottom","IHI-2395","IHI-1314","IHI-1642","IHI-1941","IHI-1907","IHI-2289","IHI-2576","IHI-2444","IHI-1223","YJD-0107","YJD-0304",NA,NA
"y2_d046_IHI_YJD","YJD","IHI",15,47,"bottom","IHI-2395","IHI-1314","IHI-1642","IHI-1941","IHI-1907","IHI-2289","IHI-2576","IHI-2444","IHI-1223","YJD-0107","YJD-0304",NA,NA
"y2_d046_IHI_YJD","YJD","IHI",15,48,"bottom","IHI-2395","IHI-1314","IHI-1642","IHI-1941","IHI-1907","IHI-2289","IHI-2576","IHI-2444","IHI-1223","YJD-0107","YJD-0304",NA,NA
"y2_d046_IHI_YJD","YJD","IHI",15,49,"bottom","IHI-2395","IHI-1314","IHI-1642","IHI-1941","IHI-1907","IHI-2289","IHI-2576","IHI-2444","IHI-1223","YJD-0107","YJD-0304",NA,NA
"y2_d046_IHI_YJD","YJD","IHI",15,50,"bottom","IHI-2395","IHI-1314","IHI-1642","IHI-1941","IHI-1907","IHI-2289","IHI-2576","IHI-2444","IHI-1223","YJD-0107","YJD-0304",NA,NA
"y2_d046_IHI_YJD","YJD","IHI",16,51,"bottom","IHI-2395","IHI-1314","IHI-1642","IHI-1941","IHI-1907","IHI-2289","IHI-2576","IHI-2444","IHI-1223","YJD-0185","YJD-0304",NA,NA
"y2_d046_IHI_YJD","YJD","IHI",16,52,"bottom","IHI-2395","IHI-1314","IHI-1642","IHI-1941","IHI-1907","IHI-2289","IHI-2576","IHI-2444","IHI-1223","YJD-0185","YJD-0304",NA,NA
"y2_d046_IHI_YJD","YJD","IHI",16,53,"bottom","IHI-2395","IHI-1314","IHI-1642","IHI-1941","IHI-1907","IHI-2289","IHI-2576","IHI-2444","IHI-1223","YJD-0185","YJD-0304",NA,NA
"y2_d046_IHI_YJD","YJD","IHI",16,54,"bottom","IHI-2395","IHI-1314","IHI-1642","IHI-1941","IHI-1907","IHI-2289","IHI-2576","IHI-2444","IHI-1223","YJD-0185",NA,NA,NA
"y2_d046_IHI_YJD","YJD","IHI",17,56,"top","YJD-0389","YJD-0107","YJD-0366","YJD-0304","YJD-0174","YJD-0312","YJD-0185","YJD-0345","YJD-0340","IHI-1223",NA,NA,NA
"y2_d046_IHI_YJD","YJD","IHI",18,57,"top","YJD-0389","YJD-0107","YJD-0366","YJD-0304","YJD-0174","YJD-0312","YJD-0185","YJD-0345","YJD-0340","IHI-1941","IHI-1223",NA,NA
"y2_d046_IHI_YJD","YJD","IHI",18,57,"top","YJD-0389","YJD-0107","YJD-0366","YJD-0304","YJD-0174","YJD-0312","YJD-0185","YJD-0345","YJD-0340","IHI-1223",NA,NA,NA
"y2_d046_IHI_YJD","YJD","IHI",18,58,"top","YJD-0389","YJD-0107","YJD-0366","YJD-0304","YJD-0174","YJD-0312","YJD-0185","YJD-0345","YJD-0340","IHI-1941","IHI-1223",NA,NA
"y2_d046_IHI_YJD","YJD","IHI",18,59,"top","YJD-0389","YJD-0107","YJD-0366","YJD-0304","YJD-0174","YJD-0312","YJD-0185","YJD-0345","YJD-0340","IHI-1941","IHI-1223",NA,NA
"y2_d046_IHI_YJD","YJD","IHI",18,60,"top","YJD-0389","YJD-0107","YJD-0366","YJD-0304","YJD-0174","YJD-0312","YJD-0185","YJD-0345","YJD-0340","IHI-1941","IHI-1223",NA,NA
"y2_d046_IHI_YJD","YJD","IHI",18,61,"top","YJD-0389","YJD-0107","YJD-0366","YJD-0304","YJD-0174","YJD-0312","YJD-0185","YJD-0345","YJD-0340","IHI-1941","IHI-1223",NA,NA
"y2_d046_IHI_YJD","YJD","IHI",18,62,"top","YJD-0389","YJD-0107","YJD-0366","YJD-0304","YJD-0174","YJD-0312","YJD-0185","YJD-0345","YJD-0340","IHI-1941","IHI-1223",NA,NA
"y2_d046_IHI_YJD","YJD","IHI",18,63,"top","YJD-0389","YJD-0107","YJD-0366","YJD-0304","YJD-0174","YJD-0312","YJD-0185","YJD-0345","YJD-0340","IHI-1941","IHI-1223",NA,NA
"y2_d046_IHI_YJD","YJD","IHI",19,64,"top","YJD-0389","YJD-0107","YJD-0366","YJD-0304","YJD-0174","YJD-0312","YJD-0185","YJD-0345","YJD-0340","IHI-1001","IHI-1223",NA,NA
"y2_d046_IHI_YJD","YJD","IHI",19,65,"top","YJD-0389","YJD-0107","YJD-0366","YJD-0304","YJD-0174","YJD-0312","YJD-0185","YJD-0345","YJD-0340","IHI-1001","IHI-1223",NA,NA
"y2_d046_IHI_YJD","YJD","IHI",19,66,"top","YJD-0389","YJD-0107","YJD-0366","YJD-0304","YJD-0174","YJD-0312","YJD-0185","YJD-0345","YJD-0340","IHI-1001","IHI-1223",NA,NA
"y2_d046_IHI_YJD","YJD","IHI",19,67,"top","YJD-0389","YJD-0107","YJD-0366","YJD-0304","YJD-0174","YJD-0312","YJD-0185","YJD-0345","YJD-0340","IHI-1001","IHI-1223",NA,NA
"y2_d046_IHI_YJD","YJD","IHI",19,68,"top","YJD-0389","YJD-0107","YJD-0366","YJD-0304","YJD-0174","YJD-0312","YJD-0185","YJD-0345","YJD-0340","IHI-1001","IHI-1223",NA,NA
"y2_d046_IHI_YJD","YJD","IHI",19,69,"top","YJD-0389","YJD-0107","YJD-0366","YJD-0304","YJD-0174","YJD-0312","YJD-0185","YJD-0345","YJD-0340","IHI-1001","IHI-1223",NA,NA
"y2_d046_IHI_YJD","YJD","IHI",19,70,"top","YJD-0389","YJD-0107","YJD-0366","YJD-0304","YJD-0174","YJD-0312","YJD-0185","YJD-0345","YJD-0340","IHI-1001","IHI-1223",NA,NA
"y2_d046_IHI_YJD","YJD","IHI",19,71,"top","YJD-0389","YJD-0107","YJD-0366","YJD-0304","YJD-0174","YJD-0312","YJD-0185","YJD-0345","YJD-0340","IHI-1001","IHI-1223",NA,NA
"y2_d046_IHI_YJD","YJD","IHI",19,72,"top","YJD-0389","YJD-0107","YJD-0366","YJD-0304","YJD-0174","YJD-0312","YJD-0185","YJD-0345","YJD-0340","IHI-1001","IHI-1223",NA,NA
"y2_d046_IHI_YJD","YJD","IHI",19,73,"top","YJD-0389","YJD-0107","YJD-0366","YJD-0304","YJD-0174","YJD-0312","YJD-0185","YJD-0345","YJD-0340","IHI-1001","IHI-1223",NA,NA
"y2_d046_IHI_YJD","YJD","IHI",20,74,"top","YJD-0389","YJD-0107","YJD-0366","YJD-0304","YJD-0174","YJD-0312","YJD-0185","YJD-0345","YJD-0340","IHI-2576","IHI-1223",NA,NA
"y2_d046_IHI_YJD","YJD","IHI",20,75,"top","YJD-0389","YJD-0107","YJD-0366","YJD-0304","YJD-0174","YJD-0312","YJD-0185","YJD-0345","YJD-0340","IHI-2576","IHI-1223",NA,NA
"y2_d046_IHI_YJD","YJD","IHI",20,76,"top","YJD-0389","YJD-0107","YJD-0366","YJD-0304","YJD-0174","YJD-0312","YJD-0185","YJD-0345","YJD-0340","IHI-2576","IHI-1223",NA,NA
"y2_d046_IHI_YJD","YJD","IHI",20,77,"top","YJD-0389","YJD-0107","YJD-0366","YJD-0304","YJD-0174","YJD-0312","YJD-0185","YJD-0345","YJD-0340","IHI-2576","IHI-1223",NA,NA
"y2_d046_IHI_YJD","YJD","IHI",20,78,"top","YJD-0389","YJD-0107","YJD-0366","YJD-0304","YJD-0174","YJD-0312","YJD-0185","YJD-0345","YJD-0340","IHI-2576","IHI-1223",NA,NA
"y2_d046_IHI_YJD","YJD","IHI",21,79,"bottom","IHI-2395","IHI-1314","IHI-1642","IHI-1941","IHI-1907","IHI-2289","IHI-2576","IHI-2444","IHI-1223","YJD-0327",NA,NA,NA
"y2_d046_IHI_YJD","YJD","IHI",21,80,"bottom","IHI-2395","IHI-1314","IHI-1642","IHI-1941","IHI-1907","IHI-2289","IHI-2576","IHI-2444","IHI-1223","YJD-0327",NA,NA,NA
"y2_d046_IHI_YJD","YJD","IHI",22,81,"bottom","IHI-2395","IHI-1314","IHI-1642","IHI-1941","IHI-1907","IHI-2289","IHI-2576","IHI-2444","IHI-1223","YJD-0345",NA,NA,NA
"y2_d046_IHI_YJD","YJD","IHI",22,82,"bottom","IHI-2395","IHI-1314","IHI-1642","IHI-1941","IHI-1907","IHI-2289","IHI-2576","IHI-2444","IHI-1223","YJD-0345",NA,NA,NA
"y2_d046_IHI_YJD","YJD","IHI",22,83,"bottom","IHI-2395","IHI-1314","IHI-1642","IHI-1941","IHI-1907","IHI-2289","IHI-2576","IHI-2444","IHI-1223","YJD-0345",NA,NA,NA
"y2_d046_IHI_YJD","YJD","IHI",22,84,"bottom","IHI-2395","IHI-1314","IHI-1642","IHI-1941","IHI-1907","IHI-2289","IHI-2576","IHI-2444","IHI-1223","YJD-0345",NA,NA,NA
"y2_d046_IHI_YJD","YJD","IHI",23,85,"bottom","IHI-2395","IHI-1314","IHI-1642","IHI-1941","IHI-1907","IHI-2289","IHI-2576","IHI-2444","IHI-1223","YJD-0174",NA,NA,NA
"y2_d046_IHI_YJD","YJD","IHI",23,86,"bottom","IHI-2395","IHI-1314","IHI-1642","IHI-1941","IHI-1907","IHI-2289","IHI-2576","IHI-2444","IHI-1223","YJD-0174",NA,NA,NA
