"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y1_d021_JFU_YJD","YJD","JFU",1,1,"top","YJD-0362","YJD-0020","YJD-0281","YJD-0066","YJD-0172","YJD-0345","YJD-0327","YJD-0193","YJD-0338","JFU-2068",NA,NA,NA
"y1_d021_JFU_YJD","YJD","JFU",1,2,"top","YJD-0362","YJD-0020","YJD-0281","YJD-0066","YJD-0172","YJD-0345","YJD-0327","YJD-0193","YJD-0338","JFU-2068",NA,NA,NA
"y1_d021_JFU_YJD","YJD","JFU",1,3,"top","YJD-0362","YJD-0020","YJD-0281","YJD-0066","YJD-0172","YJD-0345","YJD-0327","YJD-0193","YJD-0338","JFU-2068",NA,NA,NA
"y1_d021_JFU_YJD","YJD","JFU",1,4,"top","YJD-0362","YJD-0020","YJD-0281","YJD-0066","YJD-0172","YJD-0345","YJD-0327","YJD-0193","YJD-0338","JFU-2068",NA,NA,NA
"y1_d021_JFU_YJD","YJD","JFU",2,5,"top","YJD-0362","YJD-0020","YJD-0281","YJD-0066","YJD-0172","YJD-0345","YJD-0327","YJD-0193","YJD-0338","JFU-1902",NA,NA,NA
"y1_d021_JFU_YJD","YJD","JFU",2,6,"top","YJD-0362","YJD-0020","YJD-0281","YJD-0066","YJD-0172","YJD-0345","YJD-0327","YJD-0193","YJD-0338","JFU-1902",NA,NA,NA
"y1_d021_JFU_YJD","YJD","JFU",2,7,"top","YJD-0362","YJD-0020","YJD-0281","YJD-0066","YJD-0172","YJD-0345","YJD-0327","YJD-0193","YJD-0338","JFU-1902",NA,NA,NA
"y1_d021_JFU_YJD","YJD","JFU",2,8,"top","YJD-0362","YJD-0020","YJD-0281","YJD-0066","YJD-0172","YJD-0345","YJD-0327","YJD-0193","YJD-0338","JFU-1902",NA,NA,NA
"y1_d021_JFU_YJD","YJD","JFU",2,9,"top","YJD-0362","YJD-0020","YJD-0281","YJD-0066","YJD-0172","YJD-0345","YJD-0327","YJD-0193","YJD-0338","JFU-1902",NA,NA,NA
"y1_d021_JFU_YJD","YJD","JFU",3,10,"top","YJD-0362","YJD-0020","YJD-0281","YJD-0066","YJD-0172","YJD-0345","YJD-0327","YJD-0193","YJD-0338","JFU-1658","JFU-1902",NA,NA
"y1_d021_JFU_YJD","YJD","JFU",4,11,"top","YJD-0362","YJD-0020","YJD-0281","YJD-0066","YJD-0172","YJD-0345","YJD-0327","YJD-0193","YJD-0338","JFU-1626",NA,"JFU-1658",NA
"y1_d021_JFU_YJD","YJD","JFU",4,12,"top","YJD-0362","YJD-0020","YJD-0281","YJD-0066","YJD-0172","YJD-0345","YJD-0327","YJD-0193","YJD-0338","JFU-1626",NA,"JFU-1658",NA
"y1_d021_JFU_YJD","YJD","JFU",5,13,"bottom","JFU-1530","JFU-1832","JFU-2348","JFU-1902","JFU-1626","JFU-2068","JFU-2315","JFU-1850","JFU-2129","YJD-0345",NA,NA,NA
"y1_d021_JFU_YJD","YJD","JFU",5,14,"bottom","JFU-1530","JFU-1832","JFU-2348","JFU-1902","JFU-1626","JFU-2068","JFU-2315","JFU-1850","JFU-2129","YJD-0345",NA,NA,NA
"y1_d021_JFU_YJD","YJD","JFU",6,15,"bottom","JFU-1530","JFU-1832","JFU-2348","JFU-1902","JFU-1626","JFU-2068","JFU-2315","JFU-1850","JFU-2129","YJD-0327",NA,NA,NA
"y1_d021_JFU_YJD","YJD","JFU",7,16,"bottom","JFU-1530","JFU-1832","JFU-2348","JFU-1902","JFU-1626","JFU-2068","JFU-2315","JFU-1850","JFU-2129","YJD-0338",NA,"YJD-0327",NA
"y1_d021_JFU_YJD","YJD","JFU",7,17,"bottom","JFU-1530","JFU-1832","JFU-2348","JFU-1902","JFU-1626","JFU-2068","JFU-2315","JFU-1850","JFU-2129","YJD-0338",NA,"YJD-0327",NA
"y1_d021_JFU_YJD","YJD","JFU",7,18,"bottom","JFU-1530","JFU-1832","JFU-2348","JFU-1902","JFU-1626","JFU-2068","JFU-2315","JFU-1850","JFU-2129","YJD-0338",NA,"YJD-0327",NA
"y1_d021_JFU_YJD","YJD","JFU",8,19,"bottom","JFU-1530","JFU-1832","JFU-2348","JFU-1902","JFU-1626","JFU-2068","JFU-2315","JFU-1850","JFU-2129","YJD-0281","YJD-0338","YJD-0327",NA
"y1_d021_JFU_YJD","YJD","JFU",8,20,"bottom","JFU-1530","JFU-1832","JFU-2348","JFU-1902","JFU-1626","JFU-2068","JFU-2315","JFU-1850","JFU-2129","YJD-0281","YJD-0338","YJD-0327",NA
"y1_d021_JFU_YJD","YJD","JFU",9,21,"bottom","JFU-1530","JFU-1832","JFU-2348","JFU-1902","JFU-1626","JFU-2068","JFU-2315","JFU-1850","JFU-2129","YJD-0185",NA,"YJD-0281",NA
"y1_d021_JFU_YJD","YJD","JFU",10,22,"bottom","JFU-1530","JFU-1832","JFU-2348","JFU-1902","JFU-1626","JFU-2068","JFU-2315","JFU-1850","JFU-2129","YJD-0193","YJD-0185",NA,NA
"y1_d021_JFU_YJD","YJD","JFU",10,23,"bottom","JFU-1530","JFU-1832","JFU-2348","JFU-1902","JFU-1626","JFU-2068","JFU-2315","JFU-1850","JFU-2129","YJD-0193","YJD-0185",NA,NA
"y1_d021_JFU_YJD","YJD","JFU",11,24,"top","YJD-0362","YJD-0020","YJD-0281","YJD-0066","YJD-0172","YJD-0345","YJD-0327","YJD-0193","YJD-0338","JFU-2129",NA,NA,NA
"y1_d021_JFU_YJD","YJD","JFU",12,25,"top","YJD-0362","YJD-0020","YJD-0281","YJD-0066","YJD-0172","YJD-0345","YJD-0327","YJD-0193","YJD-0338","JFU-2315","JFU-2129",NA,NA
"y1_d021_JFU_YJD","YJD","JFU",13,26,"top","YJD-0362","YJD-0020","YJD-0281","YJD-0066","YJD-0172","YJD-0345","YJD-0327","YJD-0193","YJD-0338","JFU-2348","JFU-2315","JFU-2129",NA
"y1_d021_JFU_YJD","YJD","JFU",13,27,"top","YJD-0362","YJD-0020","YJD-0281","YJD-0066","YJD-0172","YJD-0345","YJD-0327","YJD-0193","YJD-0338","JFU-2348","JFU-2315","JFU-2129",NA
"y1_d021_JFU_YJD","YJD","JFU",13,28,"top","YJD-0362","YJD-0020","YJD-0281","YJD-0066","YJD-0172","YJD-0345","YJD-0327","YJD-0193","YJD-0338","JFU-2348","JFU-2315","JFU-2129",NA
"y1_d021_JFU_YJD","YJD","JFU",13,29,"top","YJD-0362","YJD-0020","YJD-0281","YJD-0066","YJD-0172","YJD-0345","YJD-0327","YJD-0193","YJD-0338","JFU-2348","JFU-2315","JFU-2129",NA
"y1_d021_JFU_YJD","YJD","JFU",13,30,"top","YJD-0362","YJD-0020","YJD-0281","YJD-0066","YJD-0172","YJD-0345","YJD-0327","YJD-0193","YJD-0338","JFU-2348","JFU-2315","JFU-2129",NA
"y1_d021_JFU_YJD","YJD","JFU",13,31,"top","YJD-0362","YJD-0020","YJD-0281","YJD-0066","YJD-0172","YJD-0345","YJD-0327","YJD-0193","YJD-0338","JFU-2348","JFU-2315","JFU-2129",NA
"y1_d021_JFU_YJD","YJD","JFU",14,32,"top","YJD-0362","YJD-0020","YJD-0281","YJD-0066","YJD-0172","YJD-0345","YJD-0327","YJD-0193","YJD-0338","JFU-1832","JFU-2315","JFU-2129",NA
"y1_d021_JFU_YJD","YJD","JFU",14,33,"top","YJD-0362","YJD-0020","YJD-0281","YJD-0066","YJD-0172","YJD-0345","YJD-0327","YJD-0193","YJD-0338","JFU-1832","JFU-2315","JFU-2129",NA
"y1_d021_JFU_YJD","YJD","JFU",14,34,"top","YJD-0362","YJD-0020","YJD-0281","YJD-0066","YJD-0172","YJD-0345","YJD-0327","YJD-0193","YJD-0338","JFU-1832","JFU-2315","JFU-2129",NA
"y1_d021_JFU_YJD","YJD","JFU",19,41,"bottom","JFU-1530","JFU-1832","JFU-2348","JFU-1902","JFU-1626","JFU-2068","JFU-2315","JFU-1850","JFU-2129","YJD-0066",NA,NA,NA
"y1_d021_JFU_YJD","YJD","JFU",19,42,"bottom","JFU-1530","JFU-1832","JFU-2348","JFU-1902","JFU-1626","JFU-2068","JFU-2315","JFU-1850","JFU-2129","YJD-0172","YJD-0066",NA,NA
"y1_d021_JFU_YJD","YJD","JFU",19,43,"bottom","JFU-1530","JFU-1832","JFU-2348","JFU-1902","JFU-1626","JFU-2068","JFU-2315","JFU-1850","JFU-2129","YJD-0020",NA,"YJD-0172","YJD-0066"
"y1_d021_JFU_YJD","YJD","JFU",19,44,"bottom","JFU-1530","JFU-1832","JFU-2348","JFU-1902","JFU-1626","JFU-2068","JFU-2315","JFU-1850","JFU-2129","YJD-0020",NA,"YJD-0172","YJD-0066"
"y1_d021_JFU_YJD","YJD","JFU",20,45,"bottom","JFU-1530","JFU-1832","JFU-2348","JFU-1902","JFU-1626","JFU-2068","JFU-2315","JFU-1850","JFU-2129","YJD-0020",NA,NA,NA
"y1_d021_JFU_YJD","YJD","JFU",NA,46,"bottom","JFU-1530","JFU-1832","JFU-2348","JFU-1902","JFU-1626","JFU-2068","JFU-2315","JFU-1850","JFU-2129","YJD-0345",NA,NA,NA
"y1_d021_JFU_YJD","YJD","JFU",NA,47,"bottom","JFU-1530","JFU-1832","JFU-2348","JFU-1902","JFU-1626","JFU-2068","JFU-2315","JFU-1850","JFU-2129","YJD-0345",NA,NA,NA
"y1_d021_JFU_YJD","YJD","JFU",20,48,"bottom","JFU-1530","JFU-1832","JFU-2348","JFU-1902","JFU-1626","JFU-2068","JFU-2315","JFU-1850","JFU-2129","YJD-0345",NA,NA,NA
"y1_d021_JFU_YJD","YJD","JFU",20,49,"bottom","JFU-1530","JFU-1832","JFU-2348","JFU-1902","JFU-1626","JFU-2068","JFU-2315","JFU-1850","JFU-2129","YJD-0345",NA,NA,NA
"y1_d021_JFU_YJD","YJD","JFU",20,50,"bottom","JFU-1530","JFU-1832","JFU-2348","JFU-1902","JFU-1626","JFU-2068","JFU-2315","JFU-1850","JFU-2129","YJD-0327","YJD-0345",NA,NA
"y1_d021_JFU_YJD","YJD","JFU",21,53,"bottom","JFU-1530","JFU-1832","JFU-2348","JFU-1902","JFU-1626","JFU-2068","JFU-2315","JFU-1850","JFU-2129","YJD-0327","YJD-0345",NA,NA
"y1_d021_JFU_YJD","YJD","JFU",21,55,"bottom","JFU-1530","JFU-1832","JFU-2348","JFU-1902","JFU-1626","JFU-2068","JFU-2315","JFU-1850","JFU-2129","YJD-0327","YJD-0345",NA,NA
"y1_d021_JFU_YJD","YJD","JFU",21,56,"bottom","JFU-1530","JFU-1832","JFU-2348","JFU-1902","JFU-1626","JFU-2068","JFU-2315","JFU-1850","JFU-2129","YJD-0327",NA,"YJD-0345",NA
"y1_d021_JFU_YJD","YJD","JFU",22,57,"bottom","JFU-1530","JFU-1832","JFU-2348","JFU-1902","JFU-1626","JFU-2068","JFU-2315","JFU-1850","JFU-2129","YJD-0327",NA,"YJD-0345",NA
"y1_d021_JFU_YJD","YJD","JFU",22,58,"bottom","JFU-1530","JFU-1832","JFU-2348","JFU-1902","JFU-1626","JFU-2068","JFU-2315","JFU-1850","JFU-2129","YJD-0327",NA,"YJD-0345",NA
"y1_d021_JFU_YJD","YJD","JFU",23,59,"bottom","JFU-1530","JFU-1832","JFU-2348","JFU-1902","JFU-1626","JFU-2068","JFU-2315","JFU-1850","JFU-2129","YJD-0338",NA,"YJD-0345",NA
"y1_d021_JFU_YJD","YJD","JFU",24,60,"bottom","JFU-1530","JFU-1832","JFU-2348","JFU-1902","JFU-1626","JFU-2068","JFU-2315","JFU-1850","JFU-2129","YJD-0338",NA,"YJD-0345",NA
"y1_d021_JFU_YJD","YJD","JFU",24,61,"bottom","JFU-1530","JFU-1832","JFU-2348","JFU-1902","JFU-1626","JFU-2068","JFU-2315","JFU-1850","JFU-2129","YJD-0338",NA,NA,NA
"y1_d021_JFU_YJD","YJD","JFU",24,62,"bottom","JFU-1530","JFU-1832","JFU-2348","JFU-1902","JFU-1626","JFU-2068","JFU-2315","JFU-1850","JFU-2129","YJD-0338",NA,NA,NA
"y1_d021_JFU_YJD","YJD","JFU",25,63,"top","YJD-0362","YJD-0020","YJD-0281","YJD-0066","YJD-0172","YJD-0345","YJD-0327","YJD-0193","YJD-0338","JFU-2068",NA,NA,NA
"y1_d021_JFU_YJD","YJD","JFU",25,64,"top","YJD-0362","YJD-0020","YJD-0281","YJD-0066","YJD-0172","YJD-0345","YJD-0327","YJD-0193","YJD-0338","JFU-2068",NA,NA,NA
"y1_d021_JFU_YJD","YJD","JFU",25,65,"top","YJD-0362","YJD-0020","YJD-0281","YJD-0066","YJD-0172","YJD-0345","YJD-0327","YJD-0193","YJD-0338","JFU-1902",NA,"JFU-2068",NA
"y1_d021_JFU_YJD","YJD","JFU",25,66,"top","YJD-0362","YJD-0020","YJD-0281","YJD-0066","YJD-0172","YJD-0345","YJD-0327","YJD-0193","YJD-0338","JFU-1658","JFU-1902","JFU-2068",NA
"y1_d021_JFU_YJD","YJD","JFU",25,67,"top","YJD-0362","YJD-0020","YJD-0281","YJD-0066","YJD-0172","YJD-0345","YJD-0327","YJD-0193","YJD-0338","JFU-1658","JFU-1902","JFU-2068",NA
"y1_d021_JFU_YJD","YJD","JFU",25,68,"top","YJD-0362","YJD-0020","YJD-0281","YJD-0066","YJD-0172","YJD-0345","YJD-0327","YJD-0193","YJD-0338","JFU-1658","JFU-1902","JFU-2068",NA
"y1_d021_JFU_YJD","YJD","JFU",26,69,"top","YJD-0362","YJD-0020","YJD-0281","YJD-0066","YJD-0172","YJD-0345","YJD-0327","YJD-0193","YJD-0338","JFU-1626","JFU-1902","JFU-2068",NA
"y1_d021_JFU_YJD","YJD","JFU",26,70,"top","YJD-0362","YJD-0020","YJD-0281","YJD-0066","YJD-0172","YJD-0345","YJD-0327","YJD-0193","YJD-0338","JFU-1626","JFU-1902","JFU-2068",NA
"y1_d021_JFU_YJD","YJD","JFU",26,71,"top","YJD-0362","YJD-0020","YJD-0281","YJD-0066","YJD-0172","YJD-0345","YJD-0327","YJD-0193","YJD-0338","JFU-1626","JFU-1902","JFU-2068",NA
"y1_d021_JFU_YJD","YJD","JFU",27,72,"top","YJD-0362","YJD-0020","YJD-0281","YJD-0066","YJD-0172","YJD-0345","YJD-0327","YJD-0193","YJD-0338","JFU-1626","JFU-1902","JFU-2068",NA
"y1_d021_JFU_YJD","YJD","JFU",27,73,"top","YJD-0362","YJD-0020","YJD-0281","YJD-0066","YJD-0172","YJD-0345","YJD-0327","YJD-0193","YJD-0338","JFU-1626","JFU-1902","JFU-2068",NA
"y1_d021_JFU_YJD","YJD","JFU",27,74,"top","YJD-0362","YJD-0020","YJD-0281","YJD-0066","YJD-0172","YJD-0345","YJD-0327","YJD-0193","YJD-0338","JFU-1626","JFU-1902","JFU-2068",NA
"y1_d021_JFU_YJD","YJD","JFU",28,75,"bottom","JFU-1530","JFU-1832","JFU-2348","JFU-1902","JFU-1626","JFU-2068","JFU-2315","JFU-1850","JFU-2129","YJD-0281",NA,NA,NA
"y1_d021_JFU_YJD","YJD","JFU",28,76,"bottom","JFU-1530","JFU-1832","JFU-2348","JFU-1902","JFU-1626","JFU-2068","JFU-2315","JFU-1850","JFU-2129","YJD-0281",NA,NA,NA
"y1_d021_JFU_YJD","YJD","JFU",28,77,"bottom","JFU-1530","JFU-1832","JFU-2348","JFU-1902","JFU-1626","JFU-2068","JFU-2315","JFU-1850","JFU-2129","YJD-0281",NA,NA,NA
"y1_d021_JFU_YJD","YJD","JFU",29,78,"bottom","JFU-1530","JFU-1832","JFU-2348","JFU-1902","JFU-1626","JFU-2068","JFU-2315","JFU-1850","JFU-2129","YJD-0185",NA,NA,NA
