"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y1_d008_JJS_YJD","YJD","JJS",1,1,"top","YJD-0191","YJD-0020","YJD-0223","YJD-0172","YJD-0025","YJD-0345","YJD-0185","YJD-0193","YJD-0281","JJS-1890",NA,NA,NA
"y1_d008_JJS_YJD","YJD","JJS",1,2,"top","YJD-0191","YJD-0020","YJD-0223","YJD-0172","YJD-0025","YJD-0345","YJD-0185","YJD-0193","YJD-0281","JJS-1890",NA,NA,NA
"y1_d008_JJS_YJD","YJD","JJS",1,3,"top","YJD-0191","YJD-0020","YJD-0223","YJD-0172","YJD-0025","YJD-0345","YJD-0185","YJD-0193","YJD-0281","JJS-1890",NA,NA,NA
"y1_d008_JJS_YJD","YJD","JJS",2,4,"top","YJD-0191","YJD-0020","YJD-0223","YJD-0172","YJD-0025","YJD-0345","YJD-0185","YJD-0193","YJD-0281","JJS-2335",NA,NA,NA
"y1_d008_JJS_YJD","YJD","JJS",2,5,"top","YJD-0191","YJD-0020","YJD-0223","YJD-0172","YJD-0025","YJD-0345","YJD-0185","YJD-0193","YJD-0281","JJS-2335",NA,NA,NA
"y1_d008_JJS_YJD","YJD","JJS",2,6,"top","YJD-0191","YJD-0020","YJD-0223","YJD-0172","YJD-0025","YJD-0345","YJD-0185","YJD-0193","YJD-0281","JJS-2335",NA,NA,NA
"y1_d008_JJS_YJD","YJD","JJS",2,7,"top","YJD-0191","YJD-0020","YJD-0223","YJD-0172","YJD-0025","YJD-0345","YJD-0185","YJD-0193","YJD-0281","JJS-2335",NA,NA,NA
"y1_d008_JJS_YJD","YJD","JJS",2,8,"top","YJD-0191","YJD-0020","YJD-0223","YJD-0172","YJD-0025","YJD-0345","YJD-0185","YJD-0193","YJD-0281","JJS-2335",NA,NA,NA
"y1_d008_JJS_YJD","YJD","JJS",2,9,"top","YJD-0191","YJD-0020","YJD-0223","YJD-0172","YJD-0025","YJD-0345","YJD-0185","YJD-0193","YJD-0281","JJS-2335",NA,NA,NA
"y1_d008_JJS_YJD","YJD","JJS",3,10,"top","YJD-0191","YJD-0020","YJD-0223","YJD-0172","YJD-0025","YJD-0345","YJD-0185","YJD-0193","YJD-0281","JJS-1834",NA,NA,NA
"y1_d008_JJS_YJD","YJD","JJS",3,11,"top","YJD-0191","YJD-0020","YJD-0223","YJD-0172","YJD-0025","YJD-0345","YJD-0185","YJD-0193","YJD-0281","JJS-1834",NA,NA,NA
"y1_d008_JJS_YJD","YJD","JJS",3,12,"top","YJD-0191","YJD-0020","YJD-0223","YJD-0172","YJD-0025","YJD-0345","YJD-0185","YJD-0193","YJD-0281","JJS-1834",NA,NA,NA
"y1_d008_JJS_YJD","YJD","JJS",3,13,"top","YJD-0191","YJD-0020","YJD-0223","YJD-0172","YJD-0025","YJD-0345","YJD-0185","YJD-0193","YJD-0281","JJS-1834",NA,NA,NA
"y1_d008_JJS_YJD","YJD","JJS",3,14,"top","YJD-0191","YJD-0020","YJD-0223","YJD-0172","YJD-0025","YJD-0345","YJD-0185","YJD-0193","YJD-0281","JJS-1834",NA,NA,NA
"y1_d008_JJS_YJD","YJD","JJS",4,15,"bottom","JJS-2176","JJS-1834","JJS-2517","JJS-2187","JJS-1116","JJS-2335","JJS-1625","JJS-1890","JJS-2238","YJD-0345",NA,NA,NA
"y1_d008_JJS_YJD","YJD","JJS",4,16,"bottom","JJS-2176","JJS-1834","JJS-2517","JJS-2187","JJS-1116","JJS-2335","JJS-1625","JJS-1890","JJS-2238","YJD-0345",NA,NA,NA
"y1_d008_JJS_YJD","YJD","JJS",4,17,"bottom","JJS-2176","JJS-1834","JJS-2517","JJS-2187","JJS-1116","JJS-2335","JJS-1625","JJS-1890","JJS-2238","YJD-0345",NA,NA,NA
"y1_d008_JJS_YJD","YJD","JJS",4,18,"bottom","JJS-2176","JJS-1834","JJS-2517","JJS-2187","JJS-1116","JJS-2335","JJS-1625","JJS-1890","JJS-2238","YJD-0345",NA,NA,NA
"y1_d008_JJS_YJD","YJD","JJS",4,19,"bottom","JJS-2176","JJS-1834","JJS-2517","JJS-2187","JJS-1116","JJS-2335","JJS-1625","JJS-1890","JJS-2238","YJD-0345",NA,NA,NA
"y1_d008_JJS_YJD","YJD","JJS",4,20,"bottom","JJS-2176","JJS-1834","JJS-2517","JJS-2187","JJS-1116","JJS-2335","JJS-1625","JJS-1890","JJS-2238","YJD-0345",NA,NA,NA
"y1_d008_JJS_YJD","YJD","JJS",4,21,"bottom","JJS-2176","JJS-1834","JJS-2517","JJS-2187","JJS-1116","JJS-2335","JJS-1625","JJS-1890","JJS-2238","YJD-0345",NA,NA,NA
"y1_d008_JJS_YJD","YJD","JJS",5,22,"bottom","JJS-2176","JJS-1834","JJS-2517","JJS-2187","JJS-1116","JJS-2335","JJS-1625","JJS-1890","JJS-2238","YJD-0327",NA,NA,NA
"y1_d008_JJS_YJD","YJD","JJS",5,23,"bottom","JJS-2176","JJS-1834","JJS-2517","JJS-2187","JJS-1116","JJS-2335","JJS-1625","JJS-1890","JJS-2238","YJD-0327",NA,NA,NA
"y1_d008_JJS_YJD","YJD","JJS",6,24,"bottom","JJS-2176","JJS-1834","JJS-2517","JJS-2187","JJS-1116","JJS-2335","JJS-1625","JJS-1890","JJS-2238","YJD-0185",NA,NA,NA
"y1_d008_JJS_YJD","YJD","JJS",6,25,"bottom","JJS-2176","JJS-1834","JJS-2517","JJS-2187","JJS-1116","JJS-2335","JJS-1625","JJS-1890","JJS-2238","YJD-0185",NA,NA,NA
"y1_d008_JJS_YJD","YJD","JJS",7,26,"top","YJD-0191","YJD-0020","YJD-0223","YJD-0172","YJD-0025","YJD-0345","YJD-0185","YJD-0193","YJD-0281","JJS-2238",NA,NA,NA
"y1_d008_JJS_YJD","YJD","JJS",7,27,"top","YJD-0191","YJD-0020","YJD-0223","YJD-0172","YJD-0025","YJD-0345","YJD-0185","YJD-0193","YJD-0281","JJS-2238",NA,NA,NA
"y1_d008_JJS_YJD","YJD","JJS",7,28,"top","YJD-0191","YJD-0020","YJD-0223","YJD-0172","YJD-0025","YJD-0345","YJD-0185","YJD-0193","YJD-0281","JJS-2238",NA,NA,NA
