"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y2_d008_JMJ_YJD","YJD","JMJ",1,1,"top","YJD-0124","YJD-0107","YJD-0373","YJD-0374","YJD-0405","YJD-0312","YJD-0366","YJD-0019","YJD-0278","JMJ-1419",NA,NA,NA
"y2_d008_JMJ_YJD","YJD","JMJ",1,2,"top","YJD-0124","YJD-0107","YJD-0373","YJD-0374","YJD-0405","YJD-0312","YJD-0366","YJD-0019","YJD-0278","JMJ-1419",NA,NA,NA
"y2_d008_JMJ_YJD","YJD","JMJ",1,3,"top","YJD-0124","YJD-0107","YJD-0373","YJD-0374","YJD-0405","YJD-0312","YJD-0366","YJD-0019","YJD-0278","JMJ-1419",NA,NA,NA
"y2_d008_JMJ_YJD","YJD","JMJ",2,4,"top","YJD-0124","YJD-0107","YJD-0373","YJD-0374","YJD-0405","YJD-0312","YJD-0366","YJD-0019","YJD-0278","JMJ-1034","JMJ-1419",NA,NA
"y2_d008_JMJ_YJD","YJD","JMJ",3,5,"top","YJD-0124","YJD-0107","YJD-0373","YJD-0374","YJD-0405","YJD-0312","YJD-0366","YJD-0019","YJD-0278","JMJ-2130","JMJ-1034","JMJ-1419",NA
"y2_d008_JMJ_YJD","YJD","JMJ",3,6,"top","YJD-0124","YJD-0107","YJD-0373","YJD-0374","YJD-0405","YJD-0312","YJD-0366","YJD-0019","YJD-0278","JMJ-2130","JMJ-1034","JMJ-1419",NA
"y2_d008_JMJ_YJD","YJD","JMJ",3,7,"top","YJD-0124","YJD-0107","YJD-0373","YJD-0374","YJD-0405","YJD-0312","YJD-0366","YJD-0019","YJD-0278","JMJ-2130","JMJ-1034","JMJ-1419",NA
"y2_d008_JMJ_YJD","YJD","JMJ",4,8,"top","YJD-0124","YJD-0107","YJD-0373","YJD-0374","YJD-0405","YJD-0312","YJD-0366","YJD-0019","YJD-0278","JMJ-2220","JMJ-1034","JMJ-1419",NA
"y2_d008_JMJ_YJD","YJD","JMJ",5,9,"bottom","JMJ-1698","JMJ-2021","JMJ-2007","JMJ-2130","JMJ-1175","JMJ-1299","JMJ-1419","JMJ-1034","JMJ-2220","YJD-0019",NA,NA,NA
"y2_d008_JMJ_YJD","YJD","JMJ",5,10,"bottom","JMJ-1698","JMJ-2021","JMJ-2007","JMJ-2130","JMJ-1175","JMJ-1299","JMJ-1419","JMJ-1034","JMJ-2220","YJD-0019",NA,NA,NA
"y2_d008_JMJ_YJD","YJD","JMJ",5,11,"bottom","JMJ-1698","JMJ-2021","JMJ-2007","JMJ-2130","JMJ-1175","JMJ-1299","JMJ-1419","JMJ-1034","JMJ-2220","YJD-0019",NA,NA,NA
"y2_d008_JMJ_YJD","YJD","JMJ",6,12,"bottom","JMJ-1698","JMJ-2021","JMJ-2007","JMJ-2130","JMJ-1175","JMJ-1299","JMJ-1419","JMJ-1034","JMJ-2220","YJD-0374",NA,NA,NA
"y2_d008_JMJ_YJD","YJD","JMJ",6,13,"bottom","JMJ-1698","JMJ-2021","JMJ-2007","JMJ-2130","JMJ-1175","JMJ-1299","JMJ-1419","JMJ-1034","JMJ-2220","YJD-0374",NA,NA,NA
"y2_d008_JMJ_YJD","YJD","JMJ",6,14,"bottom","JMJ-1698","JMJ-2021","JMJ-2007","JMJ-2130","JMJ-1175","JMJ-1299","JMJ-1419","JMJ-1034","JMJ-2220","YJD-0374",NA,NA,NA
"y2_d008_JMJ_YJD","YJD","JMJ",7,15,"bottom","JMJ-1698","JMJ-2021","JMJ-2007","JMJ-2130","JMJ-1175","JMJ-1299","JMJ-1419","JMJ-1034","JMJ-2220","YJD-0107","YJD-0374",NA,NA
"y2_d008_JMJ_YJD","YJD","JMJ",8,16,"bottom","JMJ-1698","JMJ-2021","JMJ-2007","JMJ-2130","JMJ-1175","JMJ-1299","JMJ-1419","JMJ-1034","JMJ-2220","YJD-0373","YJD-0374",NA,NA
"y2_d008_JMJ_YJD","YJD","JMJ",8,17,"bottom","JMJ-1698","JMJ-2021","JMJ-2007","JMJ-2130","JMJ-1175","JMJ-1299","JMJ-1419","JMJ-1034","JMJ-2220","YJD-0373","YJD-0374",NA,NA
"y2_d008_JMJ_YJD","YJD","JMJ",8,18,"bottom","JMJ-1698","JMJ-2021","JMJ-2007","JMJ-2130","JMJ-1175","JMJ-1299","JMJ-1419","JMJ-1034","JMJ-2220","YJD-0373","YJD-0374",NA,NA
"y2_d008_JMJ_YJD","YJD","JMJ",8,19,"bottom","JMJ-1698","JMJ-2021","JMJ-2007","JMJ-2130","JMJ-1175","JMJ-1299","JMJ-1419","JMJ-1034","JMJ-2220","YJD-0373","YJD-0374",NA,NA
"y2_d008_JMJ_YJD","YJD","JMJ",8,20,"bottom","JMJ-1698","JMJ-2021","JMJ-2007","JMJ-2130","JMJ-1175","JMJ-1299","JMJ-1419","JMJ-1034","JMJ-2220","YJD-0373","YJD-0374",NA,NA
"y2_d008_JMJ_YJD","YJD","JMJ",8,21,"bottom","JMJ-1698","JMJ-2021","JMJ-2007","JMJ-2130","JMJ-1175","JMJ-1299","JMJ-1419","JMJ-1034","JMJ-2220","YJD-0373","YJD-0374",NA,NA
"y2_d008_JMJ_YJD","YJD","JMJ",9,22,"bottom","JMJ-1698","JMJ-2021","JMJ-2007","JMJ-2130","JMJ-1175","JMJ-1299","JMJ-1419","JMJ-1034","JMJ-2220","YJD-0312","YJD-0373","YJD-0374",NA
"y2_d008_JMJ_YJD","YJD","JMJ",9,23,"bottom","JMJ-1698","JMJ-2021","JMJ-2007","JMJ-2130","JMJ-1175","JMJ-1299","JMJ-1419","JMJ-1034","JMJ-2220","YJD-0312","YJD-0373","YJD-0374",NA
"y2_d008_JMJ_YJD","YJD","JMJ",9,24,"bottom","JMJ-1698","JMJ-2021","JMJ-2007","JMJ-2130","JMJ-1175","JMJ-1299","JMJ-1419","JMJ-1034","JMJ-2220","YJD-0312","YJD-0373","YJD-0374",NA
"y2_d008_JMJ_YJD","YJD","JMJ",9,25,"bottom","JMJ-1698","JMJ-2021","JMJ-2007","JMJ-2130","JMJ-1175","JMJ-1299","JMJ-1419","JMJ-1034","JMJ-2220","YJD-0312","YJD-0373","YJD-0374",NA
"y2_d008_JMJ_YJD","YJD","JMJ",9,26,"bottom","JMJ-1698","JMJ-2021","JMJ-2007","JMJ-2130","JMJ-1175","JMJ-1299","JMJ-1419","JMJ-1034","JMJ-2220","YJD-0312","YJD-0373","YJD-0374",NA
"y2_d008_JMJ_YJD","YJD","JMJ",10,27,"top","YJD-0124","YJD-0107","YJD-0373","YJD-0374","YJD-0405","YJD-0312","YJD-0366","YJD-0019","YJD-0278","JMJ-1204",NA,NA,NA
"y2_d008_JMJ_YJD","YJD","JMJ",10,28,"top","YJD-0124","YJD-0107","YJD-0373","YJD-0374","YJD-0405","YJD-0312","YJD-0366","YJD-0019","YJD-0278","JMJ-1204",NA,NA,NA
"y2_d008_JMJ_YJD","YJD","JMJ",11,29,"top","YJD-0124","YJD-0107","YJD-0373","YJD-0374","YJD-0405","YJD-0312","YJD-0366","YJD-0019","YJD-0278","JMJ-1175",NA,NA,NA
"y2_d008_JMJ_YJD","YJD","JMJ",11,30,"top","YJD-0124","YJD-0107","YJD-0373","YJD-0374","YJD-0405","YJD-0312","YJD-0366","YJD-0019","YJD-0278","JMJ-1175",NA,NA,NA
"y2_d008_JMJ_YJD","YJD","JMJ",11,31,"top","YJD-0124","YJD-0107","YJD-0373","YJD-0374","YJD-0405","YJD-0312","YJD-0366","YJD-0019","YJD-0278","JMJ-1175",NA,NA,NA
"y2_d008_JMJ_YJD","YJD","JMJ",11,32,"top","YJD-0124","YJD-0107","YJD-0373","YJD-0374","YJD-0405","YJD-0312","YJD-0366","YJD-0019","YJD-0278","JMJ-1175",NA,NA,NA
"y2_d008_JMJ_YJD","YJD","JMJ",11,33,"top","YJD-0124","YJD-0107","YJD-0373","YJD-0374","YJD-0405","YJD-0312","YJD-0366","YJD-0019","YJD-0278","JMJ-1175",NA,NA,NA
"y2_d008_JMJ_YJD","YJD","JMJ",11,34,"top","YJD-0124","YJD-0107","YJD-0373","YJD-0374","YJD-0405","YJD-0312","YJD-0366","YJD-0019","YJD-0278","JMJ-1175",NA,NA,NA
