"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y2_d035_KNB_YJD","YJD","KNB",1,1,"top","YJD-0386","YJD-0007","YJD-0373","YJD-0080","YJD-0174","YJD-0345","YJD-0366","YJD-0327","YJD-0340","KNB-1389",NA,NA,NA
"y2_d035_KNB_YJD","YJD","KNB",1,2,"top","YJD-0386","YJD-0007","YJD-0373","YJD-0080","YJD-0174","YJD-0345","YJD-0366","YJD-0327","YJD-0340","KNB-1389",NA,NA,NA
"y2_d035_KNB_YJD","YJD","KNB",1,3,"top","YJD-0386","YJD-0007","YJD-0373","YJD-0080","YJD-0174","YJD-0345","YJD-0366","YJD-0327","YJD-0340","KNB-1389",NA,NA,NA
"y2_d035_KNB_YJD","YJD","KNB",1,4,"top","YJD-0386","YJD-0007","YJD-0373","YJD-0080","YJD-0174","YJD-0345","YJD-0366","YJD-0327","YJD-0340","KNB-1389",NA,NA,NA
"y2_d035_KNB_YJD","YJD","KNB",1,5,"top","YJD-0386","YJD-0007","YJD-0373","YJD-0080","YJD-0174","YJD-0345","YJD-0366","YJD-0327","YJD-0340","KNB-1389",NA,NA,NA
"y2_d035_KNB_YJD","YJD","KNB",2,6,"top","YJD-0386","YJD-0007","YJD-0373","YJD-0080","YJD-0174","YJD-0345","YJD-0366","YJD-0327","YJD-0340","KNB-1075",NA,NA,NA
"y2_d035_KNB_YJD","YJD","KNB",2,7,"top","YJD-0386","YJD-0007","YJD-0373","YJD-0080","YJD-0174","YJD-0345","YJD-0366","YJD-0327","YJD-0340","KNB-1075",NA,NA,NA
"y2_d035_KNB_YJD","YJD","KNB",2,8,"top","YJD-0386","YJD-0007","YJD-0373","YJD-0080","YJD-0174","YJD-0345","YJD-0366","YJD-0327","YJD-0340","KNB-1075",NA,NA,NA
"y2_d035_KNB_YJD","YJD","KNB",2,9,"top","YJD-0386","YJD-0007","YJD-0373","YJD-0080","YJD-0174","YJD-0345","YJD-0366","YJD-0327","YJD-0340","KNB-1075",NA,NA,NA
"y2_d035_KNB_YJD","YJD","KNB",2,10,"top","YJD-0386","YJD-0007","YJD-0373","YJD-0080","YJD-0174","YJD-0345","YJD-0366","YJD-0327","YJD-0340","KNB-1075",NA,NA,NA
"y2_d035_KNB_YJD","YJD","KNB",2,11,"top","YJD-0386","YJD-0007","YJD-0373","YJD-0080","YJD-0174","YJD-0345","YJD-0366","YJD-0327","YJD-0340","KNB-1075",NA,NA,NA
"y2_d035_KNB_YJD","YJD","KNB",3,12,"top","YJD-0386","YJD-0007","YJD-0373","YJD-0080","YJD-0174","YJD-0345","YJD-0366","YJD-0327","YJD-0340","KNB-1703","KNB-1075",NA,NA
"y2_d035_KNB_YJD","YJD","KNB",3,13,"top","YJD-0386","YJD-0007","YJD-0373","YJD-0080","YJD-0174","YJD-0345","YJD-0366","YJD-0327","YJD-0340","KNB-1703","KNB-1075",NA,NA
"y2_d035_KNB_YJD","YJD","KNB",3,14,"top","YJD-0386","YJD-0007","YJD-0373","YJD-0080","YJD-0174","YJD-0345","YJD-0366","YJD-0327","YJD-0340","KNB-1703","KNB-1075",NA,NA
"y2_d035_KNB_YJD","YJD","KNB",3,15,"top","YJD-0386","YJD-0007","YJD-0373","YJD-0080","YJD-0174","YJD-0345","YJD-0366","YJD-0327","YJD-0340","KNB-1703","KNB-1075",NA,NA
"y2_d035_KNB_YJD","YJD","KNB",3,16,"top","YJD-0386","YJD-0007","YJD-0373","YJD-0080","YJD-0174","YJD-0345","YJD-0366","YJD-0327","YJD-0340","KNB-1703","KNB-1075",NA,NA
"y2_d035_KNB_YJD","YJD","KNB",3,17,"top","YJD-0386","YJD-0007","YJD-0373","YJD-0080","YJD-0174","YJD-0345","YJD-0366","YJD-0327","YJD-0340","KNB-1703","KNB-1075",NA,NA
"y2_d035_KNB_YJD","YJD","KNB",4,18,"top","YJD-0386","YJD-0007","YJD-0373","YJD-0080","YJD-0174","YJD-0345","YJD-0366","YJD-0327","YJD-0340","KNB-1182","KNB-1703","KNB-1075",NA
"y2_d035_KNB_YJD","YJD","KNB",4,19,"top","YJD-0386","YJD-0007","YJD-0373","YJD-0080","YJD-0174","YJD-0345","YJD-0366","YJD-0327","YJD-0340","KNB-1182","KNB-1703","KNB-1075",NA
"y2_d035_KNB_YJD","YJD","KNB",4,20,"top","YJD-0386","YJD-0007","YJD-0373","YJD-0080","YJD-0174","YJD-0345","YJD-0366","YJD-0327","YJD-0340","KNB-1182","KNB-1703","KNB-1075",NA
"y2_d035_KNB_YJD","YJD","KNB",4,21,"top","YJD-0386","YJD-0007","YJD-0373","YJD-0080","YJD-0174","YJD-0345","YJD-0366","YJD-0327","YJD-0340","KNB-1182","KNB-1703","KNB-1075",NA
"y2_d035_KNB_YJD","YJD","KNB",4,22,"top","YJD-0386","YJD-0007","YJD-0373","YJD-0080","YJD-0174","YJD-0345","YJD-0366","YJD-0327","YJD-0340","KNB-1182","KNB-1703","KNB-1075",NA
"y2_d035_KNB_YJD","YJD","KNB",4,23,"top","YJD-0386","YJD-0007","YJD-0373","YJD-0080","YJD-0174","YJD-0345","YJD-0366","YJD-0327","YJD-0340","KNB-1182","KNB-1703","KNB-1075",NA
"y2_d035_KNB_YJD","YJD","KNB",4,24,"top","YJD-0386","YJD-0007","YJD-0373","YJD-0080","YJD-0174","YJD-0345","YJD-0366","YJD-0327","YJD-0340","KNB-1182","KNB-1703","KNB-1075",NA
"y2_d035_KNB_YJD","YJD","KNB",4,25,"top","YJD-0386","YJD-0007","YJD-0373","YJD-0080","YJD-0174","YJD-0345","YJD-0366","YJD-0327","YJD-0340","KNB-1182","KNB-1703","KNB-1075",NA
"y2_d035_KNB_YJD","YJD","KNB",4,26,"top","YJD-0386","YJD-0007","YJD-0373","YJD-0080","YJD-0174","YJD-0345","YJD-0366","YJD-0327","YJD-0340","KNB-1182","KNB-1703","KNB-1075",NA
"y2_d035_KNB_YJD","YJD","KNB",4,27,"top","YJD-0386","YJD-0007","YJD-0373","YJD-0080","YJD-0174","YJD-0345","YJD-0366","YJD-0327","YJD-0340","KNB-1182","KNB-1703","KNB-1075",NA
"y2_d035_KNB_YJD","YJD","KNB",5,28,"top","YJD-0386","YJD-0007","YJD-0373","YJD-0080","YJD-0174","YJD-0345","YJD-0366","YJD-0327","YJD-0340","KNB-2032","KNB-1703",NA,NA
"y2_d035_KNB_YJD","YJD","KNB",5,29,"top","YJD-0386","YJD-0007","YJD-0373","YJD-0080","YJD-0174","YJD-0345","YJD-0366","YJD-0327","YJD-0340","KNB-2032","KNB-1703",NA,NA
"y2_d035_KNB_YJD","YJD","KNB",5,30,"top","YJD-0386","YJD-0007","YJD-0373","YJD-0080","YJD-0174","YJD-0345","YJD-0366","YJD-0327","YJD-0340","KNB-2032","KNB-1703",NA,NA
"y2_d035_KNB_YJD","YJD","KNB",5,31,"top","YJD-0386","YJD-0007","YJD-0373","YJD-0080","YJD-0174","YJD-0345","YJD-0366","YJD-0327","YJD-0340","KNB-2032","KNB-1703",NA,NA
"y2_d035_KNB_YJD","YJD","KNB",6,32,"top","YJD-0386","YJD-0007","YJD-0373","YJD-0080","YJD-0174","YJD-0345","YJD-0366","YJD-0327","YJD-0340","KNB-2309","KNB-2032",NA,NA
"y2_d035_KNB_YJD","YJD","KNB",6,33,"top","YJD-0386","YJD-0007","YJD-0373","YJD-0080","YJD-0174","YJD-0345","YJD-0366","YJD-0327","YJD-0340","KNB-2309","KNB-2032",NA,NA
"y2_d035_KNB_YJD","YJD","KNB",6,34,"top","YJD-0386","YJD-0007","YJD-0373","YJD-0080","YJD-0174","YJD-0345","YJD-0366","YJD-0327","YJD-0340","KNB-2309","KNB-2032",NA,NA
"y2_d035_KNB_YJD","YJD","KNB",7,35,"bottom","KNB-2038","KNB-1155","KNB-1703","KNB-1075","KNB-2032","KNB-1404","KNB-2309","KNB-1389","KNB-1182","YJD-0345",NA,NA,NA
"y2_d035_KNB_YJD","YJD","KNB",7,36,"bottom","KNB-2038","KNB-1155","KNB-1703","KNB-1075","KNB-2032","KNB-1404","KNB-2309","KNB-1389","KNB-1182","YJD-0345",NA,NA,NA
"y2_d035_KNB_YJD","YJD","KNB",7,37,"bottom","KNB-2038","KNB-1155","KNB-1703","KNB-1075","KNB-2032","KNB-1404","KNB-2309","KNB-1389","KNB-1182","YJD-0345",NA,NA,NA
"y2_d035_KNB_YJD","YJD","KNB",7,38,"bottom","KNB-2038","KNB-1155","KNB-1703","KNB-1075","KNB-2032","KNB-1404","KNB-2309","KNB-1389","KNB-1182","YJD-0345",NA,NA,NA
