"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y2_d086_LFS_YJD","YJD","LFS",1,1,"top","YJD-0389","YJD-0067","YJD-0153","YJD-0132","YJD-0080","YJD-0312","YJD-0397","YJD-0398","YJD-0345","LFS-1637",NA,NA,NA
"y2_d086_LFS_YJD","YJD","LFS",1,2,"top","YJD-0389","YJD-0067","YJD-0153","YJD-0132","YJD-0080","YJD-0312","YJD-0397","YJD-0398","YJD-0345","LFS-1637",NA,NA,NA
"y2_d086_LFS_YJD","YJD","LFS",1,3,"top","YJD-0389","YJD-0067","YJD-0153","YJD-0132","YJD-0080","YJD-0312","YJD-0397","YJD-0398","YJD-0345","LFS-1637",NA,NA,NA
"y2_d086_LFS_YJD","YJD","LFS",2,4,"top","YJD-0389","YJD-0067","YJD-0153","YJD-0132","YJD-0080","YJD-0312","YJD-0397","YJD-0398","YJD-0345","LFS-1251",NA,NA,NA
"y2_d086_LFS_YJD","YJD","LFS",2,5,"top","YJD-0389","YJD-0067","YJD-0153","YJD-0132","YJD-0080","YJD-0312","YJD-0397","YJD-0398","YJD-0345","LFS-1251",NA,NA,NA
"y2_d086_LFS_YJD","YJD","LFS",2,6,"top","YJD-0389","YJD-0067","YJD-0153","YJD-0132","YJD-0080","YJD-0312","YJD-0397","YJD-0398","YJD-0345","LFS-1251",NA,NA,NA
"y2_d086_LFS_YJD","YJD","LFS",2,7,"top","YJD-0389","YJD-0067","YJD-0153","YJD-0132","YJD-0080","YJD-0312","YJD-0397","YJD-0398","YJD-0345","LFS-1251",NA,NA,NA
"y2_d086_LFS_YJD","YJD","LFS",2,8,"top","YJD-0389","YJD-0067","YJD-0153","YJD-0132","YJD-0080","YJD-0312","YJD-0397","YJD-0398","YJD-0345","LFS-1251",NA,NA,NA
"y2_d086_LFS_YJD","YJD","LFS",2,9,"top","YJD-0389","YJD-0067","YJD-0153","YJD-0132","YJD-0080","YJD-0312","YJD-0397","YJD-0398","YJD-0345","LFS-1251",NA,NA,NA
"y2_d086_LFS_YJD","YJD","LFS",3,10,"top","YJD-0389","YJD-0067","YJD-0153","YJD-0132","YJD-0080","YJD-0312","YJD-0397","YJD-0398","YJD-0345","LFS-2216",NA,NA,NA
