"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y1_d097_MRJ_YJD","YJD","MRJ",1,1,"top","YJD-0147","YJD-0020","YJD-0166","YJD-0345","YJD-0284","YJD-0172","YJD-0193","YJD-0210","YJD-0340","MRJ-1450",NA,NA,NA
"y1_d097_MRJ_YJD","YJD","MRJ",1,2,"top","YJD-0147","YJD-0020","YJD-0166","YJD-0345","YJD-0284","YJD-0172","YJD-0193","YJD-0210","YJD-0340","MRJ-1450",NA,NA,NA
"y1_d097_MRJ_YJD","YJD","MRJ",1,3,"top","YJD-0147","YJD-0020","YJD-0166","YJD-0345","YJD-0284","YJD-0172","YJD-0193","YJD-0210","YJD-0340","MRJ-1450",NA,NA,NA
"y1_d097_MRJ_YJD","YJD","MRJ",1,4,"top","YJD-0147","YJD-0020","YJD-0166","YJD-0345","YJD-0284","YJD-0172","YJD-0193","YJD-0210","YJD-0340","MRJ-1450",NA,NA,NA
"y1_d097_MRJ_YJD","YJD","MRJ",1,5,"top","YJD-0147","YJD-0020","YJD-0166","YJD-0345","YJD-0284","YJD-0172","YJD-0193","YJD-0210","YJD-0340","MRJ-1450",NA,NA,NA
"y1_d097_MRJ_YJD","YJD","MRJ",2,6,"top","YJD-0147","YJD-0020","YJD-0166","YJD-0345","YJD-0284","YJD-0172","YJD-0193","YJD-0210","YJD-0340","MRJ-1691",NA,NA,NA
"y1_d097_MRJ_YJD","YJD","MRJ",2,7,"top","YJD-0147","YJD-0020","YJD-0166","YJD-0345","YJD-0284","YJD-0172","YJD-0193","YJD-0210","YJD-0340","MRJ-1691",NA,NA,NA
"y1_d097_MRJ_YJD","YJD","MRJ",2,8,"top","YJD-0147","YJD-0020","YJD-0166","YJD-0345","YJD-0284","YJD-0172","YJD-0193","YJD-0210","YJD-0340","MRJ-1691",NA,NA,NA
"y1_d097_MRJ_YJD","YJD","MRJ",3,9,"top","YJD-0147","YJD-0020","YJD-0166","YJD-0345","YJD-0284","YJD-0172","YJD-0193","YJD-0210","YJD-0340","MRJ-1806",NA,NA,NA
"y1_d097_MRJ_YJD","YJD","MRJ",3,10,"top","YJD-0147","YJD-0020","YJD-0166","YJD-0345","YJD-0284","YJD-0172","YJD-0193","YJD-0210","YJD-0340","MRJ-1806",NA,NA,NA
"y1_d097_MRJ_YJD","YJD","MRJ",3,11,"top","YJD-0147","YJD-0020","YJD-0166","YJD-0345","YJD-0284","YJD-0172","YJD-0193","YJD-0210","YJD-0340","MRJ-1806",NA,NA,NA
"y1_d097_MRJ_YJD","YJD","MRJ",4,12,"bottom","MRJ-1922","MRJ-1160","MRJ-2584","MRJ-1691","MRJ-1499","MRJ-2255","MRJ-1450","MRJ-1973","MRJ-1806","YJD-0345",NA,NA,NA
"y1_d097_MRJ_YJD","YJD","MRJ",4,13,"bottom","MRJ-1922","MRJ-1160","MRJ-2584","MRJ-1691","MRJ-1499","MRJ-2255","MRJ-1450","MRJ-1973","MRJ-1806","YJD-0345",NA,NA,NA
"y1_d097_MRJ_YJD","YJD","MRJ",4,14,"bottom","MRJ-1922","MRJ-1160","MRJ-2584","MRJ-1691","MRJ-1499","MRJ-2255","MRJ-1450","MRJ-1973","MRJ-1806","YJD-0345",NA,NA,NA
"y1_d097_MRJ_YJD","YJD","MRJ",5,15,"bottom","MRJ-1922","MRJ-1160","MRJ-2584","MRJ-1691","MRJ-1499","MRJ-2255","MRJ-1450","MRJ-1973","MRJ-1806","YJD-0210",NA,NA,NA
"y1_d097_MRJ_YJD","YJD","MRJ",5,16,"bottom","MRJ-1922","MRJ-1160","MRJ-2584","MRJ-1691","MRJ-1499","MRJ-2255","MRJ-1450","MRJ-1973","MRJ-1806","YJD-0210",NA,NA,NA
"y1_d097_MRJ_YJD","YJD","MRJ",5,17,"bottom","MRJ-1922","MRJ-1160","MRJ-2584","MRJ-1691","MRJ-1499","MRJ-2255","MRJ-1450","MRJ-1973","MRJ-1806","YJD-0210",NA,NA,NA
"y1_d097_MRJ_YJD","YJD","MRJ",5,18,"bottom","MRJ-1922","MRJ-1160","MRJ-2584","MRJ-1691","MRJ-1499","MRJ-2255","MRJ-1450","MRJ-1973","MRJ-1806","YJD-0210",NA,NA,NA
"y1_d097_MRJ_YJD","YJD","MRJ",6,19,"bottom","MRJ-1922","MRJ-1160","MRJ-2584","MRJ-1691","MRJ-1499","MRJ-2255","MRJ-1450","MRJ-1973","MRJ-1806","YJD-0284",NA,NA,NA
"y1_d097_MRJ_YJD","YJD","MRJ",6,20,"bottom","MRJ-1922","MRJ-1160","MRJ-2584","MRJ-1691","MRJ-1499","MRJ-2255","MRJ-1450","MRJ-1973","MRJ-1806","YJD-0284",NA,NA,NA
"y1_d097_MRJ_YJD","YJD","MRJ",6,21,"bottom","MRJ-1922","MRJ-1160","MRJ-2584","MRJ-1691","MRJ-1499","MRJ-2255","MRJ-1450","MRJ-1973","MRJ-1806","YJD-0284",NA,NA,NA
"y1_d097_MRJ_YJD","YJD","MRJ",7,22,"bottom","MRJ-1922","MRJ-1160","MRJ-2584","MRJ-1691","MRJ-1499","MRJ-2255","MRJ-1450","MRJ-1973","MRJ-1806","YJD-0223",NA,NA,NA
"y1_d097_MRJ_YJD","YJD","MRJ",7,23,"bottom","MRJ-1922","MRJ-1160","MRJ-2584","MRJ-1691","MRJ-1499","MRJ-2255","MRJ-1450","MRJ-1973","MRJ-1806","YJD-0223",NA,NA,NA
"y1_d097_MRJ_YJD","YJD","MRJ",7,24,"bottom","MRJ-1922","MRJ-1160","MRJ-2584","MRJ-1691","MRJ-1499","MRJ-2255","MRJ-1450","MRJ-1973","MRJ-1806","YJD-0223",NA,NA,NA
"y1_d097_MRJ_YJD","YJD","MRJ",8,25,"top","YJD-0147","YJD-0020","YJD-0166","YJD-0345","YJD-0284","YJD-0172","YJD-0193","YJD-0210","YJD-0340","MRJ-2584",NA,NA,NA
"y1_d097_MRJ_YJD","YJD","MRJ",8,26,"top","YJD-0147","YJD-0020","YJD-0166","YJD-0345","YJD-0284","YJD-0172","YJD-0193","YJD-0210","YJD-0340","MRJ-2584",NA,NA,NA
"y1_d097_MRJ_YJD","YJD","MRJ",9,27,"top","YJD-0147","YJD-0020","YJD-0166","YJD-0345","YJD-0284","YJD-0172","YJD-0193","YJD-0210","YJD-0340","MRJ-1291",NA,NA,NA
"y1_d097_MRJ_YJD","YJD","MRJ",9,28,"top","YJD-0147","YJD-0020","YJD-0166","YJD-0345","YJD-0284","YJD-0172","YJD-0193","YJD-0210","YJD-0340","MRJ-1291",NA,NA,NA
"y1_d097_MRJ_YJD","YJD","MRJ",9,29,"top","YJD-0147","YJD-0020","YJD-0166","YJD-0345","YJD-0284","YJD-0172","YJD-0193","YJD-0210","YJD-0340","MRJ-1291",NA,NA,NA
"y1_d097_MRJ_YJD","YJD","MRJ",10,30,"top","YJD-0147","YJD-0020","YJD-0166","YJD-0345","YJD-0284","YJD-0172","YJD-0193","YJD-0210","YJD-0340","MRJ-1499",NA,NA,NA
"y1_d097_MRJ_YJD","YJD","MRJ",10,31,"top","YJD-0147","YJD-0020","YJD-0166","YJD-0345","YJD-0284","YJD-0172","YJD-0193","YJD-0210","YJD-0340","MRJ-1499",NA,NA,NA
"y1_d097_MRJ_YJD","YJD","MRJ",10,32,"top","YJD-0147","YJD-0020","YJD-0166","YJD-0345","YJD-0284","YJD-0172","YJD-0193","YJD-0210","YJD-0340","MRJ-1499",NA,NA,NA
"y1_d097_MRJ_YJD","YJD","MRJ",10,33,"top","YJD-0147","YJD-0020","YJD-0166","YJD-0345","YJD-0284","YJD-0172","YJD-0193","YJD-0210","YJD-0340","MRJ-1499",NA,NA,NA
"y1_d097_MRJ_YJD","YJD","MRJ",11,34,"top","YJD-0147","YJD-0020","YJD-0166","YJD-0345","YJD-0284","YJD-0172","YJD-0193","YJD-0210","YJD-0340","MRJ-1160","MRJ-1499",NA,NA
"y1_d097_MRJ_YJD","YJD","MRJ",11,35,"top","YJD-0147","YJD-0020","YJD-0166","YJD-0345","YJD-0284","YJD-0172","YJD-0193","YJD-0210","YJD-0340","MRJ-1160","MRJ-1499",NA,NA
"y1_d097_MRJ_YJD","YJD","MRJ",12,36,"bottom","MRJ-1922","MRJ-1160","MRJ-2584","MRJ-1691","MRJ-1499","MRJ-2255","MRJ-1450","MRJ-1973","MRJ-1806","YJD-0166",NA,NA,NA
"y1_d097_MRJ_YJD","YJD","MRJ",12,37,"bottom","MRJ-1922","MRJ-1160","MRJ-2584","MRJ-1691","MRJ-1499","MRJ-2255","MRJ-1450","MRJ-1973","MRJ-1806","YJD-0166",NA,NA,NA
"y1_d097_MRJ_YJD","YJD","MRJ",12,38,"bottom","MRJ-1922","MRJ-1160","MRJ-2584","MRJ-1691","MRJ-1499","MRJ-2255","MRJ-1450","MRJ-1973","MRJ-1806","YJD-0166",NA,NA,NA
"y1_d097_MRJ_YJD","YJD","MRJ",12,39,"bottom","MRJ-1922","MRJ-1160","MRJ-2584","MRJ-1691","MRJ-1499","MRJ-2255","MRJ-1450","MRJ-1973","MRJ-1806","YJD-0166",NA,NA,NA
"y1_d097_MRJ_YJD","YJD","MRJ",13,40,"bottom","MRJ-1922","MRJ-1160","MRJ-2584","MRJ-1691","MRJ-1499","MRJ-2255","MRJ-1450","MRJ-1973","MRJ-1806","YJD-0340",NA,NA,NA
"y1_d097_MRJ_YJD","YJD","MRJ",13,41,"bottom","MRJ-1922","MRJ-1160","MRJ-2584","MRJ-1691","MRJ-1499","MRJ-2255","MRJ-1450","MRJ-1973","MRJ-1806","YJD-0340",NA,NA,NA
"y1_d097_MRJ_YJD","YJD","MRJ",14,42,"bottom","MRJ-1922","MRJ-1160","MRJ-2584","MRJ-1691","MRJ-1499","MRJ-2255","MRJ-1450","MRJ-1973","MRJ-1806","YJD-0193",NA,NA,NA
"y1_d097_MRJ_YJD","YJD","MRJ",14,43,"bottom","MRJ-1922","MRJ-1160","MRJ-2584","MRJ-1691","MRJ-1499","MRJ-2255","MRJ-1450","MRJ-1973","MRJ-1806","YJD-0193",NA,NA,NA
"y1_d097_MRJ_YJD","YJD","MRJ",15,44,"bottom","MRJ-1922","MRJ-1160","MRJ-2584","MRJ-1691","MRJ-1499","MRJ-2255","MRJ-1450","MRJ-1973","MRJ-1806","YJD-0172",NA,NA,NA
"y1_d097_MRJ_YJD","YJD","MRJ",15,45,"bottom","MRJ-1922","MRJ-1160","MRJ-2584","MRJ-1691","MRJ-1499","MRJ-2255","MRJ-1450","MRJ-1973","MRJ-1806","YJD-0172",NA,NA,NA
"y1_d097_MRJ_YJD","YJD","MRJ",15,46,"bottom","MRJ-1922","MRJ-1160","MRJ-2584","MRJ-1691","MRJ-1499","MRJ-2255","MRJ-1450","MRJ-1973","MRJ-1806","YJD-0172",NA,NA,NA
"y1_d097_MRJ_YJD","YJD","MRJ",15,47,"bottom","MRJ-1922","MRJ-1160","MRJ-2584","MRJ-1691","MRJ-1499","MRJ-2255","MRJ-1450","MRJ-1973","MRJ-1806","YJD-0172",NA,NA,NA
"y1_d097_MRJ_YJD","YJD","MRJ",15,48,"bottom","MRJ-1922","MRJ-1160","MRJ-2584","MRJ-1691","MRJ-1499","MRJ-2255","MRJ-1450","MRJ-1973","MRJ-1806","YJD-0172",NA,NA,NA
"y1_d097_MRJ_YJD","YJD","MRJ",16,49,"top","YJD-0147","YJD-0020","YJD-0166","YJD-0345","YJD-0284","YJD-0172","YJD-0193","YJD-0210","YJD-0340","MRJ-1973",NA,NA,NA
"y1_d097_MRJ_YJD","YJD","MRJ",16,50,"top","YJD-0147","YJD-0020","YJD-0166","YJD-0345","YJD-0284","YJD-0172","YJD-0193","YJD-0210","YJD-0340","MRJ-1973",NA,NA,NA
"y1_d097_MRJ_YJD","YJD","MRJ",16,51,"top","YJD-0147","YJD-0020","YJD-0166","YJD-0345","YJD-0284","YJD-0172","YJD-0193","YJD-0210","YJD-0340","MRJ-1973",NA,NA,NA
"y1_d097_MRJ_YJD","YJD","MRJ",16,52,"top","YJD-0147","YJD-0020","YJD-0166","YJD-0345","YJD-0284","YJD-0172","YJD-0193","YJD-0210","YJD-0340","MRJ-1973",NA,NA,NA
"y1_d097_MRJ_YJD","YJD","MRJ",17,53,"top","YJD-0147","YJD-0020","YJD-0166","YJD-0345","YJD-0284","YJD-0172","YJD-0193","YJD-0210","YJD-0340","MRJ-2255",NA,NA,NA
"y1_d097_MRJ_YJD","YJD","MRJ",17,54,"top","YJD-0147","YJD-0020","YJD-0166","YJD-0345","YJD-0284","YJD-0172","YJD-0193","YJD-0210","YJD-0340","MRJ-2255",NA,NA,NA
"y1_d097_MRJ_YJD","YJD","MRJ",18,55,"top","YJD-0147","YJD-0020","YJD-0166","YJD-0345","YJD-0284","YJD-0172","YJD-0193","YJD-0210","YJD-0340","MRJ-1450",NA,NA,NA
"y1_d097_MRJ_YJD","YJD","MRJ",18,56,"top","YJD-0147","YJD-0020","YJD-0166","YJD-0345","YJD-0284","YJD-0172","YJD-0193","YJD-0210","YJD-0340","MRJ-1450",NA,NA,NA
"y1_d097_MRJ_YJD","YJD","MRJ",18,57,"top","YJD-0147","YJD-0020","YJD-0166","YJD-0345","YJD-0284","YJD-0172","YJD-0193","YJD-0210","YJD-0340","MRJ-1450",NA,NA,NA
"y1_d097_MRJ_YJD","YJD","MRJ",19,58,"bottom","MRJ-1922","MRJ-1160","MRJ-2584","MRJ-1691","MRJ-1499","MRJ-2255","MRJ-1450","MRJ-1973","MRJ-1806","YJD-0020",NA,NA,NA
"y1_d097_MRJ_YJD","YJD","MRJ",20,59,"bottom","MRJ-1922","MRJ-1160","MRJ-2584","MRJ-1691","MRJ-1499","MRJ-2255","MRJ-1450","MRJ-1973","MRJ-1806","YJD-0345",NA,"YJD-0020",NA
"y1_d097_MRJ_YJD","YJD","MRJ",21,60,"bottom","MRJ-1922","MRJ-1160","MRJ-2584","MRJ-1691","MRJ-1499","MRJ-2255","MRJ-1450","MRJ-1973","MRJ-1806","YJD-0210",NA,NA,"YJD-0020"
"y1_d097_MRJ_YJD","YJD","MRJ",21,61,"bottom","MRJ-1922","MRJ-1160","MRJ-2584","MRJ-1691","MRJ-1499","MRJ-2255","MRJ-1450","MRJ-1973","MRJ-1806","YJD-0210",NA,NA,"YJD-0020"
"y1_d097_MRJ_YJD","YJD","MRJ",21,62,"bottom","MRJ-1922","MRJ-1160","MRJ-2584","MRJ-1691","MRJ-1499","MRJ-2255","MRJ-1450","MRJ-1973","MRJ-1806","YJD-0210",NA,NA,"YJD-0020"
"y1_d097_MRJ_YJD","YJD","MRJ",21,63,"bottom","MRJ-1922","MRJ-1160","MRJ-2584","MRJ-1691","MRJ-1499","MRJ-2255","MRJ-1450","MRJ-1973","MRJ-1806","YJD-0210",NA,NA,"YJD-0020"
"y1_d097_MRJ_YJD","YJD","MRJ",NA,64,"bottom","MRJ-1922","MRJ-1160","MRJ-2584","MRJ-1691","MRJ-1499","MRJ-2255","MRJ-1450","MRJ-1973","MRJ-1806","YJD-0284","YJD-0210",NA,NA
"y1_d097_MRJ_YJD","YJD","MRJ",NA,65,"bottom","MRJ-1922","MRJ-1160","MRJ-2584","MRJ-1691","MRJ-1499","MRJ-2255","MRJ-1450","MRJ-1973","MRJ-1806","YJD-0284","YJD-0210",NA,NA
"y1_d097_MRJ_YJD","YJD","MRJ",NA,66,"bottom","MRJ-1922","MRJ-1160","MRJ-2584","MRJ-1691","MRJ-1499","MRJ-2255","MRJ-1450","MRJ-1973","MRJ-1806","YJD-0284","YJD-0210",NA,NA
