"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y2_d091_NYA_YJD","YJD","NYA",1,1,"top","YJD-0376","YJD-0220","YJD-0366","YJD-0312","YJD-0132","YJD-0345","YJD-0397","YJD-0011","YJD-0398","NYA-2485",NA,NA,NA
"y2_d091_NYA_YJD","YJD","NYA",1,2,"top","YJD-0376","YJD-0220","YJD-0366","YJD-0312","YJD-0132","YJD-0345","YJD-0397","YJD-0011","YJD-0398","NYA-2485",NA,NA,NA
"y2_d091_NYA_YJD","YJD","NYA",1,3,"top","YJD-0376","YJD-0220","YJD-0366","YJD-0312","YJD-0132","YJD-0345","YJD-0397","YJD-0011","YJD-0398","NYA-2485",NA,NA,NA
"y2_d091_NYA_YJD","YJD","NYA",2,4,"top","YJD-0376","YJD-0220","YJD-0366","YJD-0312","YJD-0132","YJD-0345","YJD-0397","YJD-0011","YJD-0398","NYA-2033",NA,NA,NA
"y2_d091_NYA_YJD","YJD","NYA",2,5,"top","YJD-0376","YJD-0220","YJD-0366","YJD-0312","YJD-0132","YJD-0345","YJD-0397","YJD-0011","YJD-0398","NYA-2033",NA,NA,NA
"y2_d091_NYA_YJD","YJD","NYA",2,6,"top","YJD-0376","YJD-0220","YJD-0366","YJD-0312","YJD-0132","YJD-0345","YJD-0397","YJD-0011","YJD-0398","NYA-2033",NA,NA,NA
"y2_d091_NYA_YJD","YJD","NYA",2,7,"top","YJD-0376","YJD-0220","YJD-0366","YJD-0312","YJD-0132","YJD-0345","YJD-0397","YJD-0011","YJD-0398","NYA-2033",NA,NA,NA
"y2_d091_NYA_YJD","YJD","NYA",3,8,"top","YJD-0376","YJD-0220","YJD-0366","YJD-0312","YJD-0132","YJD-0345","YJD-0397","YJD-0011","YJD-0398","NYA-1705",NA,NA,NA
"y2_d091_NYA_YJD","YJD","NYA",3,9,"top","YJD-0376","YJD-0220","YJD-0366","YJD-0312","YJD-0132","YJD-0345","YJD-0397","YJD-0011","YJD-0398","NYA-1705",NA,NA,NA
"y2_d091_NYA_YJD","YJD","NYA",3,10,"top","YJD-0376","YJD-0220","YJD-0366","YJD-0312","YJD-0132","YJD-0345","YJD-0397","YJD-0011","YJD-0398","NYA-1705",NA,NA,NA
"y2_d091_NYA_YJD","YJD","NYA",3,11,"top","YJD-0376","YJD-0220","YJD-0366","YJD-0312","YJD-0132","YJD-0345","YJD-0397","YJD-0011","YJD-0398","NYA-1705",NA,NA,NA
"y2_d091_NYA_YJD","YJD","NYA",3,12,"top","YJD-0376","YJD-0220","YJD-0366","YJD-0312","YJD-0132","YJD-0345","YJD-0397","YJD-0011","YJD-0398","NYA-1705",NA,NA,NA
"y2_d091_NYA_YJD","YJD","NYA",4,13,"bottom","NYA-2371","NYA-1157","NYA-1083","NYA-1237","NYA-2033","NYA-1406","NYA-2311","NYA-2485","NYA-1183","YJD-0345",NA,NA,NA
"y2_d091_NYA_YJD","YJD","NYA",4,14,"bottom","NYA-2371","NYA-1157","NYA-1083","NYA-1237","NYA-2033","NYA-1406","NYA-2311","NYA-2485","NYA-1183","YJD-0345",NA,NA,NA
"y2_d091_NYA_YJD","YJD","NYA",4,15,"bottom","NYA-2371","NYA-1157","NYA-1083","NYA-1237","NYA-2033","NYA-1406","NYA-2311","NYA-2485","NYA-1183","YJD-0345",NA,NA,NA
"y2_d091_NYA_YJD","YJD","NYA",4,16,"bottom","NYA-2371","NYA-1157","NYA-1083","NYA-1237","NYA-2033","NYA-1406","NYA-2311","NYA-2485","NYA-1183","YJD-0345",NA,NA,NA
"y2_d091_NYA_YJD","YJD","NYA",4,17,"bottom","NYA-2371","NYA-1157","NYA-1083","NYA-1237","NYA-2033","NYA-1406","NYA-2311","NYA-2485","NYA-1183","YJD-0345",NA,NA,NA
"y2_d091_NYA_YJD","YJD","NYA",4,18,"bottom","NYA-2371","NYA-1157","NYA-1083","NYA-1237","NYA-2033","NYA-1406","NYA-2311","NYA-2485","NYA-1183","YJD-0345",NA,NA,NA
"y2_d091_NYA_YJD","YJD","NYA",5,19,"bottom","NYA-2371","NYA-1157","NYA-1083","NYA-1237","NYA-2033","NYA-1406","NYA-2311","NYA-2485","NYA-1183","YJD-0220","YJD-0345",NA,NA
"y2_d091_NYA_YJD","YJD","NYA",5,20,"bottom","NYA-2371","NYA-1157","NYA-1083","NYA-1237","NYA-2033","NYA-1406","NYA-2311","NYA-2485","NYA-1183","YJD-0220","YJD-0345",NA,NA
"y2_d091_NYA_YJD","YJD","NYA",6,21,"bottom","NYA-2371","NYA-1157","NYA-1083","NYA-1237","NYA-2033","NYA-1406","NYA-2311","NYA-2485","NYA-1183","YJD-0132",NA,NA,NA
"y2_d091_NYA_YJD","YJD","NYA",6,22,"bottom","NYA-2371","NYA-1157","NYA-1083","NYA-1237","NYA-2033","NYA-1406","NYA-2311","NYA-2485","NYA-1183","YJD-0132",NA,NA,NA
"y2_d091_NYA_YJD","YJD","NYA",6,23,"bottom","NYA-2371","NYA-1157","NYA-1083","NYA-1237","NYA-2033","NYA-1406","NYA-2311","NYA-2485","NYA-1183","YJD-0132",NA,NA,NA
"y2_d091_NYA_YJD","YJD","NYA",6,24,"bottom","NYA-2371","NYA-1157","NYA-1083","NYA-1237","NYA-2033","NYA-1406","NYA-2311","NYA-2485","NYA-1183","YJD-0132",NA,NA,NA
"y2_d091_NYA_YJD","YJD","NYA",7,25,"top","YJD-0376","YJD-0220","YJD-0366","YJD-0312","YJD-0132","YJD-0345","YJD-0397","YJD-0011","YJD-0398","NYA-2311",NA,NA,NA
"y2_d091_NYA_YJD","YJD","NYA",7,26,"top","YJD-0376","YJD-0220","YJD-0366","YJD-0312","YJD-0132","YJD-0345","YJD-0397","YJD-0011","YJD-0398","NYA-2311",NA,NA,NA
"y2_d091_NYA_YJD","YJD","NYA",7,27,"top","YJD-0376","YJD-0220","YJD-0366","YJD-0312","YJD-0132","YJD-0345","YJD-0397","YJD-0011","YJD-0398","NYA-2311",NA,NA,NA
"y2_d091_NYA_YJD","YJD","NYA",7,28,"top","YJD-0376","YJD-0220","YJD-0366","YJD-0312","YJD-0132","YJD-0345","YJD-0397","YJD-0011","YJD-0398","NYA-2311",NA,NA,NA
"y2_d091_NYA_YJD","YJD","NYA",7,29,"top","YJD-0376","YJD-0220","YJD-0366","YJD-0312","YJD-0132","YJD-0345","YJD-0397","YJD-0011","YJD-0398","NYA-2311",NA,NA,NA
"y2_d091_NYA_YJD","YJD","NYA",7,30,"top","YJD-0376","YJD-0220","YJD-0366","YJD-0312","YJD-0132","YJD-0345","YJD-0397","YJD-0011","YJD-0398","NYA-2311",NA,NA,NA
"y2_d091_NYA_YJD","YJD","NYA",8,31,"top","YJD-0376","YJD-0220","YJD-0366","YJD-0312","YJD-0132","YJD-0345","YJD-0397","YJD-0011","YJD-0398","NYA-1183",NA,NA,NA
"y2_d091_NYA_YJD","YJD","NYA",8,32,"top","YJD-0376","YJD-0220","YJD-0366","YJD-0312","YJD-0132","YJD-0345","YJD-0397","YJD-0011","YJD-0398","NYA-1183",NA,NA,NA
"y2_d091_NYA_YJD","YJD","NYA",9,33,"top","YJD-0376","YJD-0220","YJD-0366","YJD-0312","YJD-0132","YJD-0345","YJD-0397","YJD-0011","YJD-0398","NYA-1237",NA,NA,NA
"y2_d091_NYA_YJD","YJD","NYA",9,34,"top","YJD-0376","YJD-0220","YJD-0366","YJD-0312","YJD-0132","YJD-0345","YJD-0397","YJD-0011","YJD-0398","NYA-1237",NA,NA,NA
"y2_d091_NYA_YJD","YJD","NYA",9,35,"top","YJD-0376","YJD-0220","YJD-0366","YJD-0312","YJD-0132","YJD-0345","YJD-0397","YJD-0011","YJD-0398","NYA-1237",NA,NA,NA
"y2_d091_NYA_YJD","YJD","NYA",10,36,"bottom","NYA-2371","NYA-1157","NYA-1083","NYA-1237","NYA-2033","NYA-1406","NYA-2311","NYA-2485","NYA-1183","YJD-0373",NA,NA,NA
"y2_d091_NYA_YJD","YJD","NYA",10,37,"bottom","NYA-2371","NYA-1157","NYA-1083","NYA-1237","NYA-2033","NYA-1406","NYA-2311","NYA-2485","NYA-1183","YJD-0373",NA,NA,NA
"y2_d091_NYA_YJD","YJD","NYA",10,38,"bottom","NYA-2371","NYA-1157","NYA-1083","NYA-1237","NYA-2033","NYA-1406","NYA-2311","NYA-2485","NYA-1183","YJD-0373",NA,NA,NA
"y2_d091_NYA_YJD","YJD","NYA",10,39,"bottom","NYA-2371","NYA-1157","NYA-1083","NYA-1237","NYA-2033","NYA-1406","NYA-2311","NYA-2485","NYA-1183","YJD-0373",NA,NA,NA
"y2_d091_NYA_YJD","YJD","NYA",10,40,"bottom","NYA-2371","NYA-1157","NYA-1083","NYA-1237","NYA-2033","NYA-1406","NYA-2311","NYA-2485","NYA-1183","YJD-0373",NA,NA,NA
"y2_d091_NYA_YJD","YJD","NYA",11,41,"bottom","NYA-2371","NYA-1157","NYA-1083","NYA-1237","NYA-2033","NYA-1406","NYA-2311","NYA-2485","NYA-1183","YJD-0312",NA,NA,NA
"y2_d091_NYA_YJD","YJD","NYA",11,42,"bottom","NYA-2371","NYA-1157","NYA-1083","NYA-1237","NYA-2033","NYA-1406","NYA-2311","NYA-2485","NYA-1183","YJD-0312",NA,NA,NA
"y2_d091_NYA_YJD","YJD","NYA",11,43,"bottom","NYA-2371","NYA-1157","NYA-1083","NYA-1237","NYA-2033","NYA-1406","NYA-2311","NYA-2485","NYA-1183","YJD-0312",NA,NA,NA
"y2_d091_NYA_YJD","YJD","NYA",12,44,"bottom","NYA-2371","NYA-1157","NYA-1083","NYA-1237","NYA-2033","NYA-1406","NYA-2311","NYA-2485","NYA-1183","YJD-0366","YJD-0312",NA,NA
