"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y2_d058_POW_YJD","YJD","POW",1,1,"top","YJD-0420","YJD-0007","YJD-0366","YJD-0345","YJD-0304","YJD-0080","YJD-0397","YJD-0327","YJD-0340","POW-2012",NA,NA,NA
"y2_d058_POW_YJD","YJD","POW",1,2,"top","YJD-0420","YJD-0007","YJD-0366","YJD-0345","YJD-0304","YJD-0080","YJD-0397","YJD-0327","YJD-0340","POW-2012",NA,NA,NA
"y2_d058_POW_YJD","YJD","POW",2,3,"top","YJD-0420","YJD-0007","YJD-0366","YJD-0345","YJD-0304","YJD-0080","YJD-0397","YJD-0327","YJD-0340","POW-2533",NA,NA,NA
"y2_d058_POW_YJD","YJD","POW",2,4,"top","YJD-0420","YJD-0007","YJD-0366","YJD-0345","YJD-0304","YJD-0080","YJD-0397","YJD-0327","YJD-0340","POW-2533",NA,NA,NA
"y2_d058_POW_YJD","YJD","POW",2,5,"top","YJD-0420","YJD-0007","YJD-0366","YJD-0345","YJD-0304","YJD-0080","YJD-0397","YJD-0327","YJD-0340","POW-2533",NA,NA,NA
"y2_d058_POW_YJD","YJD","POW",3,6,"top","YJD-0420","YJD-0007","YJD-0366","YJD-0345","YJD-0304","YJD-0080","YJD-0397","YJD-0327","YJD-0340","POW-2095","POW-2533",NA,NA
"y2_d058_POW_YJD","YJD","POW",3,7,"top","YJD-0420","YJD-0007","YJD-0366","YJD-0345","YJD-0304","YJD-0080","YJD-0397","YJD-0327","YJD-0340","POW-2095","POW-2533",NA,NA
"y2_d058_POW_YJD","YJD","POW",3,8,"top","YJD-0420","YJD-0007","YJD-0366","YJD-0345","YJD-0304","YJD-0080","YJD-0397","YJD-0327","YJD-0340","POW-2095","POW-2533",NA,NA
"y2_d058_POW_YJD","YJD","POW",3,9,"top","YJD-0420","YJD-0007","YJD-0366","YJD-0345","YJD-0304","YJD-0080","YJD-0397","YJD-0327","YJD-0340","POW-2095","POW-2533",NA,NA
"y2_d058_POW_YJD","YJD","POW",3,10,"top","YJD-0420","YJD-0007","YJD-0366","YJD-0345","YJD-0304","YJD-0080","YJD-0397","YJD-0327","YJD-0340","POW-2095","POW-2533",NA,NA
"y2_d058_POW_YJD","YJD","POW",4,11,"top","YJD-0420","YJD-0007","YJD-0366","YJD-0345","YJD-0304","YJD-0080","YJD-0397","YJD-0327","YJD-0340","POW-1039","POW-2533",NA,NA
"y2_d058_POW_YJD","YJD","POW",4,12,"top","YJD-0420","YJD-0007","YJD-0366","YJD-0345","YJD-0304","YJD-0080","YJD-0397","YJD-0327","YJD-0340","POW-1039","POW-2533",NA,NA
"y2_d058_POW_YJD","YJD","POW",4,13,"top","YJD-0420","YJD-0007","YJD-0366","YJD-0345","YJD-0304","YJD-0080","YJD-0397","YJD-0327","YJD-0340","POW-1039","POW-2533",NA,NA
"y2_d058_POW_YJD","YJD","POW",4,14,"top","YJD-0420","YJD-0007","YJD-0366","YJD-0345","YJD-0304","YJD-0080","YJD-0397","YJD-0327","YJD-0340","POW-1039","POW-2533",NA,NA
"y2_d058_POW_YJD","YJD","POW",4,15,"top","YJD-0420","YJD-0007","YJD-0366","YJD-0345","YJD-0304","YJD-0080","YJD-0397","YJD-0327","YJD-0340","POW-1039","POW-2533",NA,NA
"y2_d058_POW_YJD","YJD","POW",5,16,"top","YJD-0420","YJD-0007","YJD-0366","YJD-0345","YJD-0304","YJD-0080","YJD-0397","YJD-0327","YJD-0340","POW-1711","POW-1039","POW-2533",NA
"y2_d058_POW_YJD","YJD","POW",5,17,"top","YJD-0420","YJD-0007","YJD-0366","YJD-0345","YJD-0304","YJD-0080","YJD-0397","YJD-0327","YJD-0340","POW-1711","POW-1039","POW-2533",NA
"y2_d058_POW_YJD","YJD","POW",5,18,"top","YJD-0420","YJD-0007","YJD-0366","YJD-0345","YJD-0304","YJD-0080","YJD-0397","YJD-0327","YJD-0340","POW-1711","POW-1039","POW-2533",NA
"y2_d058_POW_YJD","YJD","POW",6,19,"bottom","POW-2503","POW-1650","POW-2095","POW-1917","POW-1711","POW-2266","POW-2012","POW-2533","POW-1527","YJD-0345",NA,NA,NA
"y2_d058_POW_YJD","YJD","POW",6,20,"bottom","POW-2503","POW-1650","POW-2095","POW-1917","POW-1711","POW-2266","POW-2012","POW-2533","POW-1527","YJD-0345",NA,NA,NA
"y2_d058_POW_YJD","YJD","POW",7,21,"bottom","POW-2503","POW-1650","POW-2095","POW-1917","POW-1711","POW-2266","POW-2012","POW-2533","POW-1527","YJD-0327","YJD-0345",NA,NA
"y2_d058_POW_YJD","YJD","POW",7,22,"bottom","POW-2503","POW-1650","POW-2095","POW-1917","POW-1711","POW-2266","POW-2012","POW-2533","POW-1527","YJD-0327","YJD-0345",NA,NA
"y2_d058_POW_YJD","YJD","POW",7,23,"bottom","POW-2503","POW-1650","POW-2095","POW-1917","POW-1711","POW-2266","POW-2012","POW-2533","POW-1527","YJD-0327","YJD-0345",NA,NA
"y2_d058_POW_YJD","YJD","POW",8,24,"bottom","POW-2503","POW-1650","POW-2095","POW-1917","POW-1711","POW-2266","POW-2012","POW-2533","POW-1527","YJD-0340","YJD-0345",NA,NA
"y2_d058_POW_YJD","YJD","POW",8,25,"bottom","POW-2503","POW-1650","POW-2095","POW-1917","POW-1711","POW-2266","POW-2012","POW-2533","POW-1527","YJD-0340","YJD-0345",NA,NA
"y2_d058_POW_YJD","YJD","POW",8,26,"bottom","POW-2503","POW-1650","POW-2095","POW-1917","POW-1711","POW-2266","POW-2012","POW-2533","POW-1527","YJD-0340","YJD-0345",NA,NA
"y2_d058_POW_YJD","YJD","POW",9,27,"bottom","POW-2503","POW-1650","POW-2095","POW-1917","POW-1711","POW-2266","POW-2012","POW-2533","POW-1527","YJD-0366","YJD-0345",NA,NA
"y2_d058_POW_YJD","YJD","POW",9,28,"bottom","POW-2503","POW-1650","POW-2095","POW-1917","POW-1711","POW-2266","POW-2012","POW-2533","POW-1527","YJD-0366","YJD-0345",NA,NA
"y2_d058_POW_YJD","YJD","POW",9,29,"bottom","POW-2503","POW-1650","POW-2095","POW-1917","POW-1711","POW-2266","POW-2012","POW-2533","POW-1527","YJD-0366","YJD-0345",NA,NA
"y2_d058_POW_YJD","YJD","POW",9,30,"bottom","POW-2503","POW-1650","POW-2095","POW-1917","POW-1711","POW-2266","POW-2012","POW-2533","POW-1527","YJD-0366","YJD-0345",NA,NA
"y2_d058_POW_YJD","YJD","POW",9,31,"bottom","POW-2503","POW-1650","POW-2095","POW-1917","POW-1711","POW-2266","POW-2012","POW-2533","POW-1527","YJD-0366","YJD-0345",NA,NA
"y2_d058_POW_YJD","YJD","POW",9,32,"bottom","POW-2503","POW-1650","POW-2095","POW-1917","POW-1711","POW-2266","POW-2012","POW-2533","POW-1527","YJD-0366","YJD-0345",NA,NA
"y2_d058_POW_YJD","YJD","POW",9,33,"bottom","POW-2503","POW-1650","POW-2095","POW-1917","POW-1711","POW-2266","POW-2012","POW-2533","POW-1527","YJD-0366","YJD-0345",NA,NA
"y2_d058_POW_YJD","YJD","POW",9,34,"bottom","POW-2503","POW-1650","POW-2095","POW-1917","POW-1711","POW-2266","POW-2012","POW-2533","POW-1527","YJD-0366","YJD-0345",NA,NA
"y2_d058_POW_YJD","YJD","POW",10,35,"top","YJD-0420","YJD-0007","YJD-0366","YJD-0345","YJD-0304","YJD-0080","YJD-0397","YJD-0327","YJD-0340","POW-1527",NA,NA,NA
"y2_d058_POW_YJD","YJD","POW",10,36,"top","YJD-0420","YJD-0007","YJD-0366","YJD-0345","YJD-0304","YJD-0080","YJD-0397","YJD-0327","YJD-0340","POW-1527",NA,NA,NA
"y2_d058_POW_YJD","YJD","POW",10,37,"top","YJD-0420","YJD-0007","YJD-0366","YJD-0345","YJD-0304","YJD-0080","YJD-0397","YJD-0327","YJD-0340","POW-1527",NA,NA,NA
"y2_d058_POW_YJD","YJD","POW",10,38,"top","YJD-0420","YJD-0007","YJD-0366","YJD-0345","YJD-0304","YJD-0080","YJD-0397","YJD-0327","YJD-0340","POW-1527",NA,NA,NA
"y2_d058_POW_YJD","YJD","POW",10,39,"top","YJD-0420","YJD-0007","YJD-0366","YJD-0345","YJD-0304","YJD-0080","YJD-0397","YJD-0327","YJD-0340","POW-1527",NA,NA,NA
"y2_d058_POW_YJD","YJD","POW",10,40,"top","YJD-0420","YJD-0007","YJD-0366","YJD-0345","YJD-0304","YJD-0080","YJD-0397","YJD-0327","YJD-0340","POW-1527",NA,NA,NA
"y2_d058_POW_YJD","YJD","POW",10,41,"top","YJD-0420","YJD-0007","YJD-0366","YJD-0345","YJD-0304","YJD-0080","YJD-0397","YJD-0327","YJD-0340","POW-1527",NA,NA,NA
"y2_d058_POW_YJD","YJD","POW",11,42,"top","YJD-0420","YJD-0007","YJD-0366","YJD-0345","YJD-0304","YJD-0080","YJD-0397","YJD-0327","YJD-0340","POW-1650","POW-1527",NA,NA
"y2_d058_POW_YJD","YJD","POW",11,43,"top","YJD-0420","YJD-0007","YJD-0366","YJD-0345","YJD-0304","YJD-0080","YJD-0397","YJD-0327","YJD-0340","POW-1650","POW-1527",NA,NA
"y2_d058_POW_YJD","YJD","POW",11,44,"top","YJD-0420","YJD-0007","YJD-0366","YJD-0345","YJD-0304","YJD-0080","YJD-0397","YJD-0327","YJD-0340","POW-1650","POW-1527",NA,NA
"y2_d058_POW_YJD","YJD","POW",12,45,"top","YJD-0420","YJD-0007","YJD-0366","YJD-0345","YJD-0304","YJD-0080","YJD-0397","YJD-0327","YJD-0340","POW-2266","POW-1527",NA,NA
"y2_d058_POW_YJD","YJD","POW",12,46,"top","YJD-0420","YJD-0007","YJD-0366","YJD-0345","YJD-0304","YJD-0080","YJD-0397","YJD-0327","YJD-0340","POW-2266","POW-1527",NA,NA
"y2_d058_POW_YJD","YJD","POW",12,47,"top","YJD-0420","YJD-0007","YJD-0366","YJD-0345","YJD-0304","YJD-0080","YJD-0397","YJD-0327","YJD-0340","POW-2266","POW-1527",NA,NA
"y2_d058_POW_YJD","YJD","POW",12,48,"top","YJD-0420","YJD-0007","YJD-0366","YJD-0345","YJD-0304","YJD-0080","YJD-0397","YJD-0327","YJD-0340","POW-2266","POW-1527",NA,NA
"y2_d058_POW_YJD","YJD","POW",12,49,"top","YJD-0420","YJD-0007","YJD-0366","YJD-0345","YJD-0304","YJD-0080","YJD-0397","YJD-0327","YJD-0340","POW-2266","POW-1527",NA,NA
"y2_d058_POW_YJD","YJD","POW",12,50,"top","YJD-0420","YJD-0007","YJD-0366","YJD-0345","YJD-0304","YJD-0080","YJD-0397","YJD-0327","YJD-0340","POW-2266","POW-1527",NA,NA
"y2_d058_POW_YJD","YJD","POW",12,51,"top","YJD-0420","YJD-0007","YJD-0366","YJD-0345","YJD-0304","YJD-0080","YJD-0397","YJD-0327","YJD-0340","POW-2266","POW-1527",NA,NA
"y2_d058_POW_YJD","YJD","POW",13,52,"top","YJD-0420","YJD-0007","YJD-0366","YJD-0345","YJD-0304","YJD-0080","YJD-0397","YJD-0327","YJD-0340","POW-1917","POW-1527",NA,NA
"y2_d058_POW_YJD","YJD","POW",14,53,"bottom","POW-2503","POW-1650","POW-2095","POW-1917","POW-1711","POW-2266","POW-2012","POW-2533","POW-1527","YJD-0397",NA,NA,NA
"y2_d058_POW_YJD","YJD","POW",14,54,"bottom","POW-2503","POW-1650","POW-2095","POW-1917","POW-1711","POW-2266","POW-2012","POW-2533","POW-1527","YJD-0397",NA,NA,NA
"y2_d058_POW_YJD","YJD","POW",15,55,"bottom","POW-2503","POW-1650","POW-2095","POW-1917","POW-1711","POW-2266","POW-2012","POW-2533","POW-1527","YJD-0080",NA,"YJD-0397",NA
"y2_d058_POW_YJD","YJD","POW",15,56,"bottom","POW-2503","POW-1650","POW-2095","POW-1917","POW-1711","POW-2266","POW-2012","POW-2533","POW-1527","YJD-0080",NA,"YJD-0397",NA
"y2_d058_POW_YJD","YJD","POW",15,57,"bottom","POW-2503","POW-1650","POW-2095","POW-1917","POW-1711","POW-2266","POW-2012","POW-2533","POW-1527","YJD-0080",NA,"YJD-0397",NA
"y2_d058_POW_YJD","YJD","POW",15,58,"bottom","POW-2503","POW-1650","POW-2095","POW-1917","POW-1711","POW-2266","POW-2012","POW-2533","POW-1527","YJD-0080",NA,"YJD-0397",NA
"y2_d058_POW_YJD","YJD","POW",15,59,"bottom","POW-2503","POW-1650","POW-2095","POW-1917","POW-1711","POW-2266","POW-2012","POW-2533","POW-1527","YJD-0080",NA,"YJD-0397",NA
"y2_d058_POW_YJD","YJD","POW",16,60,"bottom","POW-2503","POW-1650","POW-2095","POW-1917","POW-1711","POW-2266","POW-2012","POW-2533","POW-1527","YJD-0304","YJD-0080","YJD-0397",NA
"y2_d058_POW_YJD","YJD","POW",16,61,"bottom","POW-2503","POW-1650","POW-2095","POW-1917","POW-1711","POW-2266","POW-2012","POW-2533","POW-1527","YJD-0304","YJD-0080","YJD-0397",NA
"y2_d058_POW_YJD","YJD","POW",16,62,"bottom","POW-2503","POW-1650","POW-2095","POW-1917","POW-1711","POW-2266","POW-2012","POW-2533","POW-1527","YJD-0304","YJD-0080","YJD-0397",NA
"y2_d058_POW_YJD","YJD","POW",16,63,"bottom","POW-2503","POW-1650","POW-2095","POW-1917","POW-1711","POW-2266","POW-2012","POW-2533","POW-1527","YJD-0304","YJD-0080","YJD-0397",NA
"y2_d058_POW_YJD","YJD","POW",16,64,"bottom","POW-2503","POW-1650","POW-2095","POW-1917","POW-1711","POW-2266","POW-2012","POW-2533","POW-1527","YJD-0304","YJD-0080","YJD-0397",NA
"y2_d058_POW_YJD","YJD","POW",16,65,"bottom","POW-2503","POW-1650","POW-2095","POW-1917","POW-1711","POW-2266","POW-2012","POW-2533","POW-1527","YJD-0304","YJD-0080","YJD-0397",NA
"y2_d058_POW_YJD","YJD","POW",17,66,"bottom","POW-2503","POW-1650","POW-2095","POW-1917","POW-1711","POW-2266","POW-2012","POW-2533","POW-1527","YJD-0278","YJD-0080","YJD-0397",NA
"y2_d058_POW_YJD","YJD","POW",17,67,"bottom","POW-2503","POW-1650","POW-2095","POW-1917","POW-1711","POW-2266","POW-2012","POW-2533","POW-1527","YJD-0278","YJD-0080","YJD-0397",NA
"y2_d058_POW_YJD","YJD","POW",17,68,"bottom","POW-2503","POW-1650","POW-2095","POW-1917","POW-1711","POW-2266","POW-2012","POW-2533","POW-1527","YJD-0278","YJD-0080","YJD-0397",NA
"y2_d058_POW_YJD","YJD","POW",17,69,"bottom","POW-2503","POW-1650","POW-2095","POW-1917","POW-1711","POW-2266","POW-2012","POW-2533","POW-1527","YJD-0278","YJD-0080","YJD-0397",NA
"y2_d058_POW_YJD","YJD","POW",17,70,"bottom","POW-2503","POW-1650","POW-2095","POW-1917","POW-1711","POW-2266","POW-2012","POW-2533","POW-1527","YJD-0278",NA,"YJD-0080","YJD-0397"
"y2_d058_POW_YJD","YJD","POW",17,71,"bottom","POW-2503","POW-1650","POW-2095","POW-1917","POW-1711","POW-2266","POW-2012","POW-2533","POW-1527","YJD-0278",NA,"YJD-0080","YJD-0397"
"y2_d058_POW_YJD","YJD","POW",18,72,"bottom","POW-2503","POW-1650","POW-2095","POW-1917","POW-1711","POW-2266","POW-2012","POW-2533","POW-1527","YJD-0007",NA,"YJD-0080","YJD-0397"
"y2_d058_POW_YJD","YJD","POW",18,73,"bottom","POW-2503","POW-1650","POW-2095","POW-1917","POW-1711","POW-2266","POW-2012","POW-2533","POW-1527","YJD-0007",NA,"YJD-0080","YJD-0397"
"y2_d058_POW_YJD","YJD","POW",18,74,"bottom","POW-2503","POW-1650","POW-2095","POW-1917","POW-1711","POW-2266","POW-2012","POW-2533","POW-1527","YJD-0007",NA,"YJD-0080","YJD-0397"
"y2_d058_POW_YJD","YJD","POW",19,75,"bottom","POW-2503","POW-1650","POW-2095","POW-1917","POW-1711","POW-2266","POW-2012","POW-2533","POW-1527","YJD-0345","YJD-0007",NA,NA
"y2_d058_POW_YJD","YJD","POW",19,76,"bottom","POW-2503","POW-1650","POW-2095","POW-1917","POW-1711","POW-2266","POW-2012","POW-2533","POW-1527","YJD-0345","YJD-0007",NA,NA
"y2_d058_POW_YJD","YJD","POW",19,77,"bottom","POW-2503","POW-1650","POW-2095","POW-1917","POW-1711","POW-2266","POW-2012","POW-2533","POW-1527","YJD-0345","YJD-0007",NA,NA
"y2_d058_POW_YJD","YJD","POW",19,78,"bottom","POW-2503","POW-1650","POW-2095","POW-1917","POW-1711","POW-2266","POW-2012","POW-2533","POW-1527","YJD-0345","YJD-0007",NA,NA
"y2_d058_POW_YJD","YJD","POW",19,79,"bottom","POW-2503","POW-1650","POW-2095","POW-1917","POW-1711","POW-2266","POW-2012","POW-2533","POW-1527","YJD-0345",NA,"YJD-0007",NA
"y2_d058_POW_YJD","YJD","POW",20,80,"bottom","POW-2503","POW-1650","POW-2095","POW-1917","POW-1711","POW-2266","POW-2012","POW-2533","POW-1527","YJD-0327","YJD-0345","YJD-0007",NA
"y2_d058_POW_YJD","YJD","POW",20,81,"bottom","POW-2503","POW-1650","POW-2095","POW-1917","POW-1711","POW-2266","POW-2012","POW-2533","POW-1527","YJD-0327","YJD-0345","YJD-0007",NA
"y2_d058_POW_YJD","YJD","POW",20,82,"bottom","POW-2503","POW-1650","POW-2095","POW-1917","POW-1711","POW-2266","POW-2012","POW-2533","POW-1527","YJD-0327","YJD-0345","YJD-0007",NA
"y2_d058_POW_YJD","YJD","POW",20,83,"bottom","POW-2503","POW-1650","POW-2095","POW-1917","POW-1711","POW-2266","POW-2012","POW-2533","POW-1527","YJD-0327","YJD-0345","YJD-0007",NA
"y2_d058_POW_YJD","YJD","POW",20,84,"bottom","POW-2503","POW-1650","POW-2095","POW-1917","POW-1711","POW-2266","POW-2012","POW-2533","POW-1527","YJD-0327","YJD-0345","YJD-0007",NA
"y2_d058_POW_YJD","YJD","POW",21,85,"bottom","POW-2503","POW-1650","POW-2095","POW-1917","POW-1711","POW-2266","POW-2012","POW-2533","POW-1527","YJD-0340",NA,"YJD-0327",NA
"y2_d058_POW_YJD","YJD","POW",22,86,"bottom","POW-2503","POW-1650","POW-2095","POW-1917","POW-1711","POW-2266","POW-2012","POW-2533","POW-1527","YJD-0366",NA,"YJD-0340",NA
"y2_d058_POW_YJD","YJD","POW",22,87,"bottom","POW-2503","POW-1650","POW-2095","POW-1917","POW-1711","POW-2266","POW-2012","POW-2533","POW-1527","YJD-0366",NA,"YJD-0340",NA
"y2_d058_POW_YJD","YJD","POW",22,88,"bottom","POW-2503","POW-1650","POW-2095","POW-1917","POW-1711","POW-2266","POW-2012","POW-2533","POW-1527","YJD-0366",NA,"YJD-0340",NA
"y2_d058_POW_YJD","YJD","POW",22,89,"bottom","POW-2503","POW-1650","POW-2095","POW-1917","POW-1711","POW-2266","POW-2012","POW-2533","POW-1527","YJD-0366",NA,"YJD-0340",NA
"y2_d058_POW_YJD","YJD","POW",23,90,"top","YJD-0420","YJD-0007","YJD-0366","YJD-0345","YJD-0304","YJD-0080","YJD-0397","YJD-0327","YJD-0340","POW-2012",NA,NA,NA
"y2_d058_POW_YJD","YJD","POW",23,91,"top","YJD-0420","YJD-0007","YJD-0366","YJD-0345","YJD-0304","YJD-0080","YJD-0397","YJD-0327","YJD-0340","POW-2012",NA,NA,NA
"y2_d058_POW_YJD","YJD","POW",23,92,"top","YJD-0420","YJD-0007","YJD-0366","YJD-0345","YJD-0304","YJD-0080","YJD-0397","YJD-0327","YJD-0340","POW-2012",NA,NA,NA
"y2_d058_POW_YJD","YJD","POW",24,93,"top","YJD-0420","YJD-0007","YJD-0366","YJD-0345","YJD-0304","YJD-0080","YJD-0397","YJD-0327","YJD-0340","POW-2533",NA,NA,NA
"y2_d058_POW_YJD","YJD","POW",24,94,"top","YJD-0420","YJD-0007","YJD-0366","YJD-0345","YJD-0304","YJD-0080","YJD-0397","YJD-0327","YJD-0340","POW-2533",NA,NA,NA
"y2_d058_POW_YJD","YJD","POW",24,95,"top","YJD-0420","YJD-0007","YJD-0366","YJD-0345","YJD-0304","YJD-0080","YJD-0397","YJD-0327","YJD-0340","POW-2533",NA,NA,NA
"y2_d058_POW_YJD","YJD","POW",24,96,"top","YJD-0420","YJD-0007","YJD-0366","YJD-0345","YJD-0304","YJD-0080","YJD-0397","YJD-0327","YJD-0340","POW-2533",NA,NA,NA
"y2_d058_POW_YJD","YJD","POW",24,97,"top","YJD-0420","YJD-0007","YJD-0366","YJD-0345","YJD-0304","YJD-0080","YJD-0397","YJD-0327","YJD-0340","POW-2533",NA,NA,NA
"y2_d058_POW_YJD","YJD","POW",24,98,"top","YJD-0420","YJD-0007","YJD-0366","YJD-0345","YJD-0304","YJD-0080","YJD-0397","YJD-0327","YJD-0340","POW-2533",NA,NA,NA
"y2_d058_POW_YJD","YJD","POW",25,99,"top","YJD-0420","YJD-0007","YJD-0366","YJD-0345","YJD-0304","YJD-0080","YJD-0397","YJD-0327","YJD-0340","POW-2095",NA,NA,NA
"y2_d058_POW_YJD","YJD","POW",25,100,"top","YJD-0420","YJD-0007","YJD-0366","YJD-0345","YJD-0304","YJD-0080","YJD-0397","YJD-0327","YJD-0340","POW-2095",NA,NA,NA
"y2_d058_POW_YJD","YJD","POW",25,101,"top","YJD-0420","YJD-0007","YJD-0366","YJD-0345","YJD-0304","YJD-0080","YJD-0397","YJD-0327","YJD-0340","POW-2095",NA,NA,NA
"y2_d058_POW_YJD","YJD","POW",25,102,"top","YJD-0420","YJD-0007","YJD-0366","YJD-0345","YJD-0304","YJD-0080","YJD-0397","YJD-0327","YJD-0340","POW-2095",NA,NA,NA
"y2_d058_POW_YJD","YJD","POW",25,103,"top","YJD-0420","YJD-0007","YJD-0366","YJD-0345","YJD-0304","YJD-0080","YJD-0397","YJD-0327","YJD-0340","POW-2095",NA,NA,NA
"y2_d058_POW_YJD","YJD","POW",25,104,"top","YJD-0420","YJD-0007","YJD-0366","YJD-0345","YJD-0304","YJD-0080","YJD-0397","YJD-0327","YJD-0340","POW-2095",NA,NA,NA
"y2_d058_POW_YJD","YJD","POW",26,105,"top","YJD-0420","YJD-0007","YJD-0366","YJD-0345","YJD-0304","YJD-0080","YJD-0397","YJD-0327","YJD-0340","POW-1039","POW-2095",NA,NA
"y2_d058_POW_YJD","YJD","POW",26,106,"top","YJD-0420","YJD-0007","YJD-0366","YJD-0345","YJD-0304","YJD-0080","YJD-0397","YJD-0327","YJD-0340","POW-1039","POW-2095",NA,NA
"y2_d058_POW_YJD","YJD","POW",26,107,"top","YJD-0420","YJD-0007","YJD-0366","YJD-0345","YJD-0304","YJD-0080","YJD-0397","YJD-0327","YJD-0340","POW-1039","POW-2095",NA,NA
"y2_d058_POW_YJD","YJD","POW",26,108,"top","YJD-0420","YJD-0007","YJD-0366","YJD-0345","YJD-0304","YJD-0080","YJD-0397","YJD-0327","YJD-0340","POW-1039","POW-2095",NA,NA
"y2_d058_POW_YJD","YJD","POW",26,109,"top","YJD-0420","YJD-0007","YJD-0366","YJD-0345","YJD-0304","YJD-0080","YJD-0397","YJD-0327","YJD-0340","POW-1039","POW-2095",NA,NA
"y2_d058_POW_YJD","YJD","POW",26,110,"top","YJD-0420","YJD-0007","YJD-0366","YJD-0345","YJD-0304","YJD-0080","YJD-0397","YJD-0327","YJD-0340","POW-1039","POW-2095",NA,NA
"y2_d058_POW_YJD","YJD","POW",27,111,"bottom","POW-2503","POW-1650","POW-2095","POW-1917","POW-1711","POW-2266","POW-2012","POW-2533","POW-1527","YJD-0397",NA,NA,NA
"y2_d058_POW_YJD","YJD","POW",27,112,"bottom","POW-2503","POW-1650","POW-2095","POW-1917","POW-1711","POW-2266","POW-2012","POW-2533","POW-1527","YJD-0397",NA,NA,NA
"y2_d058_POW_YJD","YJD","POW",28,113,"bottom","POW-2503","POW-1650","POW-2095","POW-1917","POW-1711","POW-2266","POW-2012","POW-2533","POW-1527","YJD-0080",NA,"YJD-0397",NA
"y2_d058_POW_YJD","YJD","POW",28,114,"bottom","POW-2503","POW-1650","POW-2095","POW-1917","POW-1711","POW-2266","POW-2012","POW-2533","POW-1527","YJD-0080",NA,"YJD-0397",NA
"y2_d058_POW_YJD","YJD","POW",28,115,"bottom","POW-2503","POW-1650","POW-2095","POW-1917","POW-1711","POW-2266","POW-2012","POW-2533","POW-1527","YJD-0080",NA,"YJD-0397",NA
"y2_d058_POW_YJD","YJD","POW",28,116,"bottom","POW-2503","POW-1650","POW-2095","POW-1917","POW-1711","POW-2266","POW-2012","POW-2533","POW-1527","YJD-0080",NA,"YJD-0397",NA
"y2_d058_POW_YJD","YJD","POW",28,117,"bottom","POW-2503","POW-1650","POW-2095","POW-1917","POW-1711","POW-2266","POW-2012","POW-2533","POW-1527","YJD-0080",NA,"YJD-0397",NA
