"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y2_d052_PTB_YJD","YJD","PTB",1,1,"top","YJD-0420","YJD-0107","YJD-0166","YJD-0304","YJD-0174","YJD-0080","YJD-0185","YJD-0345","YJD-0340","PTB-1363",NA,NA,NA
"y2_d052_PTB_YJD","YJD","PTB",1,2,"top","YJD-0420","YJD-0107","YJD-0166","YJD-0304","YJD-0174","YJD-0080","YJD-0185","YJD-0345","YJD-0340","PTB-1363",NA,NA,NA
"y2_d052_PTB_YJD","YJD","PTB",1,3,"top","YJD-0420","YJD-0107","YJD-0166","YJD-0304","YJD-0174","YJD-0080","YJD-0185","YJD-0345","YJD-0340","PTB-1363",NA,NA,NA
"y2_d052_PTB_YJD","YJD","PTB",1,4,"top","YJD-0420","YJD-0107","YJD-0166","YJD-0304","YJD-0174","YJD-0080","YJD-0185","YJD-0345","YJD-0340","PTB-1363",NA,NA,NA
"y2_d052_PTB_YJD","YJD","PTB",1,5,"top","YJD-0420","YJD-0107","YJD-0166","YJD-0304","YJD-0174","YJD-0080","YJD-0185","YJD-0345","YJD-0340","PTB-1363",NA,NA,NA
"y2_d052_PTB_YJD","YJD","PTB",1,6,"top","YJD-0420","YJD-0107","YJD-0166","YJD-0304","YJD-0174","YJD-0080","YJD-0185","YJD-0345","YJD-0340","PTB-1363",NA,NA,NA
"y2_d052_PTB_YJD","YJD","PTB",2,7,"top","YJD-0420","YJD-0107","YJD-0166","YJD-0304","YJD-0174","YJD-0080","YJD-0185","YJD-0345","YJD-0340","PTB-1280","PTB-1363",NA,NA
"y2_d052_PTB_YJD","YJD","PTB",2,8,"top","YJD-0420","YJD-0107","YJD-0166","YJD-0304","YJD-0174","YJD-0080","YJD-0185","YJD-0345","YJD-0340","PTB-1280","PTB-1363",NA,NA
"y2_d052_PTB_YJD","YJD","PTB",2,9,"top","YJD-0420","YJD-0107","YJD-0166","YJD-0304","YJD-0174","YJD-0080","YJD-0185","YJD-0345","YJD-0340","PTB-1280","PTB-1363",NA,NA
"y2_d052_PTB_YJD","YJD","PTB",2,10,"top","YJD-0420","YJD-0107","YJD-0166","YJD-0304","YJD-0174","YJD-0080","YJD-0185","YJD-0345","YJD-0340","PTB-1280","PTB-1363",NA,NA
"y2_d052_PTB_YJD","YJD","PTB",2,11,"top","YJD-0420","YJD-0107","YJD-0166","YJD-0304","YJD-0174","YJD-0080","YJD-0185","YJD-0345","YJD-0340","PTB-1280","PTB-1363",NA,NA
"y2_d052_PTB_YJD","YJD","PTB",2,12,"top","YJD-0420","YJD-0107","YJD-0166","YJD-0304","YJD-0174","YJD-0080","YJD-0185","YJD-0345","YJD-0340","PTB-1280","PTB-1363",NA,NA
"y2_d052_PTB_YJD","YJD","PTB",3,13,"top","YJD-0420","YJD-0107","YJD-0166","YJD-0304","YJD-0174","YJD-0080","YJD-0185","YJD-0345","YJD-0340","PTB-1993","PTB-1280","PTB-1363",NA
"y2_d052_PTB_YJD","YJD","PTB",3,14,"top","YJD-0420","YJD-0107","YJD-0166","YJD-0304","YJD-0174","YJD-0080","YJD-0185","YJD-0345","YJD-0340","PTB-1993","PTB-1280","PTB-1363",NA
"y2_d052_PTB_YJD","YJD","PTB",3,15,"top","YJD-0420","YJD-0107","YJD-0166","YJD-0304","YJD-0174","YJD-0080","YJD-0185","YJD-0345","YJD-0340","PTB-1993","PTB-1280","PTB-1363",NA
"y2_d052_PTB_YJD","YJD","PTB",3,16,"top","YJD-0420","YJD-0107","YJD-0166","YJD-0304","YJD-0174","YJD-0080","YJD-0185","YJD-0345","YJD-0340","PTB-1993","PTB-1280","PTB-1363",NA
"y2_d052_PTB_YJD","YJD","PTB",4,17,"top","YJD-0420","YJD-0107","YJD-0166","YJD-0304","YJD-0174","YJD-0080","YJD-0185","YJD-0345","YJD-0340","PTB-2163","PTB-1280","PTB-1363",NA
"y2_d052_PTB_YJD","YJD","PTB",4,18,"top","YJD-0420","YJD-0107","YJD-0166","YJD-0304","YJD-0174","YJD-0080","YJD-0185","YJD-0345","YJD-0340","PTB-2163","PTB-1280","PTB-1363",NA
"y2_d052_PTB_YJD","YJD","PTB",4,19,"top","YJD-0420","YJD-0107","YJD-0166","YJD-0304","YJD-0174","YJD-0080","YJD-0185","YJD-0345","YJD-0340","PTB-2163","PTB-1280","PTB-1363",NA
