"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y2_d013_RQJ_YJD","YJD","RQJ",1,1,"top","YJD-0124","YJD-0107","YJD-0373","YJD-0405","YJD-0174","YJD-0345","YJD-0397","YJD-0019","YJD-0366","RQJ-2500",NA,NA,NA
"y2_d013_RQJ_YJD","YJD","RQJ",1,2,"top","YJD-0124","YJD-0107","YJD-0373","YJD-0405","YJD-0174","YJD-0345","YJD-0397","YJD-0019","YJD-0366","RQJ-2500",NA,NA,NA
"y2_d013_RQJ_YJD","YJD","RQJ",2,3,"top","YJD-0124","YJD-0107","YJD-0373","YJD-0405","YJD-0174","YJD-0345","YJD-0397","YJD-0019","YJD-0366","RQJ-2493",NA,"RQJ-2500",NA
"y2_d013_RQJ_YJD","YJD","RQJ",2,4,"top","YJD-0124","YJD-0107","YJD-0373","YJD-0405","YJD-0174","YJD-0345","YJD-0397","YJD-0019","YJD-0366","RQJ-2493",NA,"RQJ-2500",NA
"y2_d013_RQJ_YJD","YJD","RQJ",2,5,"top","YJD-0124","YJD-0107","YJD-0373","YJD-0405","YJD-0174","YJD-0345","YJD-0397","YJD-0019","YJD-0366","RQJ-2493",NA,"RQJ-2500",NA
"y2_d013_RQJ_YJD","YJD","RQJ",2,6,"top","YJD-0124","YJD-0107","YJD-0373","YJD-0405","YJD-0174","YJD-0345","YJD-0397","YJD-0019","YJD-0366","RQJ-2493",NA,"RQJ-2500",NA
"y2_d013_RQJ_YJD","YJD","RQJ",2,7,"top","YJD-0124","YJD-0107","YJD-0373","YJD-0405","YJD-0174","YJD-0345","YJD-0397","YJD-0019","YJD-0366","RQJ-2493",NA,"RQJ-2500",NA
"y2_d013_RQJ_YJD","YJD","RQJ",3,8,"top","YJD-0124","YJD-0107","YJD-0373","YJD-0405","YJD-0174","YJD-0345","YJD-0397","YJD-0019","YJD-0366","RQJ-1518",NA,"RQJ-2493",NA
"y2_d013_RQJ_YJD","YJD","RQJ",3,9,"top","YJD-0124","YJD-0107","YJD-0373","YJD-0405","YJD-0174","YJD-0345","YJD-0397","YJD-0019","YJD-0366","RQJ-1518",NA,"RQJ-2493",NA
"y2_d013_RQJ_YJD","YJD","RQJ",3,10,"top","YJD-0124","YJD-0107","YJD-0373","YJD-0405","YJD-0174","YJD-0345","YJD-0397","YJD-0019","YJD-0366","RQJ-1518",NA,"RQJ-2493",NA
"y2_d013_RQJ_YJD","YJD","RQJ",3,11,"top","YJD-0124","YJD-0107","YJD-0373","YJD-0405","YJD-0174","YJD-0345","YJD-0397","YJD-0019","YJD-0366","RQJ-1518",NA,"RQJ-2493",NA
"y2_d013_RQJ_YJD","YJD","RQJ",3,12,"top","YJD-0124","YJD-0107","YJD-0373","YJD-0405","YJD-0174","YJD-0345","YJD-0397","YJD-0019","YJD-0366","RQJ-1518",NA,"RQJ-2493",NA
"y2_d013_RQJ_YJD","YJD","RQJ",4,13,"top","YJD-0124","YJD-0107","YJD-0373","YJD-0405","YJD-0174","YJD-0345","YJD-0397","YJD-0019","YJD-0366","RQJ-2422",NA,"RQJ-1518",NA
"y2_d013_RQJ_YJD","YJD","RQJ",4,14,"top","YJD-0124","YJD-0107","YJD-0373","YJD-0405","YJD-0174","YJD-0345","YJD-0397","YJD-0019","YJD-0366","RQJ-2422",NA,"RQJ-1518",NA
"y2_d013_RQJ_YJD","YJD","RQJ",5,15,"top","YJD-0124","YJD-0107","YJD-0373","YJD-0405","YJD-0174","YJD-0345","YJD-0397","YJD-0019","YJD-0366","RQJ-2023",NA,NA,"RQJ-1518"
"y2_d013_RQJ_YJD","YJD","RQJ",5,16,"top","YJD-0124","YJD-0107","YJD-0373","YJD-0405","YJD-0174","YJD-0345","YJD-0397","YJD-0019","YJD-0366","RQJ-2023",NA,NA,"RQJ-1518"
"y2_d013_RQJ_YJD","YJD","RQJ",5,17,"top","YJD-0124","YJD-0107","YJD-0373","YJD-0405","YJD-0174","YJD-0345","YJD-0397","YJD-0019","YJD-0366","RQJ-2023",NA,NA,"RQJ-1518"
"y2_d013_RQJ_YJD","YJD","RQJ",5,18,"top","YJD-0124","YJD-0107","YJD-0373","YJD-0405","YJD-0174","YJD-0345","YJD-0397","YJD-0019","YJD-0366","RQJ-2023",NA,NA,"RQJ-1518"
