"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y2_d044_RZQ_YJD","YJD","RZQ",1,1,"top","YJD-0420","YJD-0107","YJD-0373","YJD-0304","YJD-0174","YJD-0345","YJD-0164","YJD-0327","YJD-0185","RZQ-0347",NA,NA,NA
"y2_d044_RZQ_YJD","YJD","RZQ",1,2,"top","YJD-0420","YJD-0107","YJD-0373","YJD-0304","YJD-0174","YJD-0345","YJD-0164","YJD-0327","YJD-0185","RZQ-0347",NA,NA,NA
"y2_d044_RZQ_YJD","YJD","RZQ",1,3,"top","YJD-0420","YJD-0107","YJD-0373","YJD-0304","YJD-0174","YJD-0345","YJD-0164","YJD-0327","YJD-0185","RZQ-0347",NA,NA,NA
"y2_d044_RZQ_YJD","YJD","RZQ",2,4,"top","YJD-0420","YJD-0107","YJD-0373","YJD-0304","YJD-0174","YJD-0345","YJD-0164","YJD-0327","YJD-0185","RZQ-0355","RZQ-0347",NA,NA
"y2_d044_RZQ_YJD","YJD","RZQ",2,5,"top","YJD-0420","YJD-0107","YJD-0373","YJD-0304","YJD-0174","YJD-0345","YJD-0164","YJD-0327","YJD-0185","RZQ-0355","RZQ-0347",NA,NA
"y2_d044_RZQ_YJD","YJD","RZQ",3,6,"top","YJD-0420","YJD-0107","YJD-0373","YJD-0304","YJD-0174","YJD-0345","YJD-0164","YJD-0327","YJD-0185","RZQ-0231",NA,NA,NA
"y2_d044_RZQ_YJD","YJD","RZQ",3,7,"top","YJD-0420","YJD-0107","YJD-0373","YJD-0304","YJD-0174","YJD-0345","YJD-0164","YJD-0327","YJD-0185","RZQ-0231",NA,NA,NA
"y2_d044_RZQ_YJD","YJD","RZQ",3,8,"top","YJD-0420","YJD-0107","YJD-0373","YJD-0304","YJD-0174","YJD-0345","YJD-0164","YJD-0327","YJD-0185","RZQ-0231",NA,NA,NA
"y2_d044_RZQ_YJD","YJD","RZQ",3,9,"top","YJD-0420","YJD-0107","YJD-0373","YJD-0304","YJD-0174","YJD-0345","YJD-0164","YJD-0327","YJD-0185","RZQ-0231",NA,NA,NA
"y2_d044_RZQ_YJD","YJD","RZQ",3,10,"top","YJD-0420","YJD-0107","YJD-0373","YJD-0304","YJD-0174","YJD-0345","YJD-0164","YJD-0327","YJD-0185","RZQ-0231",NA,NA,NA
