"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y2_d016_TEQ_YJD","YJD","TEQ",1,1,"top","YJD-0296","YJD-0107","YJD-0366","YJD-0278","YJD-0174","YJD-0356","YJD-0345","YJD-0019","YJD-0327","TEQ-1652",NA,NA,NA
"y2_d016_TEQ_YJD","YJD","TEQ",1,2,"top","YJD-0296","YJD-0107","YJD-0366","YJD-0278","YJD-0174","YJD-0356","YJD-0345","YJD-0019","YJD-0327","TEQ-1652",NA,NA,NA
"y2_d016_TEQ_YJD","YJD","TEQ",2,3,"top","YJD-0296","YJD-0107","YJD-0366","YJD-0278","YJD-0174","YJD-0356","YJD-0345","YJD-0019","YJD-0327","TEQ-1878",NA,NA,NA
"y2_d016_TEQ_YJD","YJD","TEQ",2,4,"top","YJD-0296","YJD-0107","YJD-0366","YJD-0278","YJD-0174","YJD-0356","YJD-0345","YJD-0019","YJD-0327","TEQ-1878",NA,NA,NA
"y2_d016_TEQ_YJD","YJD","TEQ",2,5,"top","YJD-0296","YJD-0107","YJD-0366","YJD-0278","YJD-0174","YJD-0356","YJD-0345","YJD-0019","YJD-0327","TEQ-1878",NA,NA,NA
"y2_d016_TEQ_YJD","YJD","TEQ",2,6,"top","YJD-0296","YJD-0107","YJD-0366","YJD-0278","YJD-0174","YJD-0356","YJD-0345","YJD-0019","YJD-0327","TEQ-1878",NA,NA,NA
"y2_d016_TEQ_YJD","YJD","TEQ",3,7,"top","YJD-0296","YJD-0107","YJD-0366","YJD-0278","YJD-0174","YJD-0356","YJD-0345","YJD-0019","YJD-0327","TEQ-2178",NA,NA,NA
"y2_d016_TEQ_YJD","YJD","TEQ",3,8,"top","YJD-0296","YJD-0107","YJD-0366","YJD-0278","YJD-0174","YJD-0356","YJD-0345","YJD-0019","YJD-0327","TEQ-2178",NA,NA,NA
"y2_d016_TEQ_YJD","YJD","TEQ",3,9,"top","YJD-0296","YJD-0107","YJD-0366","YJD-0278","YJD-0174","YJD-0356","YJD-0345","YJD-0019","YJD-0327","TEQ-2178",NA,NA,NA
"y2_d016_TEQ_YJD","YJD","TEQ",3,10,"top","YJD-0296","YJD-0107","YJD-0366","YJD-0278","YJD-0174","YJD-0356","YJD-0345","YJD-0019","YJD-0327","TEQ-2178",NA,NA,NA
