"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y1_d040_TKJ_YJD","YJD","TKJ",1,1,"top","YJD-0191","YJD-0107","YJD-0166","YJD-0025","YJD-0374","YJD-0345","YJD-0327","YJD-0338","YJD-0193","TKJ-2441",NA,NA,NA
"y1_d040_TKJ_YJD","YJD","TKJ",1,2,"top","YJD-0191","YJD-0107","YJD-0166","YJD-0025","YJD-0374","YJD-0345","YJD-0327","YJD-0338","YJD-0193","TKJ-2441",NA,NA,NA
"y1_d040_TKJ_YJD","YJD","TKJ",1,3,"top","YJD-0191","YJD-0107","YJD-0166","YJD-0025","YJD-0374","YJD-0345","YJD-0327","YJD-0338","YJD-0193","TKJ-2441",NA,NA,NA
"y1_d040_TKJ_YJD","YJD","TKJ",1,4,"top","YJD-0191","YJD-0107","YJD-0166","YJD-0025","YJD-0374","YJD-0345","YJD-0327","YJD-0338","YJD-0193","TKJ-2441",NA,NA,NA
"y1_d040_TKJ_YJD","YJD","TKJ",1,5,"top","YJD-0191","YJD-0107","YJD-0166","YJD-0025","YJD-0374","YJD-0345","YJD-0327","YJD-0338","YJD-0193","TKJ-2441",NA,NA,NA
"y1_d040_TKJ_YJD","YJD","TKJ",1,6,"top","YJD-0191","YJD-0107","YJD-0166","YJD-0025","YJD-0374","YJD-0345","YJD-0327","YJD-0338","YJD-0193","TKJ-2441",NA,NA,NA
"y1_d040_TKJ_YJD","YJD","TKJ",NA,7,"top","YJD-0191","YJD-0107","YJD-0166","YJD-0025","YJD-0374","YJD-0345","YJD-0327","YJD-0338","YJD-0193","TKJ-1690","TKJ-2441",NA,NA
"y1_d040_TKJ_YJD","YJD","TKJ",2,8,"top","YJD-0191","YJD-0107","YJD-0166","YJD-0025","YJD-0374","YJD-0345","YJD-0327","YJD-0338","YJD-0193","TKJ-1690","TKJ-2441",NA,NA
"y1_d040_TKJ_YJD","YJD","TKJ",2,9,"top","YJD-0191","YJD-0107","YJD-0166","YJD-0025","YJD-0374","YJD-0345","YJD-0327","YJD-0338","YJD-0193","TKJ-1690","TKJ-2441",NA,NA
"y1_d040_TKJ_YJD","YJD","TKJ",2,10,"top","YJD-0191","YJD-0107","YJD-0166","YJD-0025","YJD-0374","YJD-0345","YJD-0327","YJD-0338","YJD-0193","TKJ-1690","TKJ-2441",NA,NA
