"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y1_d051_UPU_YJD","YJD","UPU",1,1,"top","YJD-0147","YJD-0020","YJD-0281","YJD-0025","YJD-0284","YJD-0345","YJD-0210","YJD-0338","YJD-0327","UPU-1344",NA,NA,NA
"y1_d051_UPU_YJD","YJD","UPU",1,2,"top","YJD-0147","YJD-0020","YJD-0281","YJD-0025","YJD-0284","YJD-0345","YJD-0210","YJD-0338","YJD-0327","UPU-1344",NA,NA,NA
"y1_d051_UPU_YJD","YJD","UPU",1,3,"top","YJD-0147","YJD-0020","YJD-0281","YJD-0025","YJD-0284","YJD-0345","YJD-0210","YJD-0338","YJD-0327","UPU-1344",NA,NA,NA
"y1_d051_UPU_YJD","YJD","UPU",1,4,"top","YJD-0147","YJD-0020","YJD-0281","YJD-0025","YJD-0284","YJD-0345","YJD-0210","YJD-0338","YJD-0327","UPU-1344",NA,NA,NA
"y1_d051_UPU_YJD","YJD","UPU",1,5,"top","YJD-0147","YJD-0020","YJD-0281","YJD-0025","YJD-0284","YJD-0345","YJD-0210","YJD-0338","YJD-0327","UPU-1344",NA,NA,NA
"y1_d051_UPU_YJD","YJD","UPU",2,6,"top","YJD-0147","YJD-0020","YJD-0281","YJD-0025","YJD-0284","YJD-0345","YJD-0210","YJD-0338","YJD-0327","UPU-2017",NA,NA,NA
"y1_d051_UPU_YJD","YJD","UPU",2,7,"top","YJD-0147","YJD-0020","YJD-0281","YJD-0025","YJD-0284","YJD-0345","YJD-0210","YJD-0338","YJD-0327","UPU-2017",NA,NA,NA
"y1_d051_UPU_YJD","YJD","UPU",2,8,"top","YJD-0147","YJD-0020","YJD-0281","YJD-0025","YJD-0284","YJD-0345","YJD-0210","YJD-0338","YJD-0327","UPU-2017",NA,NA,NA
"y1_d051_UPU_YJD","YJD","UPU",3,9,"top","YJD-0147","YJD-0020","YJD-0281","YJD-0025","YJD-0284","YJD-0345","YJD-0210","YJD-0338","YJD-0327","UPU-1095",NA,NA,NA
"y1_d051_UPU_YJD","YJD","UPU",3,10,"top","YJD-0147","YJD-0020","YJD-0281","YJD-0025","YJD-0284","YJD-0345","YJD-0210","YJD-0338","YJD-0327","UPU-1095",NA,NA,NA
"y1_d051_UPU_YJD","YJD","UPU",3,11,"top","YJD-0147","YJD-0020","YJD-0281","YJD-0025","YJD-0284","YJD-0345","YJD-0210","YJD-0338","YJD-0327","UPU-1095",NA,NA,NA
"y1_d051_UPU_YJD","YJD","UPU",4,12,"bottom","UPU-2502","UPU-1647","UPU-1189","UPU-2411","UPU-1282","UPU-1344","UPU-2017","UPU-1095","UPU-1270","YJD-0345",NA,NA,NA
"y1_d051_UPU_YJD","YJD","UPU",4,13,"bottom","UPU-2502","UPU-1647","UPU-1189","UPU-2411","UPU-1282","UPU-1344","UPU-2017","UPU-1095","UPU-1270","YJD-0345",NA,NA,NA
"y1_d051_UPU_YJD","YJD","UPU",4,14,"bottom","UPU-2502","UPU-1647","UPU-1189","UPU-2411","UPU-1282","UPU-1344","UPU-2017","UPU-1095","UPU-1270","YJD-0345",NA,NA,NA
"y1_d051_UPU_YJD","YJD","UPU",5,15,"bottom","UPU-2502","UPU-1647","UPU-1189","UPU-2411","UPU-1282","UPU-1344","UPU-2017","UPU-1095","UPU-1270","YJD-0017","YJD-0345",NA,NA
"y1_d051_UPU_YJD","YJD","UPU",6,16,"bottom","UPU-2502","UPU-1647","UPU-1189","UPU-2411","UPU-1282","UPU-1344","UPU-2017","UPU-1095","UPU-1270","YJD-0338","YJD-0345",NA,NA
"y1_d051_UPU_YJD","YJD","UPU",6,17,"bottom","UPU-2502","UPU-1647","UPU-1189","UPU-2411","UPU-1282","UPU-1344","UPU-2017","UPU-1095","UPU-1270","YJD-0338","YJD-0345",NA,NA
"y1_d051_UPU_YJD","YJD","UPU",7,18,"top","YJD-0147","YJD-0020","YJD-0281","YJD-0025","YJD-0284","YJD-0345","YJD-0210","YJD-0338","YJD-0327","UPU-1270",NA,NA,NA
"y1_d051_UPU_YJD","YJD","UPU",7,19,"top","YJD-0147","YJD-0020","YJD-0281","YJD-0025","YJD-0284","YJD-0345","YJD-0210","YJD-0338","YJD-0327","UPU-1270",NA,NA,NA
"y1_d051_UPU_YJD","YJD","UPU",7,20,"top","YJD-0147","YJD-0020","YJD-0281","YJD-0025","YJD-0284","YJD-0345","YJD-0210","YJD-0338","YJD-0327","UPU-1270",NA,NA,NA
"y1_d051_UPU_YJD","YJD","UPU",8,21,"top","YJD-0147","YJD-0020","YJD-0281","YJD-0025","YJD-0284","YJD-0345","YJD-0210","YJD-0338","YJD-0327","UPU-1189",NA,NA,NA
"y1_d051_UPU_YJD","YJD","UPU",8,22,"top","YJD-0147","YJD-0020","YJD-0281","YJD-0025","YJD-0284","YJD-0345","YJD-0210","YJD-0338","YJD-0327","UPU-1189",NA,NA,NA
"y1_d051_UPU_YJD","YJD","UPU",8,23,"top","YJD-0147","YJD-0020","YJD-0281","YJD-0025","YJD-0284","YJD-0345","YJD-0210","YJD-0338","YJD-0327","UPU-1189",NA,NA,NA
"y1_d051_UPU_YJD","YJD","UPU",8,24,"top","YJD-0147","YJD-0020","YJD-0281","YJD-0025","YJD-0284","YJD-0345","YJD-0210","YJD-0338","YJD-0327","UPU-1189",NA,NA,NA
"y1_d051_UPU_YJD","YJD","UPU",9,25,"top","YJD-0147","YJD-0020","YJD-0281","YJD-0025","YJD-0284","YJD-0345","YJD-0210","YJD-0338","YJD-0327","UPU-1881",NA,NA,NA
"y1_d051_UPU_YJD","YJD","UPU",9,26,"top","YJD-0147","YJD-0020","YJD-0281","YJD-0025","YJD-0284","YJD-0345","YJD-0210","YJD-0338","YJD-0327","UPU-1881",NA,NA,NA
"y1_d051_UPU_YJD","YJD","UPU",9,27,"top","YJD-0147","YJD-0020","YJD-0281","YJD-0025","YJD-0284","YJD-0345","YJD-0210","YJD-0338","YJD-0327","UPU-1881",NA,NA,NA
"y1_d051_UPU_YJD","YJD","UPU",9,28,"top","YJD-0147","YJD-0020","YJD-0281","YJD-0025","YJD-0284","YJD-0345","YJD-0210","YJD-0338","YJD-0327","UPU-1881",NA,NA,NA
"y1_d051_UPU_YJD","YJD","UPU",10,29,"bottom","UPU-2502","UPU-1647","UPU-1189","UPU-2411","UPU-1282","UPU-1344","UPU-2017","UPU-1095","UPU-1270","YJD-0281",NA,NA,NA
"y1_d051_UPU_YJD","YJD","UPU",10,30,"bottom","UPU-2502","UPU-1647","UPU-1189","UPU-2411","UPU-1282","UPU-1344","UPU-2017","UPU-1095","UPU-1270","YJD-0281",NA,NA,NA
"y1_d051_UPU_YJD","YJD","UPU",10,31,"bottom","UPU-2502","UPU-1647","UPU-1189","UPU-2411","UPU-1282","UPU-1344","UPU-2017","UPU-1095","UPU-1270","YJD-0281",NA,NA,NA
"y1_d051_UPU_YJD","YJD","UPU",10,32,"bottom","UPU-2502","UPU-1647","UPU-1189","UPU-2411","UPU-1282","UPU-1344","UPU-2017","UPU-1095","UPU-1270","YJD-0281",NA,NA,NA
"y1_d051_UPU_YJD","YJD","UPU",10,33,"bottom","UPU-2502","UPU-1647","UPU-1189","UPU-2411","UPU-1282","UPU-1344","UPU-2017","UPU-1095","UPU-1270","YJD-0281",NA,NA,NA
"y1_d051_UPU_YJD","YJD","UPU",11,34,"bottom","UPU-2502","UPU-1647","UPU-1189","UPU-2411","UPU-1282","UPU-1344","UPU-2017","UPU-1095","UPU-1270","YJD-0327","YJD-0281",NA,NA
"y1_d051_UPU_YJD","YJD","UPU",11,35,"bottom","UPU-2502","UPU-1647","UPU-1189","UPU-2411","UPU-1282","UPU-1344","UPU-2017","UPU-1095","UPU-1270","YJD-0327","YJD-0281",NA,NA
"y1_d051_UPU_YJD","YJD","UPU",11,36,"bottom","UPU-2502","UPU-1647","UPU-1189","UPU-2411","UPU-1282","UPU-1344","UPU-2017","UPU-1095","UPU-1270","YJD-0327","YJD-0281",NA,NA
"y1_d051_UPU_YJD","YJD","UPU",11,37,"bottom","UPU-2502","UPU-1647","UPU-1189","UPU-2411","UPU-1282","UPU-1344","UPU-2017","UPU-1095","UPU-1270","YJD-0327","YJD-0281",NA,NA
"y1_d051_UPU_YJD","YJD","UPU",11,38,"bottom","UPU-2502","UPU-1647","UPU-1189","UPU-2411","UPU-1282","UPU-1344","UPU-2017","UPU-1095","UPU-1270","YJD-0327","YJD-0281",NA,NA
"y1_d051_UPU_YJD","YJD","UPU",12,39,"bottom","UPU-2502","UPU-1647","UPU-1189","UPU-2411","UPU-1282","UPU-1344","UPU-2017","UPU-1095","UPU-1270","YJD-0284","YJD-0327",NA,NA
"y1_d051_UPU_YJD","YJD","UPU",12,40,"bottom","UPU-2502","UPU-1647","UPU-1189","UPU-2411","UPU-1282","UPU-1344","UPU-2017","UPU-1095","UPU-1270","YJD-0284","YJD-0327",NA,NA
"y1_d051_UPU_YJD","YJD","UPU",12,41,"bottom","UPU-2502","UPU-1647","UPU-1189","UPU-2411","UPU-1282","UPU-1344","UPU-2017","UPU-1095","UPU-1270","YJD-0284","YJD-0327",NA,NA
"y1_d051_UPU_YJD","YJD","UPU",13,42,"bottom","UPU-2502","UPU-1647","UPU-1189","UPU-2411","UPU-1282","UPU-1344","UPU-2017","UPU-1095","UPU-1270","YJD-0210",NA,NA,NA
"y1_d051_UPU_YJD","YJD","UPU",13,43,"bottom","UPU-2502","UPU-1647","UPU-1189","UPU-2411","UPU-1282","UPU-1344","UPU-2017","UPU-1095","UPU-1270","YJD-0210",NA,NA,NA
"y1_d051_UPU_YJD","YJD","UPU",13,44,"bottom","UPU-2502","UPU-1647","UPU-1189","UPU-2411","UPU-1282","UPU-1344","UPU-2017","UPU-1095","UPU-1270","YJD-0210",NA,NA,NA
"y1_d051_UPU_YJD","YJD","UPU",13,45,"bottom","UPU-2502","UPU-1647","UPU-1189","UPU-2411","UPU-1282","UPU-1344","UPU-2017","UPU-1095","UPU-1270","YJD-0210",NA,NA,NA
"y1_d051_UPU_YJD","YJD","UPU",14,46,"bottom","UPU-2502","UPU-1647","UPU-1189","UPU-2411","UPU-1282","UPU-1344","UPU-2017","UPU-1095","UPU-1270","YJD-0025",NA,NA,NA
"y1_d051_UPU_YJD","YJD","UPU",14,47,"bottom","UPU-2502","UPU-1647","UPU-1189","UPU-2411","UPU-1282","UPU-1344","UPU-2017","UPU-1095","UPU-1270","YJD-0025",NA,NA,NA
"y1_d051_UPU_YJD","YJD","UPU",14,48,"bottom","UPU-2502","UPU-1647","UPU-1189","UPU-2411","UPU-1282","UPU-1344","UPU-2017","UPU-1095","UPU-1270","YJD-0025",NA,NA,NA
"y1_d051_UPU_YJD","YJD","UPU",14,49,"bottom","UPU-2502","UPU-1647","UPU-1189","UPU-2411","UPU-1282","UPU-1344","UPU-2017","UPU-1095","UPU-1270","YJD-0025",NA,NA,NA
"y1_d051_UPU_YJD","YJD","UPU",14,50,"bottom","UPU-2502","UPU-1647","UPU-1189","UPU-2411","UPU-1282","UPU-1344","UPU-2017","UPU-1095","UPU-1270","YJD-0025",NA,NA,NA
"y1_d051_UPU_YJD","YJD","UPU",15,51,"top","YJD-0147","YJD-0020","YJD-0281","YJD-0025","YJD-0284","YJD-0345","YJD-0210","YJD-0338","YJD-0327","UPU-1282",NA,NA,NA
"y1_d051_UPU_YJD","YJD","UPU",15,52,"top","YJD-0147","YJD-0020","YJD-0281","YJD-0025","YJD-0284","YJD-0345","YJD-0210","YJD-0338","YJD-0327","UPU-1282",NA,NA,NA
