"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y1_d074_UWE_YJD","YJD","UWE",1,1,"top","YJD-0147","YJD-0020","YJD-0359","YJD-0025","YJD-0284","YJD-0172","YJD-0340","YJD-0106","YJD-0210","UWE-1368",NA,NA,NA
"y1_d074_UWE_YJD","YJD","UWE",1,2,"top","YJD-0147","YJD-0020","YJD-0359","YJD-0025","YJD-0284","YJD-0172","YJD-0340","YJD-0106","YJD-0210","UWE-1368",NA,NA,NA
"y1_d074_UWE_YJD","YJD","UWE",2,3,"top","YJD-0147","YJD-0020","YJD-0359","YJD-0025","YJD-0284","YJD-0172","YJD-0340","YJD-0106","YJD-0210","UWE-1876",NA,NA,NA
"y1_d074_UWE_YJD","YJD","UWE",2,4,"top","YJD-0147","YJD-0020","YJD-0359","YJD-0025","YJD-0284","YJD-0172","YJD-0340","YJD-0106","YJD-0210","UWE-1876",NA,NA,NA
"y1_d074_UWE_YJD","YJD","UWE",2,5,"top","YJD-0147","YJD-0020","YJD-0359","YJD-0025","YJD-0284","YJD-0172","YJD-0340","YJD-0106","YJD-0210","UWE-1876",NA,NA,NA
"y1_d074_UWE_YJD","YJD","UWE",2,6,"top","YJD-0147","YJD-0020","YJD-0359","YJD-0025","YJD-0284","YJD-0172","YJD-0340","YJD-0106","YJD-0210","UWE-1876",NA,NA,NA
"y1_d074_UWE_YJD","YJD","UWE",3,7,"top","YJD-0147","YJD-0020","YJD-0359","YJD-0025","YJD-0284","YJD-0172","YJD-0340","YJD-0106","YJD-0210","UWE-2003",NA,NA,NA
"y1_d074_UWE_YJD","YJD","UWE",3,8,"top","YJD-0147","YJD-0020","YJD-0359","YJD-0025","YJD-0284","YJD-0172","YJD-0340","YJD-0106","YJD-0210","UWE-2003",NA,NA,NA
"y1_d074_UWE_YJD","YJD","UWE",3,9,"top","YJD-0147","YJD-0020","YJD-0359","YJD-0025","YJD-0284","YJD-0172","YJD-0340","YJD-0106","YJD-0210","UWE-2003",NA,NA,NA
"y1_d074_UWE_YJD","YJD","UWE",4,10,"bottom","UWE-1411","UWE-2047","UWE-2402","UWE-1368","UWE-2184","UWE-1104","UWE-1876","UWE-1943","UWE-2003","YJD-0210",NA,NA,NA
"y1_d074_UWE_YJD","YJD","UWE",4,11,"bottom","UWE-1411","UWE-2047","UWE-2402","UWE-1368","UWE-2184","UWE-1104","UWE-1876","UWE-1943","UWE-2003","YJD-0210",NA,NA,NA
"y1_d074_UWE_YJD","YJD","UWE",5,12,"bottom","UWE-1411","UWE-2047","UWE-2402","UWE-1368","UWE-2184","UWE-1104","UWE-1876","UWE-1943","UWE-2003","YJD-0106","YJD-0210",NA,NA
"y1_d074_UWE_YJD","YJD","UWE",5,13,"bottom","UWE-1411","UWE-2047","UWE-2402","UWE-1368","UWE-2184","UWE-1104","UWE-1876","UWE-1943","UWE-2003","YJD-0106","YJD-0210",NA,NA
"y1_d074_UWE_YJD","YJD","UWE",NA,14,"bottom","UWE-1411","UWE-2047","UWE-2402","UWE-1368","UWE-2184","UWE-1104","UWE-1876","UWE-1943","UWE-2003","YJD-0106","YJD-0210",NA,NA
"y1_d074_UWE_YJD","YJD","UWE",5,15,"bottom","UWE-1411","UWE-2047","UWE-2402","UWE-1368","UWE-2184","UWE-1104","UWE-1876","UWE-1943","UWE-2003","YJD-0106","YJD-0210",NA,NA
"y1_d074_UWE_YJD","YJD","UWE",5,16,"bottom","UWE-1411","UWE-2047","UWE-2402","UWE-1368","UWE-2184","UWE-1104","UWE-1876","UWE-1943","UWE-2003","YJD-0106","YJD-0210",NA,NA
"y1_d074_UWE_YJD","YJD","UWE",6,17,"bottom","UWE-1411","UWE-2047","UWE-2402","UWE-1368","UWE-2184","UWE-1104","UWE-1876","UWE-1943","UWE-2003","YJD-0284","YJD-0106","YJD-0210",NA
"y1_d074_UWE_YJD","YJD","UWE",6,18,"bottom","UWE-1411","UWE-2047","UWE-2402","UWE-1368","UWE-2184","UWE-1104","UWE-1876","UWE-1943","UWE-2003","YJD-0284","YJD-0106","YJD-0210",NA
