"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y1_d045_VHS_YJD","YJD","VHS",1,1,"top","YJD-0293","YJD-0007","YJD-0166","YJD-0025","YJD-0284","YJD-0345","YJD-0210","YJD-0338","YJD-0327","VHS-1791",NA,NA,NA
"y1_d045_VHS_YJD","YJD","VHS",1,2,"top","YJD-0293","YJD-0007","YJD-0166","YJD-0025","YJD-0284","YJD-0345","YJD-0210","YJD-0338","YJD-0327","VHS-1791",NA,NA,NA
"y1_d045_VHS_YJD","YJD","VHS",1,3,"top","YJD-0293","YJD-0007","YJD-0166","YJD-0025","YJD-0284","YJD-0345","YJD-0210","YJD-0338","YJD-0327","VHS-1791",NA,NA,NA
"y1_d045_VHS_YJD","YJD","VHS",1,4,"top","YJD-0293","YJD-0007","YJD-0166","YJD-0025","YJD-0284","YJD-0345","YJD-0210","YJD-0338","YJD-0327","VHS-1791",NA,NA,NA
"y1_d045_VHS_YJD","YJD","VHS",1,5,"top","YJD-0293","YJD-0007","YJD-0166","YJD-0025","YJD-0284","YJD-0345","YJD-0210","YJD-0338","YJD-0327","VHS-1791",NA,NA,NA
"y1_d045_VHS_YJD","YJD","VHS",1,6,"top","YJD-0293","YJD-0007","YJD-0166","YJD-0025","YJD-0284","YJD-0345","YJD-0210","YJD-0338","YJD-0327","VHS-1791",NA,NA,NA
"y1_d045_VHS_YJD","YJD","VHS",2,7,"top","YJD-0293","YJD-0007","YJD-0166","YJD-0025","YJD-0284","YJD-0345","YJD-0210","YJD-0338","YJD-0327","VHS-1194",NA,"VHS-1791",NA
"y1_d045_VHS_YJD","YJD","VHS",2,8,"top","YJD-0293","YJD-0007","YJD-0166","YJD-0025","YJD-0284","YJD-0345","YJD-0210","YJD-0338","YJD-0327","VHS-1194",NA,"VHS-1791",NA
"y1_d045_VHS_YJD","YJD","VHS",NA,9,"top","YJD-0293","YJD-0007","YJD-0166","YJD-0025","YJD-0284","YJD-0345","YJD-0210","YJD-0338","YJD-0327","VHS-1129",NA,"VHS-1791",NA
"y1_d045_VHS_YJD","YJD","VHS",3,10,"top","YJD-0293","YJD-0007","YJD-0166","YJD-0025","YJD-0284","YJD-0345","YJD-0210","YJD-0338","YJD-0327","VHS-1129",NA,"VHS-1791",NA
"y1_d045_VHS_YJD","YJD","VHS",3,11,"top","YJD-0293","YJD-0007","YJD-0166","YJD-0025","YJD-0284","YJD-0345","YJD-0210","YJD-0338","YJD-0327","VHS-1129",NA,"VHS-1791",NA
"y1_d045_VHS_YJD","YJD","VHS",3,12,"top","YJD-0293","YJD-0007","YJD-0166","YJD-0025","YJD-0284","YJD-0345","YJD-0210","YJD-0338","YJD-0327","VHS-1129",NA,"VHS-1791",NA
