"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y2_d026_VMN_YJD","YJD","VMN",1,1,"top","YJD-0335","YJD-0107","YJD-0373","YJD-0080","YJD-0213","YJD-0345","YJD-0397","YJD-0019","YJD-0366","VMN-1439",NA,NA,NA
"y2_d026_VMN_YJD","YJD","VMN",1,2,"top","YJD-0335","YJD-0107","YJD-0373","YJD-0080","YJD-0213","YJD-0345","YJD-0397","YJD-0019","YJD-0366","VMN-1439",NA,NA,NA
"y2_d026_VMN_YJD","YJD","VMN",2,3,"top","YJD-0335","YJD-0107","YJD-0373","YJD-0080","YJD-0213","YJD-0345","YJD-0397","YJD-0019","YJD-0366","VMN-1279",NA,NA,NA
"y2_d026_VMN_YJD","YJD","VMN",2,4,"top","YJD-0335","YJD-0107","YJD-0373","YJD-0080","YJD-0213","YJD-0345","YJD-0397","YJD-0019","YJD-0366","VMN-1279",NA,NA,NA
"y2_d026_VMN_YJD","YJD","VMN",2,5,"top","YJD-0335","YJD-0107","YJD-0373","YJD-0080","YJD-0213","YJD-0345","YJD-0397","YJD-0019","YJD-0366","VMN-1279",NA,NA,NA
"y2_d026_VMN_YJD","YJD","VMN",2,6,"top","YJD-0335","YJD-0107","YJD-0373","YJD-0080","YJD-0213","YJD-0345","YJD-0397","YJD-0019","YJD-0366","VMN-1279",NA,NA,NA
"y2_d026_VMN_YJD","YJD","VMN",3,7,"top","YJD-0335","YJD-0107","YJD-0373","YJD-0080","YJD-0213","YJD-0345","YJD-0397","YJD-0019","YJD-0366","VMN-1992","VMN-1279",NA,NA
"y2_d026_VMN_YJD","YJD","VMN",3,8,"top","YJD-0335","YJD-0107","YJD-0373","YJD-0080","YJD-0213","YJD-0345","YJD-0397","YJD-0019","YJD-0366","VMN-1992","VMN-1279",NA,NA
"y2_d026_VMN_YJD","YJD","VMN",3,9,"top","YJD-0335","YJD-0107","YJD-0373","YJD-0080","YJD-0213","YJD-0345","YJD-0397","YJD-0019","YJD-0366","VMN-1992","VMN-1279",NA,NA
"y2_d026_VMN_YJD","YJD","VMN",3,10,"top","YJD-0335","YJD-0107","YJD-0373","YJD-0080","YJD-0213","YJD-0345","YJD-0397","YJD-0019","YJD-0366","VMN-1992","VMN-1279",NA,NA
"y2_d026_VMN_YJD","YJD","VMN",3,11,"top","YJD-0335","YJD-0107","YJD-0373","YJD-0080","YJD-0213","YJD-0345","YJD-0397","YJD-0019","YJD-0366","VMN-1992","VMN-1279",NA,NA
