"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y2_d074.5_VZE_YJD","YJD","VZE",1,1,"top","YJD-0353","YJD-0067","YJD-0373","YJD-0164","YJD-0132","YJD-0312","YJD-0345","YJD-0185","YJD-0366","VZE-1879",NA,NA,NA
"y2_d074.5_VZE_YJD","YJD","VZE",1,2,"top","YJD-0353","YJD-0067","YJD-0373","YJD-0164","YJD-0132","YJD-0312","YJD-0345","YJD-0185","YJD-0366","VZE-1879",NA,NA,NA
"y2_d074.5_VZE_YJD","YJD","VZE",1,3,"top","YJD-0353","YJD-0067","YJD-0373","YJD-0164","YJD-0132","YJD-0312","YJD-0345","YJD-0185","YJD-0366","VZE-1879",NA,NA,NA
"y2_d074.5_VZE_YJD","YJD","VZE",1,4,"top","YJD-0353","YJD-0067","YJD-0373","YJD-0164","YJD-0132","YJD-0312","YJD-0345","YJD-0185","YJD-0366","VZE-1879",NA,NA,NA
"y2_d074.5_VZE_YJD","YJD","VZE",1,5,"top","YJD-0353","YJD-0067","YJD-0373","YJD-0164","YJD-0132","YJD-0312","YJD-0345","YJD-0185","YJD-0366","VZE-1879",NA,NA,NA
"y2_d074.5_VZE_YJD","YJD","VZE",2,6,"top","YJD-0353","YJD-0067","YJD-0373","YJD-0164","YJD-0132","YJD-0312","YJD-0345","YJD-0185","YJD-0366","VZE-2373",NA,NA,NA
"y2_d074.5_VZE_YJD","YJD","VZE",2,7,"top","YJD-0353","YJD-0067","YJD-0373","YJD-0164","YJD-0132","YJD-0312","YJD-0345","YJD-0185","YJD-0366","VZE-2373",NA,NA,NA
"y2_d074.5_VZE_YJD","YJD","VZE",2,8,"top","YJD-0353","YJD-0067","YJD-0373","YJD-0164","YJD-0132","YJD-0312","YJD-0345","YJD-0185","YJD-0366","VZE-2373",NA,NA,NA
"y2_d074.5_VZE_YJD","YJD","VZE",2,9,"top","YJD-0353","YJD-0067","YJD-0373","YJD-0164","YJD-0132","YJD-0312","YJD-0345","YJD-0185","YJD-0366","VZE-2373",NA,NA,NA
"y2_d074.5_VZE_YJD","YJD","VZE",2,10,"top","YJD-0353","YJD-0067","YJD-0373","YJD-0164","YJD-0132","YJD-0312","YJD-0345","YJD-0185","YJD-0366","VZE-2373",NA,NA,NA
"y2_d074.5_VZE_YJD","YJD","VZE",3,11,"top","YJD-0353","YJD-0067","YJD-0373","YJD-0164","YJD-0132","YJD-0312","YJD-0345","YJD-0185","YJD-0366","VZE-2582",NA,NA,NA
"y2_d074.5_VZE_YJD","YJD","VZE",3,12,"top","YJD-0353","YJD-0067","YJD-0373","YJD-0164","YJD-0132","YJD-0312","YJD-0345","YJD-0185","YJD-0366","VZE-2582",NA,NA,NA
"y2_d074.5_VZE_YJD","YJD","VZE",3,13,"top","YJD-0353","YJD-0067","YJD-0373","YJD-0164","YJD-0132","YJD-0312","YJD-0345","YJD-0185","YJD-0366","VZE-2582",NA,NA,NA
"y2_d074.5_VZE_YJD","YJD","VZE",3,14,"top","YJD-0353","YJD-0067","YJD-0373","YJD-0164","YJD-0132","YJD-0312","YJD-0345","YJD-0185","YJD-0366","VZE-2582",NA,NA,NA
"y2_d074.5_VZE_YJD","YJD","VZE",3,15,"top","YJD-0353","YJD-0067","YJD-0373","YJD-0164","YJD-0132","YJD-0312","YJD-0345","YJD-0185","YJD-0366","VZE-2582",NA,NA,NA
"y2_d074.5_VZE_YJD","YJD","VZE",3,16,"top","YJD-0353","YJD-0067","YJD-0373","YJD-0164","YJD-0132","YJD-0312","YJD-0345","YJD-0185","YJD-0366","VZE-2582",NA,NA,NA
"y2_d074.5_VZE_YJD","YJD","VZE",4,17,"top","YJD-0353","YJD-0067","YJD-0373","YJD-0164","YJD-0132","YJD-0312","YJD-0345","YJD-0185","YJD-0366","VZE-2405","VZE-2582",NA,NA
"y2_d074.5_VZE_YJD","YJD","VZE",4,18,"top","YJD-0353","YJD-0067","YJD-0373","YJD-0164","YJD-0132","YJD-0312","YJD-0345","YJD-0185","YJD-0366","VZE-2405","VZE-2582",NA,NA
"y2_d074.5_VZE_YJD","YJD","VZE",4,19,"top","YJD-0353","YJD-0067","YJD-0373","YJD-0164","YJD-0132","YJD-0312","YJD-0345","YJD-0185","YJD-0366","VZE-2405","VZE-2582",NA,NA
"y2_d074.5_VZE_YJD","YJD","VZE",4,20,"top","YJD-0353","YJD-0067","YJD-0373","YJD-0164","YJD-0132","YJD-0312","YJD-0345","YJD-0185","YJD-0366","VZE-2405","VZE-2582",NA,NA
"y2_d074.5_VZE_YJD","YJD","VZE",5,21,"bottom","VZE-2269","VZE-2294","VZE-2405","VZE-2179","VZE-1490","VZE-2173","VZE-1879","VZE-1946","VZE-2373","YJD-0345",NA,NA,NA
"y2_d074.5_VZE_YJD","YJD","VZE",5,22,"bottom","VZE-2269","VZE-2294","VZE-2405","VZE-2179","VZE-1490","VZE-2173","VZE-1879","VZE-1946","VZE-2373","YJD-0345",NA,NA,NA
"y2_d074.5_VZE_YJD","YJD","VZE",5,23,"bottom","VZE-2269","VZE-2294","VZE-2405","VZE-2179","VZE-1490","VZE-2173","VZE-1879","VZE-1946","VZE-2373","YJD-0345",NA,NA,NA
"y2_d074.5_VZE_YJD","YJD","VZE",6,24,"bottom","VZE-2269","VZE-2294","VZE-2405","VZE-2179","VZE-1490","VZE-2173","VZE-1879","VZE-1946","VZE-2373","YJD-0312",NA,NA,NA
"y2_d074.5_VZE_YJD","YJD","VZE",6,25,"bottom","VZE-2269","VZE-2294","VZE-2405","VZE-2179","VZE-1490","VZE-2173","VZE-1879","VZE-1946","VZE-2373","YJD-0312",NA,NA,NA
"y2_d074.5_VZE_YJD","YJD","VZE",6,26,"bottom","VZE-2269","VZE-2294","VZE-2405","VZE-2179","VZE-1490","VZE-2173","VZE-1879","VZE-1946","VZE-2373","YJD-0312",NA,NA,NA
