"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y2_d075_VZE_YJD","YJD","VZE",1,1,"top","YJD-0376","YJD-0067","YJD-0366","YJD-0164","YJD-0132","YJD-0312","YJD-0397","YJD-0185","YJD-0345","VZE-2346",NA,NA,NA
"y2_d075_VZE_YJD","YJD","VZE",1,2,"top","YJD-0376","YJD-0067","YJD-0366","YJD-0164","YJD-0132","YJD-0312","YJD-0397","YJD-0185","YJD-0345","VZE-2346",NA,NA,NA
"y2_d075_VZE_YJD","YJD","VZE",1,3,"top","YJD-0376","YJD-0067","YJD-0366","YJD-0164","YJD-0132","YJD-0312","YJD-0397","YJD-0185","YJD-0345","VZE-2346",NA,NA,NA
"y2_d075_VZE_YJD","YJD","VZE",1,4,"top","YJD-0376","YJD-0067","YJD-0366","YJD-0164","YJD-0132","YJD-0312","YJD-0397","YJD-0185","YJD-0345","VZE-2346",NA,NA,NA
"y2_d075_VZE_YJD","YJD","VZE",1,5,"top","YJD-0376","YJD-0067","YJD-0366","YJD-0164","YJD-0132","YJD-0312","YJD-0397","YJD-0185","YJD-0345","VZE-2346",NA,NA,NA
"y2_d075_VZE_YJD","YJD","VZE",2,6,"top","YJD-0376","YJD-0067","YJD-0366","YJD-0164","YJD-0132","YJD-0312","YJD-0397","YJD-0185","YJD-0345","VZE-1879",NA,NA,NA
"y2_d075_VZE_YJD","YJD","VZE",2,7,"top","YJD-0376","YJD-0067","YJD-0366","YJD-0164","YJD-0132","YJD-0312","YJD-0397","YJD-0185","YJD-0345","VZE-1879",NA,NA,NA
"y2_d075_VZE_YJD","YJD","VZE",2,8,"top","YJD-0376","YJD-0067","YJD-0366","YJD-0164","YJD-0132","YJD-0312","YJD-0397","YJD-0185","YJD-0345","VZE-1879",NA,NA,NA
"y2_d075_VZE_YJD","YJD","VZE",2,9,"top","YJD-0376","YJD-0067","YJD-0366","YJD-0164","YJD-0132","YJD-0312","YJD-0397","YJD-0185","YJD-0345","VZE-1879",NA,NA,NA
"y2_d075_VZE_YJD","YJD","VZE",3,10,"top","YJD-0376","YJD-0067","YJD-0366","YJD-0164","YJD-0132","YJD-0312","YJD-0397","YJD-0185","YJD-0345","VZE-2582",NA,NA,NA
"y2_d075_VZE_YJD","YJD","VZE",4,11,"bottom","VZE-1682","VZE-2458","VZE-2405","VZE-2179","VZE-2582","VZE-2173","VZE-1724","VZE-2346","VZE-1476","YJD-0345",NA,NA,NA
"y2_d075_VZE_YJD","YJD","VZE",4,12,"bottom","VZE-1682","VZE-2458","VZE-2405","VZE-2179","VZE-2582","VZE-2173","VZE-1724","VZE-2346","VZE-1476","YJD-0345",NA,NA,NA
"y2_d075_VZE_YJD","YJD","VZE",4,13,"bottom","VZE-1682","VZE-2458","VZE-2405","VZE-2179","VZE-2582","VZE-2173","VZE-1724","VZE-2346","VZE-1476","YJD-0345",NA,NA,NA
"y2_d075_VZE_YJD","YJD","VZE",4,14,"bottom","VZE-1682","VZE-2458","VZE-2405","VZE-2179","VZE-2582","VZE-2173","VZE-1724","VZE-2346","VZE-1476","YJD-0345",NA,NA,NA
"y2_d075_VZE_YJD","YJD","VZE",5,15,"bottom","VZE-1682","VZE-2458","VZE-2405","VZE-2179","VZE-2582","VZE-2173","VZE-1724","VZE-2346","VZE-1476","YJD-0312",NA,NA,NA
"y2_d075_VZE_YJD","YJD","VZE",5,16,"bottom","VZE-1682","VZE-2458","VZE-2405","VZE-2179","VZE-2582","VZE-2173","VZE-1724","VZE-2346","VZE-1476","YJD-0312",NA,NA,NA
