"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y2_d082_WMI_YJD","YJD","WMI",1,1,"top","YJD-0389","YJD-0007","YJD-0373","YJD-0312","YJD-0132","YJD-0345","YJD-0397","YJD-0185","YJD-0366","WMI-2181",NA,NA,NA
"y2_d082_WMI_YJD","YJD","WMI",1,2,"top","YJD-0389","YJD-0007","YJD-0373","YJD-0312","YJD-0132","YJD-0345","YJD-0397","YJD-0185","YJD-0366","WMI-2181",NA,NA,NA
"y2_d082_WMI_YJD","YJD","WMI",1,3,"top","YJD-0389","YJD-0007","YJD-0373","YJD-0312","YJD-0132","YJD-0345","YJD-0397","YJD-0185","YJD-0366","WMI-2181",NA,NA,NA
"y2_d082_WMI_YJD","YJD","WMI",1,4,"top","YJD-0389","YJD-0007","YJD-0373","YJD-0312","YJD-0132","YJD-0345","YJD-0397","YJD-0185","YJD-0366","WMI-2181",NA,NA,NA
"y2_d082_WMI_YJD","YJD","WMI",1,5,"top","YJD-0389","YJD-0007","YJD-0373","YJD-0312","YJD-0132","YJD-0345","YJD-0397","YJD-0185","YJD-0366","WMI-2181",NA,NA,NA
"y2_d082_WMI_YJD","YJD","WMI",2,6,"top","YJD-0389","YJD-0007","YJD-0373","YJD-0312","YJD-0132","YJD-0345","YJD-0397","YJD-0185","YJD-0366","WMI-2227",NA,NA,NA
"y2_d082_WMI_YJD","YJD","WMI",2,7,"top","YJD-0389","YJD-0007","YJD-0373","YJD-0312","YJD-0132","YJD-0345","YJD-0397","YJD-0185","YJD-0366","WMI-2227",NA,NA,NA
"y2_d082_WMI_YJD","YJD","WMI",2,8,"top","YJD-0389","YJD-0007","YJD-0373","YJD-0312","YJD-0132","YJD-0345","YJD-0397","YJD-0185","YJD-0366","WMI-2227",NA,NA,NA
"y2_d082_WMI_YJD","YJD","WMI",2,9,"top","YJD-0389","YJD-0007","YJD-0373","YJD-0312","YJD-0132","YJD-0345","YJD-0397","YJD-0185","YJD-0366","WMI-2227",NA,NA,NA
"y2_d082_WMI_YJD","YJD","WMI",2,10,"top","YJD-0389","YJD-0007","YJD-0373","YJD-0312","YJD-0132","YJD-0345","YJD-0397","YJD-0185","YJD-0366","WMI-2227",NA,NA,NA
"y2_d082_WMI_YJD","YJD","WMI",3,11,"top","YJD-0389","YJD-0007","YJD-0373","YJD-0312","YJD-0132","YJD-0345","YJD-0397","YJD-0185","YJD-0366","WMI-1665",NA,NA,NA
"y2_d082_WMI_YJD","YJD","WMI",3,12,"top","YJD-0389","YJD-0007","YJD-0373","YJD-0312","YJD-0132","YJD-0345","YJD-0397","YJD-0185","YJD-0366","WMI-1665",NA,NA,NA
"y2_d082_WMI_YJD","YJD","WMI",3,13,"top","YJD-0389","YJD-0007","YJD-0373","YJD-0312","YJD-0132","YJD-0345","YJD-0397","YJD-0185","YJD-0366","WMI-1665",NA,NA,NA
"y2_d082_WMI_YJD","YJD","WMI",3,14,"top","YJD-0389","YJD-0007","YJD-0373","YJD-0312","YJD-0132","YJD-0345","YJD-0397","YJD-0185","YJD-0366","WMI-1665",NA,NA,NA
"y2_d082_WMI_YJD","YJD","WMI",3,15,"top","YJD-0389","YJD-0007","YJD-0373","YJD-0312","YJD-0132","YJD-0345","YJD-0397","YJD-0185","YJD-0366","WMI-1665",NA,NA,NA
"y2_d082_WMI_YJD","YJD","WMI",3,16,"top","YJD-0389","YJD-0007","YJD-0373","YJD-0312","YJD-0132","YJD-0345","YJD-0397","YJD-0185","YJD-0366","WMI-1665",NA,NA,NA
"y2_d082_WMI_YJD","YJD","WMI",3,17,"top","YJD-0389","YJD-0007","YJD-0373","YJD-0312","YJD-0132","YJD-0345","YJD-0397","YJD-0185","YJD-0366","WMI-1665",NA,NA,NA
"y2_d082_WMI_YJD","YJD","WMI",4,18,"top","YJD-0389","YJD-0007","YJD-0373","YJD-0312","YJD-0132","YJD-0345","YJD-0397","YJD-0185","YJD-0366","WMI-1414","WMI-1665",NA,NA
"y2_d082_WMI_YJD","YJD","WMI",4,19,"top","YJD-0389","YJD-0007","YJD-0373","YJD-0312","YJD-0132","YJD-0345","YJD-0397","YJD-0185","YJD-0366","WMI-1414","WMI-1665",NA,NA
"y2_d082_WMI_YJD","YJD","WMI",4,20,"top","YJD-0389","YJD-0007","YJD-0373","YJD-0312","YJD-0132","YJD-0345","YJD-0397","YJD-0185","YJD-0366","WMI-1414","WMI-1665",NA,NA
"y2_d082_WMI_YJD","YJD","WMI",5,21,"bottom","WMI-1697","WMI-1414","WMI-1665","WMI-1853","WMI-2227","WMI-2181","WMI-2253","WMI-2366","WMI-2030","YJD-0345",NA,NA,NA
"y2_d082_WMI_YJD","YJD","WMI",5,22,"bottom","WMI-1697","WMI-1414","WMI-1665","WMI-1853","WMI-2227","WMI-2181","WMI-2253","WMI-2366","WMI-2030","YJD-0345",NA,NA,NA
"y2_d082_WMI_YJD","YJD","WMI",5,23,"bottom","WMI-1697","WMI-1414","WMI-1665","WMI-1853","WMI-2227","WMI-2181","WMI-2253","WMI-2366","WMI-2030","YJD-0345",NA,NA,NA
"y2_d082_WMI_YJD","YJD","WMI",5,24,"bottom","WMI-1697","WMI-1414","WMI-1665","WMI-1853","WMI-2227","WMI-2181","WMI-2253","WMI-2366","WMI-2030","YJD-0345",NA,NA,NA
"y2_d082_WMI_YJD","YJD","WMI",5,25,"bottom","WMI-1697","WMI-1414","WMI-1665","WMI-1853","WMI-2227","WMI-2181","WMI-2253","WMI-2366","WMI-2030","YJD-0345",NA,NA,NA
"y2_d082_WMI_YJD","YJD","WMI",5,26,"bottom","WMI-1697","WMI-1414","WMI-1665","WMI-1853","WMI-2227","WMI-2181","WMI-2253","WMI-2366","WMI-2030","YJD-0345",NA,NA,NA
