"game_str","home_team","away_team","at_bat","play_per_game","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"y1_d058_WZR_YJD","YJD","WZR",7,25,"bottom","WZR-1165","WZR-1570","WZR-2183","WZR-1367","WZR-1285","WZR-1103","WZR-1721","WZR-1942","WZR-1875","YJD-0185",NA,NA,NA
"y1_d058_WZR_YJD","YJD","WZR",7,26,"bottom","WZR-1165","WZR-1570","WZR-2183","WZR-1367","WZR-1285","WZR-1103","WZR-1721","WZR-1942","WZR-1875","YJD-0185",NA,NA,NA
"y1_d058_WZR_YJD","YJD","WZR",8,27,"bottom","WZR-1165","WZR-1570","WZR-2183","WZR-1367","WZR-1285","WZR-1103","WZR-1721","WZR-1942","WZR-1875","YJD-0185",NA,NA,NA
"y1_d058_WZR_YJD","YJD","WZR",8,28,"bottom","WZR-1165","WZR-1570","WZR-2183","WZR-1367","WZR-1285","WZR-1103","WZR-1721","WZR-1942","WZR-1875","YJD-0185",NA,NA,NA
"y1_d058_WZR_YJD","YJD","WZR",8,29,"bottom","WZR-1165","WZR-1570","WZR-2183","WZR-1367","WZR-1285","WZR-1103","WZR-1721","WZR-1942","WZR-1875","YJD-0284","YJD-0185",NA,NA
"y1_d058_WZR_YJD","YJD","WZR",9,30,"bottom","WZR-1165","WZR-1570","WZR-2183","WZR-1367","WZR-1285","WZR-1103","WZR-1721","WZR-1942","WZR-1875","YJD-0284","YJD-0185",NA,NA
"y1_d058_WZR_YJD","YJD","WZR",9,31,"bottom","WZR-1165","WZR-1570","WZR-2183","WZR-1367","WZR-1285","WZR-1103","WZR-1721","WZR-1942","WZR-1875","YJD-0284","YJD-0185",NA,NA
"y1_d058_WZR_YJD","YJD","WZR",9,32,"bottom","WZR-1165","WZR-1570","WZR-2183","WZR-1367","WZR-1285","WZR-1103","WZR-1721","WZR-1942","WZR-1875","YJD-0373","YJD-0185",NA,NA
"y1_d058_WZR_YJD","YJD","WZR",9,34,"bottom","WZR-1165","WZR-1570","WZR-2183","WZR-1367","WZR-1285","WZR-1103","WZR-1721","WZR-1942","WZR-1875","YJD-0373","YJD-0185",NA,NA
"y1_d058_WZR_YJD","YJD","WZR",10,35,"bottom","WZR-1165","WZR-1570","WZR-2183","WZR-1367","WZR-1285","WZR-1103","WZR-1721","WZR-1942","WZR-1875","YJD-0373","YJD-0185",NA,NA
"y1_d058_WZR_YJD","YJD","WZR",10,36,"bottom","WZR-1165","WZR-1570","WZR-2183","WZR-1367","WZR-1285","WZR-1103","WZR-1721","WZR-1942","WZR-1875","YJD-0373","YJD-0185",NA,NA
"y1_d058_WZR_YJD","YJD","WZR",10,37,"bottom","WZR-1165","WZR-1570","WZR-2183","WZR-1367","WZR-1285","WZR-1103","WZR-1721","WZR-1942","WZR-1875","YJD-0373","YJD-0185",NA,NA
"y1_d058_WZR_YJD","YJD","WZR",10,38,"top","YJD-0273","YJD-0007","YJD-0373","YJD-0060","YJD-0284","YJD-0172","YJD-0398","YJD-0185","YJD-0340","WZR-1103",NA,NA,NA
"y1_d058_WZR_YJD","YJD","WZR",10,39,"top","YJD-0273","YJD-0007","YJD-0373","YJD-0060","YJD-0284","YJD-0172","YJD-0398","YJD-0185","YJD-0340","WZR-1103",NA,NA,NA
"y1_d058_WZR_YJD","YJD","WZR",10,40,"top","YJD-0273","YJD-0007","YJD-0373","YJD-0060","YJD-0284","YJD-0172","YJD-0398","YJD-0185","YJD-0340","WZR-1103",NA,NA,NA
"y1_d058_WZR_YJD","YJD","WZR",10,41,"top","YJD-0273","YJD-0007","YJD-0373","YJD-0060","YJD-0284","YJD-0172","YJD-0398","YJD-0185","YJD-0340","WZR-1103",NA,NA,NA
"y1_d058_WZR_YJD","YJD","WZR",10,42,"top","YJD-0273","YJD-0007","YJD-0373","YJD-0060","YJD-0284","YJD-0172","YJD-0398","YJD-0185","YJD-0340","WZR-1103",NA,NA,NA
"y1_d058_WZR_YJD","YJD","WZR",11,43,"top","YJD-0273","YJD-0007","YJD-0373","YJD-0060","YJD-0284","YJD-0172","YJD-0398","YJD-0185","YJD-0340","WZR-1103",NA,NA,NA
"y1_d058_WZR_YJD","YJD","WZR",11,44,"top","YJD-0273","YJD-0007","YJD-0373","YJD-0060","YJD-0284","YJD-0172","YJD-0398","YJD-0185","YJD-0340","WZR-1103",NA,NA,NA
"y1_d058_WZR_YJD","YJD","WZR",11,45,"top","YJD-0273","YJD-0007","YJD-0373","YJD-0060","YJD-0284","YJD-0172","YJD-0398","YJD-0185","YJD-0340","WZR-1103",NA,NA,NA
"y1_d058_WZR_YJD","YJD","WZR",11,46,"top","YJD-0273","YJD-0007","YJD-0373","YJD-0060","YJD-0284","YJD-0172","YJD-0398","YJD-0185","YJD-0340","WZR-1570",NA,NA,NA
"y1_d058_WZR_YJD","YJD","WZR",11,47,"top","YJD-0273","YJD-0007","YJD-0373","YJD-0060","YJD-0284","YJD-0172","YJD-0398","YJD-0185","YJD-0340","WZR-1570",NA,NA,NA
"y1_d058_WZR_YJD","YJD","WZR",11,48,"top","YJD-0273","YJD-0007","YJD-0373","YJD-0060","YJD-0284","YJD-0172","YJD-0398","YJD-0185","YJD-0340","WZR-1570",NA,NA,NA
"y1_d058_WZR_YJD","YJD","WZR",12,49,"top","YJD-0273","YJD-0007","YJD-0373","YJD-0060","YJD-0284","YJD-0172","YJD-0398","YJD-0185","YJD-0340","WZR-1570",NA,NA,NA
"y1_d058_WZR_YJD","YJD","WZR",12,50,"top","YJD-0273","YJD-0007","YJD-0373","YJD-0060","YJD-0284","YJD-0172","YJD-0398","YJD-0185","YJD-0340","WZR-1570",NA,NA,NA
"y1_d058_WZR_YJD","YJD","WZR",12,51,"top","YJD-0273","YJD-0007","YJD-0373","YJD-0060","YJD-0284","YJD-0172","YJD-0398","YJD-0185","YJD-0340","WZR-1570",NA,NA,NA
"y1_d058_WZR_YJD","YJD","WZR",12,52,"top","YJD-0273","YJD-0007","YJD-0373","YJD-0060","YJD-0284","YJD-0172","YJD-0398","YJD-0185","YJD-0340","WZR-1285","WZR-1570",NA,NA
"y1_d058_WZR_YJD","YJD","WZR",12,53,"top","YJD-0273","YJD-0007","YJD-0373","YJD-0060","YJD-0284","YJD-0172","YJD-0398","YJD-0185","YJD-0340","WZR-1285","WZR-1570",NA,NA
"y1_d058_WZR_YJD","YJD","WZR",12,54,"top","YJD-0273","YJD-0007","YJD-0373","YJD-0060","YJD-0284","YJD-0172","YJD-0398","YJD-0185","YJD-0340","WZR-1285","WZR-1570",NA,NA
"y1_d058_WZR_YJD","YJD","WZR",13,55,"top","YJD-0273","YJD-0007","YJD-0373","YJD-0060","YJD-0284","YJD-0172","YJD-0398","YJD-0185","YJD-0340","WZR-1285","WZR-1570",NA,NA
"y1_d058_WZR_YJD","YJD","WZR",13,56,"top","YJD-0273","YJD-0007","YJD-0373","YJD-0060","YJD-0284","YJD-0172","YJD-0398","YJD-0185","YJD-0340","WZR-1285","WZR-1570",NA,NA
"y1_d058_WZR_YJD","YJD","WZR",13,57,"top","YJD-0273","YJD-0007","YJD-0373","YJD-0060","YJD-0284","YJD-0172","YJD-0398","YJD-0185","YJD-0340","WZR-1285","WZR-1570",NA,NA
"y1_d058_WZR_YJD","YJD","WZR",13,58,"top","YJD-0273","YJD-0007","YJD-0373","YJD-0060","YJD-0284","YJD-0172","YJD-0398","YJD-0185","YJD-0340","WZR-1942","WZR-1570",NA,NA
"y1_d058_WZR_YJD","YJD","WZR",14,59,"top","YJD-0273","YJD-0007","YJD-0373","YJD-0060","YJD-0284","YJD-0172","YJD-0398","YJD-0185","YJD-0340","WZR-1942","WZR-1570",NA,NA
"y1_d058_WZR_YJD","YJD","WZR",15,60,"top","YJD-0273","YJD-0007","YJD-0373","YJD-0060","YJD-0284","YJD-0172","YJD-0398","YJD-0185","YJD-0340","WZR-1942","WZR-1570",NA,NA
"y1_d058_WZR_YJD","YJD","WZR",15,61,"top","YJD-0273","YJD-0007","YJD-0373","YJD-0060","YJD-0284","YJD-0172","YJD-0398","YJD-0185","YJD-0340","WZR-1942","WZR-1570",NA,NA
"y1_d058_WZR_YJD","YJD","WZR",15,62,"top","YJD-0050","YJD-0148","YJD-0289","YJD-0096","YJD-0077","YJD-0036","YJD-0187","YJD-0234","YJD-0216","WZR-2372",NA,NA,NA
"y1_d058_WZR_YJD","YJD","WZR",15,63,"bottom","WZR-1165","WZR-1570","WZR-2183","WZR-1367","WZR-1285","WZR-1103","WZR-1721","WZR-1942","WZR-1875","YJD-0172","YJD-0340",NA,NA
"y1_d058_WZR_YJD","YJD","WZR",16,64,"bottom","WZR-1165","WZR-1570","WZR-2183","WZR-1367","WZR-1285","WZR-1103","WZR-1721","WZR-1942","WZR-1875","YJD-0172","YJD-0340",NA,NA
"y1_d058_WZR_YJD","YJD","WZR",NA,65,"bottom","WZR-1165","WZR-1570","WZR-2183","WZR-1367","WZR-1285","WZR-1103","WZR-1721","WZR-1942","WZR-1875","YJD-0172","YJD-0340",NA,NA
"y1_d058_WZR_YJD","YJD","WZR",17,68,"bottom","WZR-1165","WZR-1570","WZR-2183","WZR-1367","WZR-1285","WZR-1103","WZR-1721","WZR-1942","WZR-1875","YJD-0172","YJD-0340",NA,NA
"y1_d058_WZR_YJD","YJD","WZR",17,69,"bottom","WZR-1165","WZR-1570","WZR-2183","WZR-1367","WZR-1285","WZR-1103","WZR-1721","WZR-1942","WZR-1875","YJD-0398","YJD-0172",NA,NA
"y1_d058_WZR_YJD","YJD","WZR",18,70,"top","YJD-0273","YJD-0007","YJD-0373","YJD-0060","YJD-0284","YJD-0172","YJD-0398","YJD-0185","YJD-0340","WZR-1367",NA,NA,NA
"y1_d058_WZR_YJD","YJD","WZR",18,71,"top","YJD-0273","YJD-0007","YJD-0373","YJD-0060","YJD-0284","YJD-0172","YJD-0398","YJD-0185","YJD-0340","WZR-1367",NA,NA,NA
"y1_d058_WZR_YJD","YJD","WZR",18,72,"top","YJD-0273","YJD-0007","YJD-0373","YJD-0060","YJD-0284","YJD-0172","YJD-0398","YJD-0185","YJD-0340","WZR-1367",NA,NA,NA
"y1_d058_WZR_YJD","YJD","WZR",18,73,"top","YJD-0273","YJD-0007","YJD-0373","YJD-0060","YJD-0284","YJD-0172","YJD-0398","YJD-0185","YJD-0340","WZR-1367",NA,NA,NA
"y1_d058_WZR_YJD","YJD","WZR",18,75,"top","YJD-0273","YJD-0007","YJD-0373","YJD-0060","YJD-0284","YJD-0172","YJD-0398","YJD-0185","YJD-0340","WZR-1090",NA,NA,NA
