game_str,play_id,cutoff_man,cutoff_decision
y1_d001_CGA_QEA,108,second baseman,cut_relay
y1_d001_CGA_QEA,114,second baseman,cut_hold
y1_d001_CGA_QEA,216,shortstop,cut_hold
y1_d002_CGA_QEA,92,shortstop,cut_relay
y1_d003_CGA_QEA,92,second baseman,cut_hold
y1_d004_CGA_QEA,92,second baseman,cut_relay
y1_d004_CGA_QEA,236,second baseman,cut_hold
y1_d005_JJS_YJD,99,second baseman,cut_relay
y1_d006_JJS_YJD,50,second baseman,cut_hold
y1_d006_JJS_YJD,163,catcher,let
y1_d007_JJS_YJD,80,second baseman,cut_hold
y1_d007_JJS_YJD,84,second baseman,cut_hold
y1_d007_JJS_YJD,131,pitcher,cut_hold
y1_d007_JJS_YJD,138,shortstop,cut_hold
y1_d007_JJS_YJD,179,pitcher,cut_hold
y1_d008_JJS_YJD,231,second baseman,cut_hold
y1_d009_GEA_YJD,44,shortstop,cut_hold
y1_d009_GEA_YJD,79,shortstop,cut_hold
y1_d010_GEA_YJD,142,catcher,let
y1_d010_GEA_YJD,271,shortstop,cut_hold
y1_d011_GEA_YJD,32,second baseman,cut_hold
y1_d011_GEA_YJD,83,third baseman,cut_hold
y1_d011_GEA_YJD,138,shortstop,cut_relay
y1_d011_GEA_YJD,171,second baseman,cut_hold
y1_d013_IXC_QEA,153,second baseman,cut_hold
y1_d014_IXC_QEA,45,catcher,let
y1_d014_IXC_QEA,263,second baseman,cut_hold
y1_d014_IXC_QEA,285,second baseman,cut_relay
y1_d016_OXG_QEA,119,shortstop,let
y1_d016_OXG_QEA,244,catcher,let
y1_d018_OXG_QEA,143,shortstop,cut_hold
y1_d019_JFU_YJD,303,shortstop,cut_hold
y1_d020_JFU_YJD,57,shortstop,cut_hold
y1_d020_JFU_YJD,191,shortstop,cut_hold
y1_d020_JFU_YJD,217,second baseman,cut_hold
y1_d021_JFU_YJD,10,third baseman,cut_relay
y1_d021_JFU_YJD,20,shortstop,let
y1_d021_JFU_YJD,58,shortstop,cut_relay
y1_d021_JFU_YJD,129,third baseman,cut_hold
y1_d022_AKX_YJD,12,third baseman,cut_hold
y1_d022_AKX_YJD,199,second baseman,cut_hold
y1_d022_AKX_YJD,262,second baseman,cut_hold
y1_d023_AKX_YJD,56,second baseman,cut_hold
y1_d024_AKX_YJD,118,second baseman,cut_relay
y1_d024_AKX_YJD,173,second baseman,let
y1_d025_JIL_RZQ,70,second baseman,cut_relay
y1_d025_JIL_RZQ,82,shortstop,let
y1_d025_JIL_RZQ,140,second baseman,cut_hold
y1_d025_JIL_RZQ,187,shortstop,cut_relay
y1_d027_JIL_RZQ,45,shortstop,cut_hold
y1_d027_JIL_RZQ,116,third baseman,cut_hold
y1_d027_JIL_RZQ,176,shortstop,cut_hold
y1_d027_JIL_RZQ,236,second baseman,let
y1_d027_JIL_RZQ,351,second baseman,cut_hold
y1_d027_JIL_RZQ,352,second baseman,cut_relay
y1_d027_JIL_RZQ,361,second baseman,cut_relay
y1_d029_CMS_YJD,149,second baseman,cut_hold
y1_d033_AVV_YJD,72,shortstop,cut_hold
y1_d035_AVV_YJD,16,shortstop,cut_hold
y1_d037_HMN_RZQ,152,shortstop,cut_hold
y1_d037_HMN_RZQ,179,second baseman,cut_hold
y1_d038_HMN_RZQ,185,shortstop,cut_hold
y1_d038_HMN_RZQ,273,third baseman,cut_hold
y1_d039_HMN_RZQ,28,shortstop,cut_hold
y1_d039_HMN_RZQ,29,second baseman,cut_relay
y1_d040_TKJ_YJD,176,second baseman,cut_relay
y1_d040_TKJ_YJD,286,third baseman,cut_hold
y1_d040_TKJ_YJD,97,second baseman,let
y1_d040_TKJ_YJD,115,shortstop,cut_hold
y1_d040_TKJ_YJD,128,shortstop,cut_hold
