game_str,play_id
y2_d022_DMS_RZQ,1
y2_d003_GHD_YJD,1
y2_d076_MGJ_RZQ,2
y1_d056_OXG_QEA,2
y2_d030_IKJ_RZQ,6
y2_d028_VMN_YJD,7
y1_d095_XAX_QEA,7
y1_d021_JFU_YJD,10
y1_d091_DYE_RZQ,12
y1_d057_OXG_QEA,12
y1_d067_OWH_QEA,13
y2_d070_RDO_RZQ,14
y1_d036_HMN_RZQ,15
y1_d045_WJU_QEA,16
y1_d024_AKX_YJD,17
y1_d064_UEX_RZQ,17
y1_d058_KJH_RZQ,18
y2_d045_IHI_YJD,19
y2_d077_MGJ_RZQ,19
y1_d021_JFU_YJD,20
y1_d054_APZ_QEA,20
y1_d057_OXG_QEA,21
y1_d094_XAX_QEA,21
y1_d092_DYE_RZQ,21
y1_d040_TKJ_YJD,21
y1_d039_HMN_RZQ,22
y2_d045_IHI_YJD,23
y1_d054_APZ_QEA,23
y2_d055_IAK_RZQ,25
y2_d030_IKJ_RZQ,28
y2_d034_KNB_YJD,29
y1_d039_HMN_RZQ,29
y1_d035_AVV_YJD,30
y1_d061_HCI_RZQ,30
y1_d064_UEX_RZQ,30
y1_d043_WJU_QEA,31
y2_d057.5_IAK_RZQ,34
y1_d041_TKJ_YJD,35
y1_d022_AKX_YJD,37
y1_d100_MRJ_YJD,38
y2_d047_IHI_YJD,38
y1_d045_VHS_YJD,38
y1_d007_JJS_YJD,38
y1_d036_HMN_RZQ,40
y2_d007_NSO_YJD,41
y1_d022_AKX_YJD,42
y1_d081_PVJ_RZQ,42
y1_d090_DYE_RZQ,44
y2_d013_RQJ_YJD,44
y1_d015_IXC_QEA,45
y1_d050_UPU_YJD,45
y1_d044_WJU_QEA,47
y1_d091_DYE_RZQ,47
y1_d046_WJU_QEA,47
y1_d074_UWE_YJD,49
y2_d022_DMS_RZQ,50
y1_d014_IXC_QEA,51
y1_d012_IXC_QEA,52
y2_d030_IKJ_RZQ,52
y1_d098_MRJ_YJD,53
y2_d050_DYE_RZQ,53
y2_d097_YJD_RZQ,53
y2_d068_RDO_RZQ,55
y1_d071_ACN_QEA,56
y2_d083_WMI_YJD,56
y2_d009_TSZ_RZQ,56
y1_d045_VHS_YJD,58
y1_d021_JFU_YJD,58
y1_d005_JJS_YJD,59
y2_d090_NYA_YJD,59
y1_d079_PVJ_RZQ,61
y2_d008_JMJ_YJD,61
y1_d001_CGA_QEA,61
y2_d096_QZE_RZQ,62
y1_d075_PHS_RZQ,63
y1_d048_STK_QEA,63
y1_d056_OXG_QEA,64
y1_d066_OWH_QEA,66
y1_d091_DYE_RZQ,66
y2_d018_GIS_RZQ,66
y1_d062_HCI_RZQ,67
y2_d002_BEJ_RZQ,68
y1_d086_CRQ_QEA,69
